split,mode,row_type,species,source_name,source_count,sample_bytes,sample_bases,sample_symbols_with_eos,theoretical_bits,theoretical_bits_per_base,arithmetic_coded_bytes,arithmetic_bits_per_base,arithmetic_vs_2bit_percent,arithmetic_bytes_ratio_vs_ascii,arithmetic_size_reduction_vs_ascii_percent,arithmetic_vs_two_bit_pack_ratio,arithmetic_vs_gzip_ratio,arithmetic_vs_bz2_ratio,arithmetic_vs_lzma_ratio,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_coding_mode,arithmetic_quantization_mode,arithmetic_merge_size,arithmetic_backend,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,window_policy,window_stride,cache_reuse
full,windows_nonoverlap,aggregate,,ALL,17,685597124,685597107,228532386,1224685536.0,1.786304993845314,153085692,1.786304993845314,89.3152496922657,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,,,
full,windows_nonoverlap,source,OrSa,OrSa,,43262523,43262523,14420842,81020688.0,1.8727684467223513,10127586,1.8727684467223513,93.63842233611757,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,HoSa,HoSa,,189752667,189752667,63250890,306712264.0,1.6163791995608683,38339033,1.6163791995608683,80.81895997804341,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,DaRe,DaRe,,62565020,62565018,20855007,113596744.0,1.8156590956307246,14199593,1.8156590956307246,90.78295478153623,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,ScPo,ScPo,,10652155,10652154,3550719,20465328.0,1.9212384650090488,2558166,1.9212384650090488,96.06192325045244,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,EsCo,EsCo,,4641652,4641651,1547218,8653448.0,1.8643038866989354,1081681,1.8643038866989354,93.21519433494677,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,YeMi,YeMi,,73689,73689,24564,130776.0,1.7747017872409723,16347,1.7747017872409723,88.73508936204861,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,BuEb,BuEb,,18940,18939,6314,37328.0,1.970959395955436,4666,1.970959395955436,98.5479697977718,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,AgPh,AgPh,,43970,43968,14657,83768.0,1.9052037845705967,10471,1.9052037845705967,95.26018922852984,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,GaGa,GaGa,,148532294,148532292,49510765,273146864.0,1.8389729285265457,34143358,1.8389729285265457,91.94864642632729,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,DrMe,DrMe,,32181429,32181429,10727144,60568896.0,1.8821070997189093,7571112,1.8821070997189093,94.10535498594547,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,EnIn,EnIn,,26403087,26403087,8801030,50057536.0,1.8958970971841285,6257192,1.8958970971841285,94.79485485920642,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,PlFa,PlFa,,8986712,8986710,2995571,16214936.0,1.8043239405744704,2026867,1.8043239405744704,90.21619702872353,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,HePy,HePy,,1667825,1667823,555942,3057680.0,1.833336031461372,382210,1.833336031461372,91.6668015730686,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,AeCa,AeCa,,1591049,1591047,530350,3006264.0,1.8894878655375988,375783,1.8894878655375988,94.47439327687994,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,HaHi,HaHi,,3890005,3890004,1296669,7034424.0,1.8083333590402477,879303,1.8083333590402477,90.41666795201239,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,AnCa,AnCa,,142189675,142189674,47396559,263282880.0,1.8516315045493388,32910360,1.8516315045493388,92.58157522746694,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,WaMe,WaMe,,9144432,9144432,3048145,17615712.0,1.9263866798943883,2201964,1.9263866798943883,96.31933399471941,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
