split,mode,row_type,species,source_name,source_count,sample_bytes,sample_bases,sample_symbols_with_eos,theoretical_bits,theoretical_bits_per_base,arithmetic_coded_bytes,arithmetic_bits_per_base,arithmetic_vs_2bit_percent,arithmetic_bytes_ratio_vs_ascii,arithmetic_size_reduction_vs_ascii_percent,arithmetic_vs_two_bit_pack_ratio,arithmetic_vs_gzip_ratio,arithmetic_vs_bz2_ratio,arithmetic_vs_lzma_ratio,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_coding_mode,arithmetic_quantization_mode,arithmetic_merge_size,arithmetic_backend,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,window_policy,window_stride,cache_reuse
full,windows_nonoverlap,aggregate,,ALL,17,685597124,685597107,228532386,1225570712.0,1.7875960961428037,153196339,1.7875960961428037,89.37980480714019,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,,,
full,windows_nonoverlap,source,OrSa,OrSa,,43262523,43262523,14420842,81099624.0,1.8745930282429437,10137453,1.8745930282429437,93.72965141214719,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,HoSa,HoSa,,189752667,189752667,63250890,306799152.0,1.6168371008982974,38349894,1.6168371008982974,80.84185504491487,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,DaRe,DaRe,,62565020,62565018,20855007,113746520.0,1.818053021258621,14218315,1.818053021258621,90.90265106293106,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,ScPo,ScPo,,10652155,10652154,3550719,20478128.0,1.9224400999084317,2559766,1.9224400999084317,96.12200499542158,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,EsCo,EsCo,,4641652,4641651,1547218,8624120.0,1.8579854452650577,1078015,1.8579854452650577,92.89927226325288,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,YeMi,YeMi,,73689,73689,24564,131008.0,1.7778501540257026,16376,1.7778501540257026,88.89250770128513,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,BuEb,BuEb,,18940,18939,6314,37296.0,1.9692697608110248,4662,1.9692697608110248,98.46348804055124,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,AgPh,AgPh,,43970,43968,14657,83872.0,1.9075691411935953,10484,1.9075691411935953,95.37845705967976,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
full,windows_nonoverlap,source,GaGa,GaGa,,148532294,148532292,49510765,273229248.0,1.8395275823253303,34153656,1.8395275823253303,91.97637911626651,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
