split,mode,row_type,species,source_name,source_count,sample_bytes,sample_bases,emitted_arithmetic_symbol_count,model_forward_seconds,softmax_seconds,model_forward_softmax_seconds,window_build_seconds,python_overhead_seconds,data_transfer_seconds,gpu_prefix_aggregate_seconds,arithmetic_quantize_seconds,cpu_small_alphabet_quantize_seconds,arithmetic_range_seconds,arithmetic_wrapper_seconds,arithmetic_interval_transfer_seconds,fast_floor_interval_seconds,arithmetic_encode_seconds,compression_process_seconds,recorded_wall_seconds,recorded_wall_seconds_source,wall_unaccounted_seconds,fasta_read_seconds,compression_bytes_per_second,compression_bases_per_second,compression_symbols_per_second,wall_bytes_per_second,wall_bases_per_second,model_forward_process_fraction,data_transfer_process_fraction,window_build_process_fraction,python_overhead_process_fraction,arithmetic_quantize_process_fraction,arithmetic_range_process_fraction,arithmetic_wrapper_process_fraction,arithmetic_interval_transfer_process_fraction,fast_floor_interval_process_fraction,arithmetic_encode_process_fraction,wall_unaccounted_fraction,arithmetic_backend,arithmetic_coding_mode,arithmetic_quantization_mode,arithmetic_merge_size
test,windows_nonoverlap,aggregate,,ALL,9,884438516,884438505,294812844,1283.889759318059,0.0,1283.889759318059,0.0,0.0,4.24656510411296,0.0,265.43738413543906,265.43738413543906,12.965497575,0.0,4.24656510411296,265.43738413543906,278.4028817104391,956.9993764560204,957.8556865199644,total_wall_seconds,0.8563100639439654,,924178.7797974026,924178.7683031422,308059.59883877554,923352.5764338258,923352.5649498411,1.3415784700639888,0.004437374995832209,0.0,0.0,0.27736421847881676,0.013548073169090345,0.0,0.004437374995832209,0.27736421847881676,0.29091229164790716,0.0008939865117417325,fast_cpp,model_symbol,fast_floor,1
test,windows_nonoverlap,source,gtdb_v220,gtdb_v220,,97479784,97479783,32493262,161.13532359033707,0.0,161.13532359033707,0.0,0.0,0.4095988601038698,0.0,35.660025737277465,35.660025737277465,1.436356812,0.0,0.4095988601038698,35.660025737277465,37.096382549277465,151.1502325150068,151.257369613013,compression_wall_seconds,0.10713709800620563,0.0,644919.8415247017,644919.8349087675,214973.28491885675,644463.0383921049,644463.0317808568,1.0660607060219964,0.002709879126803217,0.0,0.0,0.23592438558595666,0.009502842225911846,0.0,0.002709879126803217,0.23592438558595666,0.2454272278118685,0.0007083099374285852,fast_cpp,model_symbol,fast_floor,1
test,windows_nonoverlap,source,metagenomes,metagenomes,,103784524,103784523,34594842,166.58768588944804,0.0,166.58768588944804,0.0,0.0,0.5506735202216078,0.0,38.97313530696556,38.97313530696556,1.532515449,0.0,0.5506735202216078,38.97313530696556,40.50565075596556,127.16730961500434,127.25574026600225,compression_wall_seconds,0.08843065099790692,0.0,816125.8134201698,816125.8055565136,272041.9430491607,815558.6835066108,815558.6756484192,1.3099882854625755,0.004330307229812105,0.0,0.0,0.3064713362652374,0.012051174579690722,0.0,0.004330307229812105,0.3064713362652374,0.31852251084492816,0.0006949050063522528,fast_cpp,model_symbol,fast_floor,1
test,windows_nonoverlap,source,mrna,mrna,,98315201,98315199,32771734,133.3931933970889,0.0,133.3931933970889,0.0,0.0,0.4343873207690194,0.0,25.38692575888126,25.38692575888126,1.4485584999999999,0.0,0.4343873207690194,25.38692575888126,26.835484258881262,90.1692340610025,90.25799041497521,compression_wall_seconds,0.08875635397271253,0.0,1090340.8687433952,1090340.8465628808,363446.95994455076,1089268.668047898,1089268.6458891951,1.4793648275513127,0.004817467124930239,0.0,0.0,0.28154753695374807,0.01606488637820747,0.0,0.004817467124930239,0.28154753695374807,0.2976124233319556,0.0009833628420557706,fast_cpp,model_symbol,fast_floor,1
test,windows_nonoverlap,source,ncbi_eukaryotic_genomes,ncbi_eukaryotic_genomes,,99897962,99897960,33299321,130.207943275891,0.0,130.207943275891,0.0,0.0,0.4482331999170128,0.0,23.840336243942147,23.840336243942147,1.383966005,0.0,0.4482331999170128,23.840336243942147,25.22430224894215,89.03850136799156,89.13638955098577,compression_wall_seconds,0.09788818299421109,0.0,1121963.650164403,1121963.62770221,373987.8871318332,1120731.5273057884,1120731.5048682631,1.4623779744197205,0.005034150317338429,0.0,0.0,0.26775311665917717,0.015543455738098505,0.0,0.005034150317338429,0.26775311665917717,0.2832965723972757,0.0010981842936124233,fast_cpp,model_symbol,fast_floor,1
test,windows_nonoverlap,source,ncrna,ncrna,,95896259,95896257,31965420,115.19173286180012,0.0,115.19173286180012,0.0,0.0,0.44004845156450756,0.0,20.468752496904926,20.468752496904926,1.414288121,0.0,0.44004845156450756,20.468752496904926,21.883040617904925,79.98614718799945,80.05810774900601,compression_wall_seconds,0.07196056100656278,0.0,1198910.8410810865,1198910.8160767567,399636.95119441714,1197833.1951168384,1197833.170134984,1.4401460366762442,0.005501558295216016,0.0,0.0,0.25590371853760085,0.017681663271964545,0.0,0.005501558295216016,0.25590371853760085,0.2735853818095654,0.0008988541327028334,fast_cpp,model_symbol,fast_floor,1
test,windows_nonoverlap,source,organelles,organelles,,100086958,100086957,33362320,133.56478227014304,0.0,133.56478227014304,0.0,0.0,0.5464808252290823,0.0,25.11097442783648,25.11097442783648,1.478392899,0.0,0.5464808252290823,25.11097442783648,26.58936732683648,89.85076657999889,89.95892552298028,compression_wall_seconds,0.10815894298139028,0.0,1113924.3638048128,1113924.3526752472,371308.12868798134,1112585.0761126808,1112585.0649964965,1.4865180048433226,0.006082094188284097,0.0,0.0,0.27947423693351414,0.016453870737805097,0.0,0.006082094188284097,0.27947423693351414,0.2959281076713192,0.0012023147492325344,fast_cpp,model_symbol,fast_floor,1
test,windows_nonoverlap,source,plasmids_phage,plasmids_phage,,99800135,99800133,33266712,140.74173686580616,0.0,140.74173686580616,0.0,0.0,0.49015791379497387,0.0,28.27179366259952,28.27179366259952,1.47127764,0.0,0.49015791379497387,28.27179366259952,29.74307130259952,100.26053219102323,100.36301722799544,compression_wall_seconds,0.10248503697221167,0.0,995407.9917494748,995407.9718014458,331802.6672411631,994391.5374054894,994391.5174778302,1.4037601216563997,0.0048888421304316585,0.0,0.0,0.28198327940982965,0.014674544487723457,0.0,0.0048888421304316585,0.28198327940982965,0.2966578238975531,0.001021143443101114,fast_cpp,model_symbol,fast_floor,1
test,windows_nonoverlap,source,promoters,promoters,,90090600,90090600,30030201,142.2440897616616,0.0,142.2440897616616,0.0,0.0,0.45429628700367175,0.0,32.46670160247595,32.46670160247595,1.339114309,0.0,0.45429628700367175,32.46670160247595,33.80581591147595,105.91325663099997,105.9893846299965,compression_wall_seconds,0.076127998996526,0.0,850607.401431099,850607.401431099,283535.80991872173,849996.4436485943,849996.4436485943,1.3430244172099972,0.004289324126690132,0.0,0.0,0.3065404901634684,0.012643500460621772,0.0,0.004289324126690132,0.3065404901634684,0.3191839906240902,0.0007182605999863566,fast_cpp,model_symbol,fast_floor,1
test,windows_nonoverlap,source,transcripts,transcripts,,99087093,99087093,33029032,160.82327140588313,0.0,160.82327140588313,0.0,0.0,0.47268872550921515,0.0,35.25873889855575,35.25873889855575,1.46102784,0.0,0.47268872550921515,35.25873889855575,36.71976673855575,123.46339630699367,123.57876154500991,compression_wall_seconds,0.11536523801623844,0.0,802562.50811065,802562.50811065,267520.8441364499,801813.2870178543,801813.2870178543,1.3025987962131995,0.0038285738093083656,0.0,0.0,0.28558050364080656,0.01183369228210061,0.0,0.0038285738093083656,0.28558050364080656,0.29741419592290713,0.0009335361236341575,fast_cpp,model_symbol,fast_floor,1
