split,mode,row_type,species,source_name,source_count,sample_bytes,sample_bases,sample_symbols_with_eos,theoretical_bits,theoretical_bits_per_base,arithmetic_coded_bytes,arithmetic_bits_per_base,arithmetic_vs_2bit_percent,arithmetic_bytes_ratio_vs_ascii,arithmetic_size_reduction_vs_ascii_percent,arithmetic_vs_two_bit_pack_ratio,arithmetic_vs_gzip_ratio,arithmetic_vs_bz2_ratio,arithmetic_vs_lzma_ratio,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_coding_mode,arithmetic_quantization_mode,arithmetic_merge_size,arithmetic_backend,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,window_policy,window_stride,cache_reuse
test,windows_nonoverlap,aggregate,,ALL,9,884438516,884438505,294812844,1609054904.0,1.819295400305983,201131863,1.819295400305983,90.96477001529915,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,,,
test,windows_nonoverlap,source,gtdb_v220,gtdb_v220,,97479784,97479783,32493262,177556952.0,1.8214746333606426,22194619,1.8214746333606426,91.07373166803214,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
test,windows_nonoverlap,source,metagenomes,metagenomes,,103784524,103784523,34594842,191599336.0,1.8461262860937366,23949917,1.8461262860937366,92.30631430468684,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
test,windows_nonoverlap,source,mrna,mrna,,98315201,98315199,32771734,181550712.0,1.8466189749562527,22693839,1.8466189749562527,92.33094874781264,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
test,windows_nonoverlap,source,ncbi_eukaryotic_genomes,ncbi_eukaryotic_genomes,,99897962,99897960,33299321,162658760.0,1.6282490653462793,20332345,1.6282490653462793,81.41245326731396,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
test,windows_nonoverlap,source,ncrna,ncrna,,95896259,95896257,31965420,177451760.0,1.850455539677633,22181470,1.850455539677633,92.52277698388166,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
test,windows_nonoverlap,source,organelles,organelles,,100086958,100086957,33362320,183848728.0,1.8368899755839314,22981091,1.8368899755839314,91.84449877919657,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
test,windows_nonoverlap,source,plasmids_phage,plasmids_phage,,99800135,99800133,33266712,183034752.0,1.8340131069765209,22879344,1.8340131069765209,91.70065534882605,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
test,windows_nonoverlap,source,promoters,promoters,,90090600,90090600,30030201,167869008.0,1.8633354423213964,20983626,1.8633354423213964,93.16677211606982,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
test,windows_nonoverlap,source,transcripts,transcripts,,99087093,99087093,33029032,183484896.0,1.8517537496028873,22935612,1.8517537496028873,92.58768748014437,,,,,,,0,0,,,,model_symbol,fast_floor,1,fast_cpp,32768,127,0.01,0.003875732421875,contiguous_train_style,1024,True
