split,mode,row_type,species,source_name,source_count,sample_bytes,sample_bases,emitted_arithmetic_symbol_count,model_forward_seconds,softmax_seconds,model_forward_softmax_seconds,window_build_seconds,python_overhead_seconds,data_transfer_seconds,gpu_prefix_aggregate_seconds,arithmetic_quantize_seconds,cpu_small_alphabet_quantize_seconds,arithmetic_range_seconds,arithmetic_wrapper_seconds,arithmetic_interval_transfer_seconds,fast_floor_interval_seconds,arithmetic_encode_seconds,compression_process_seconds,recorded_wall_seconds,recorded_wall_seconds_source,wall_unaccounted_seconds,fasta_read_seconds,compression_bytes_per_second,compression_bases_per_second,compression_symbols_per_second,wall_bytes_per_second,wall_bases_per_second,model_forward_process_fraction,data_transfer_process_fraction,window_build_process_fraction,python_overhead_process_fraction,arithmetic_quantize_process_fraction,arithmetic_range_process_fraction,arithmetic_wrapper_process_fraction,arithmetic_interval_transfer_process_fraction,fast_floor_interval_process_fraction,arithmetic_encode_process_fraction,wall_unaccounted_fraction,arithmetic_backend,arithmetic_coding_mode,arithmetic_quantization_mode,arithmetic_merge_size
test,windows_nonoverlap,aggregate,,ALL,9,884438516,884438505,294812844,721.619695692978,0.0,721.619695692978,0.0,0.0,3.144113911417662,0.0,33.59976869735692,33.59976869735692,12.925477112,0.0,3.144113911417662,33.59976869735692,46.525245809356925,521.0467017740157,521.8673866399913,total_wall_seconds,0.8206848659756361,,1697426.5703798502,1697426.5492684988,565808.8670290901,1694757.209670447,1694757.1885922952,1.3849424499494352,0.006034226683928426,0.0,0.0,0.06448513843952812,0.02480675353666462,0.0,0.006034226683928426,0.06448513843952812,0.08929189197619275,0.0015725927447958789,fast_cpp,model_symbol,fast_floor,1
test,windows_nonoverlap,source,gtdb_v220,gtdb_v220,,97479784,97479783,32493262,71.52298561722273,0.0,71.52298561722273,0.0,0.0,0.33057476177054923,0.0,2.853525382000953,2.853525382000953,1.431719518,0.0,0.33057476177054923,2.853525382000953,4.2852449000009525,65.30627056999947,65.40872897900408,compression_wall_seconds,0.1024584090046119,0.0,1492655.8070027118,1492655.7916902464,497551.9458758808,1490317.661290905,1490317.6460024256,1.0951932332525371,0.0050619145586673474,0.0,0.0,0.04369450830823911,0.021923155395397916,0.0,0.0050619145586673474,0.04369450830823911,0.06561766370363702,0.001566433266689842,fast_cpp,model_symbol,fast_floor,1
test,windows_nonoverlap,source,metagenomes,metagenomes,,103784524,103784523,34594842,90.38569271491724,0.0,90.38569271491724,0.0,0.0,0.41241266996075865,0.0,4.50137178467412,4.50137178467412,1.529285158,0.0,0.41241266996075865,4.50137178467412,6.030656942674121,64.33240709999518,64.42088949598838,compression_wall_seconds,0.0884823959931964,0.0,1613254.1696859307,1613254.1541416654,537751.4002581538,1611038.3574642024,1611038.3419412873,1.4049791821783708,0.006410651933476146,0.0,0.0,0.06997051700051275,0.023771614135671203,0.0,0.006410651933476146,0.06997051700051275,0.09374213113618396,0.0013735047231644697,fast_cpp,model_symbol,fast_floor,1
test,windows_nonoverlap,source,mrna,mrna,,98315201,98315199,32771734,80.01428471700638,0.0,80.01428471700638,0.0,0.0,0.33803744288161397,0.0,3.775222579279216,3.775222579279216,1.438202751,0.0,0.33803744288161397,3.775222579279216,5.213425330279216,56.5622883039905,56.650685089000035,compression_wall_seconds,0.08839678500953596,0.0,1738175.804903986,1738175.7695447376,579391.9408612034,1735463.584342249,1735463.5490381746,1.4146224828630445,0.005976374949062399,0.0,0.0,0.06674451639915127,0.025426884132948597,0.0,0.005976374949062399,0.06674451639915127,0.09217140053209988,0.0015603833364179406,fast_cpp,model_symbol,fast_floor,1
test,windows_nonoverlap,source,ncbi_eukaryotic_genomes,ncbi_eukaryotic_genomes,,99897962,99897960,33299321,81.9021900655789,0.0,81.9021900655789,0.0,0.0,0.34183682962611783,0.0,3.682771705382038,3.682771705382038,1.38427254,0.0,0.34183682962611783,3.682771705382038,5.0670442453820375,57.68979947800108,57.78651527799957,compression_wall_seconds,0.096715799998492,0.0,1731639.958951395,1731639.9242832211,577213.325428494,1728741.7578203243,1728741.7232101737,1.4196996835950308,0.005925429325793911,0.0,0.0,0.06383748494023443,0.023995100564145076,0.0,0.005925429325793911,0.06383748494023443,0.0878325855043795,0.00167367420466888,fast_cpp,model_symbol,fast_floor,1
test,windows_nonoverlap,source,ncrna,ncrna,,95896259,95896257,31965420,79.61258937118691,0.0,79.61258937118691,0.0,0.0,0.3415965009917272,0.0,3.597258552283165,3.597258552283165,1.408509157,0.0,0.3415965009917272,3.597258552283165,5.005767709283165,55.88220587201067,55.990758229003404,compression_wall_seconds,0.1085523569927318,0.0,1716042.835167158,1716042.7993775902,572014.2843539807,1712715.8487081428,1712715.8129879623,1.4246500854588118,0.006112795578866371,0.0,0.0,0.06437216455846634,0.02520496703773589,0.0,0.006112795578866371,0.06437216455846634,0.08957713159620223,0.0019387549021706463,fast_cpp,model_symbol,fast_floor,1
test,windows_nonoverlap,source,organelles,organelles,,100086958,100086957,33362320,81.6946414404083,0.0,81.6946414404083,0.0,0.0,0.34057054421282373,0.0,3.6071336485329084,3.6071336485329084,1.478652132,0.0,0.34057054421282373,3.6071336485329084,5.085785780532908,57.11850291900919,57.204471529999864,compression_wall_seconds,0.0859686109906761,0.0,1752268.5799716713,1752268.5624642097,584089.538328865,1749635.2177208941,1749635.200239743,1.4302658029438673,0.005962525745741858,0.0,0.0,0.06315175405853371,0.02588744551124957,0.0,0.005962525745741858,0.06315175405853371,0.08903919956978329,0.0015028302629382984,fast_cpp,model_symbol,fast_floor,1
test,windows_nonoverlap,source,plasmids_phage,plasmids_phage,,99800135,99800133,33266712,80.33695518525201,0.0,80.33695518525201,0.0,0.0,0.3467708039097488,0.0,3.672995386456023,3.672995386456023,1.472118333,0.0,0.3467708039097488,3.672995386456023,5.145113719456023,55.81809295900166,55.90522670399514,compression_wall_seconds,0.08713374499347992,0.0,1787953.1476165464,1787953.1117858703,595984.3885106281,1785166.4483612229,1785166.4125863926,1.4392637033346773,0.006212516148920595,0.0,0.0,0.06580295369735821,0.02637349746221659,0.0,0.006212516148920595,0.06580295369735821,0.0921764511595748,0.0015585974716609656,fast_cpp,model_symbol,fast_floor,1
test,windows_nonoverlap,source,promoters,promoters,,90090600,90090600,30030201,75.00565413269214,0.0,75.00565413269214,0.0,0.0,0.3408637446409557,0.0,4.06081296748016,4.06081296748016,1.326464091,0.0,0.3408637446409557,4.06081296748016,5.38727705848016,51.657740176000516,51.73107607800921,compression_wall_seconds,0.07333590200869367,0.0,1743990.3428422692,1743990.3428422692,581330.1336389396,1741517.9971154197,1741517.9971154197,1.4519731966041123,0.006598502828029562,0.0,0.0,0.07860996152066983,0.025677934932512927,0.0,0.006598502828029562,0.07860996152066983,0.10428789645318275,0.0014176372805024373,fast_cpp,model_symbol,fast_floor,1
test,windows_nonoverlap,source,transcripts,transcripts,,99087093,99087093,33029032,81.14470244871336,0.0,81.14470244871336,0.0,0.0,0.35145061342336703,0.0,3.848676691268338,3.848676691268338,1.456253432,0.0,0.35145061342336703,3.848676691268338,5.304930123268338,56.67939439600741,56.76903525699163,compression_wall_seconds,0.0896408609842183,0.0,1748203.1001901436,1748203.1001901436,582734.3843731439,1745442.6088348315,1745442.6088348315,1.4316437801323671,0.00620067693327584,0.0,0.0,0.06790257257123138,0.025692819189729748,0.0,0.00620067693327584,0.06790257257123138,0.09359539176096113,0.0015790449948359516,fast_cpp,model_symbol,fast_floor,1
