model,window_bases,segment_count,trace_generation_seconds_mean,trace_generation_seconds_sd,model_seconds_mean,model_seconds_sd,trace_bases_per_second_mean,trace_bases_per_second_sd,model_bases_per_second_mean,model_bases_per_second_sd,factorize_seconds_mean,factorize_seconds_sd,probability_transfer_seconds_mean,probability_transfer_seconds_sd
carbon,6144,3,645.6722887883274,5.045978842795022,24.094014993868768,0.1694124550163072,3654.1633780248403,28.547345265780635,97923.6336678792,686.1776784708087,318.19923034873017,3.144528739278583,119.15152540205357,1.3809404998410537
carbon,12288,3,643.9140911976574,3.977977280612836,23.287169794978883,0.05198568830434623,3664.085161059559,22.6497996698772,101313.46440659983,226.45139668822432,317.37249009974767,3.277458568108091,119.36199194957346,0.4180793523860052
carbon,24576,3,878.1032990716631,326.6142323860961,24.078908461146057,0.42262949293387386,2914.227022467023,923.359748332997,98001.98608253083,1720.9284495508143,336.9969540258947,27.67004960619315,191.2022134059031,100.37511670153627
carbon,49152,3,1101.7375388280489,805.7530785643432,27.991480049832415,3.3665197373501417,2857.9968533519573,1469.7087418710612,85053.15480943257,9565.236346971218,362.00187596383813,87.76121347123009,255.95407903078012,239.28662696266434
carbon,98304,3,727.7993972199814,136.49782057861484,29.75975594863606,0.15232614251734378,3311.803327408237,560.849570248699,79279.45670286754,406.52901199580464,360.8868676631246,76.04343729505473,132.49978316373503,22.786064485617096
carbon,196608,3,727.5456958313007,138.85367972690912,37.19747611391358,0.23108540606690295,3315.3524675942112,570.1288898970811,63427.874217889315,394.8957182775121,355.9232165468081,76.97115266146318,131.66581107179323,23.486824257886934
evo2,6144,3,337.2286117110246,2.665233845410292,335.7699455952582,2.657020194347854,6996.4247128564975,55.48853805556686,7026.819497864773,55.777369876997916,,,0.06144386405746142,0.0016536545639116095
evo2,12288,3,339.72314108139835,3.0106892155450997,338.41861311136745,3.0437923549527843,6945.126289552946,61.83894114674361,6971.909256633658,63.01100008803969,,,0.03679985374522706,0.0006106441198675296
evo2,24576,3,364.4101413882648,3.0182478307463487,363.1386462425192,3.019769139600135,6474.584828229217,53.85885436624663,6497.25736803522,54.26498403649072,,,0.025230358665188152,0.0014271814390807182
evo2,49152,3,380.0411928296865,3.269385214095899,378.82132525672205,3.2638680997057787,6208.308508431956,53.666552110494976,6228.301234664234,53.92125560336877,,,0.01733594504185021,7.241119360567999e-05
evo2,98304,3,425.7621548777291,0.3525383788573901,420.88230554689653,2.8115954962853507,5541.349909167117,4.587835035096178,5605.762074440574,37.380899579046805,,,0.02631275961175561,0.0008419658085582573
evo2_optimized,6144,3,297.80349042771076,2.823991665808852,294.4913346856677,2.8629030407229643,7922.802384497597,75.53360063333487,8011.9351455026135,78.31624101942108,,,0.07890272722579539,0.0009840998622510394
evo2_optimized,12288,3,309.95971624405746,4.708330734523209,305.94540017990704,4.4248062745576915,7612.795514855983,115.94884586394035,7712.572298197567,111.87888213422403,,,0.23887630940104523,0.004593812235125453
evo2_optimized,24576,3,339.12394133404206,3.633019345848155,332.04498407438706,3.5414697297166065,6957.567117019605,74.97203094269466,7105.892356532603,76.20357791361866,,,0.11360211491895218,0.004702937847506253
evo2_optimized,49152,3,386.26731590135023,2.15628062783385,383.5949025224739,2.6551464205829145,6108.063130631877,34.19144101672003,6150.685539979735,42.72098214915222,,,0.05531920166686177,0.001573251336521704
evo2_optimized,98304,3,441.277504978003,3.8621074437666456,439.2276394128955,3.859554872953034,5346.787533822648,47.019438108511075,5371.743087882802,47.42886386740684,,,0.045241818918536104,0.004484271764243176
evo2_optimized,196608,3,488.4128673123196,4.926483748619606,486.5790831747775,4.97968348826818,4830.865415677106,48.969017849180695,4849.081380883438,49.87467097974202,,,0.03619693359360099,0.0016919221694676797
stap,6144,3,4.507679046985383,0.04046158385341663,,,523422.96388632816,4698.112786256259,,,,,,
stap,12288,3,4.673521641331415,0.034898371356119465,,,504840.66679581744,3773.0619288938287,,,,,,
stap,24576,3,5.0758207546314225,0.03409689881839373,,,464824.77345161693,3133.676462893547,,,,,,
stap,49152,3,5.791356455301866,0.051002225016795286,,,407403.38498622685,3594.6935350927147,,,,,,
stap,98304,3,7.321199524332769,0.10286935318963215,,,322297.61589621386,4508.035453255687,,,,,,
stap,196608,3,9.909304972000731,0.1373477726347673,,,238119.22898500165,3277.0277418507076,,,,,,
