segment,window_bases,model,scored_bases,trace_generation_seconds,model_seconds,trace_bases_per_second,model_bases_per_second,factorize_seconds,probability_transfer_seconds
segment_a,6144,stap,2359296,4.507424947922118,,523424.35587033216,,,
segment_a,6144,carbon,2359296,640.7120935339481,24.286223992006853,3682.3028998671352,97145.44347348924,314.65664847032167,117.88442702812608
segment_a,6144,evo2,2359296,339.3464730051346,337.9725410733372,6952.469489683784,6980.732791212327,,0.059647331945598125
segment_a,6144,evo2_optimized,2359296,294.5513593980577,291.1953518567607,8009.794980479583,8102.10734806145,,0.07994711468927562
segment_a,12288,stap,2359296,4.707020872971043,,501229.1348754582,,,
segment_a,12288,carbon,2359296,639.8150276169181,23.22737434168812,3687.4657489486185,101573.94311097718,313.902307609329,118.89471918321215
segment_a,12288,evo2,2359296,341.85982989007607,340.5440482094418,6901.354864532122,6928.020067903177,,0.03619373100809753
segment_a,12288,evo2_optimized,2359296,305.00602159812115,301.2506658472121,7735.24400481716,7831.670656610548,,0.23942919727414846
segment_a,24576,stap,2359296,5.036796793923713,,468411.9881203477,,,
segment_a,24576,carbon,2359296,642.3867760070134,23.653749590506777,3672.703250003144,99743.00230805193,316.09476482484024,119.11478392931167
segment_a,24576,evo2,2359296,366.5802525789477,365.3098212007899,6435.960429952226,6458.342653490365,,0.02436871873214841
segment_a,24576,evo2_optimized,2359296,334.9575840299949,328.0103188715875,7043.566446875044,7192.749326046778,,0.11789914523251355
segment_a,49152,stap,2359296,5.798739776015282,,406863.5757304558,,,
segment_a,49152,carbon,2359296,2032.1373395880219,31.878734937869012,1160.9923965465364,74008.4575061783,463.3357006299775,532.2555496403947
segment_a,49152,evo2,2359296,382.19636327400804,380.98417515540496,6172.994373336174,6192.635164013397,,0.017367126420140266
segment_a,49152,evo2_optimized,2359296,383.8192285320256,380.5768554499373,6146.893705725694,6199.2629510029465,,0.05705551616847515
segment_a,98304,stap,2359296,7.232341946917586,,326214.66425623425,,,
segment_a,98304,carbon,2359296,885.3192445239983,29.88942771940492,2664.909878095445,78934.13089566413,448.65689710713923,158.79238880891353
segment_a,98304,evo2,2359296,425.42621883400716,418.37072488758713,5545.723078531158,5639.247346080259,,0.02615773561410606
segment_a,98304,evo2_optimized,2359296,436.84740020683967,434.8005405755248,5400.732610249974,5426.157007250064,,0.04006898100487888
segment_a,196608,stap,2359296,9.85197713598609,,239474.3681836465,,,
segment_a,196608,carbon,2359296,887.8379448959604,37.254431462381035,2657.3498165551705,63329.271374933785,444.7197091674898,158.7858876090031
segment_a,196608,evo2_optimized,2359296,482.8251524239313,480.9325479976833,4886.439714574947,4905.669224972823,,0.03808605647645891
segment_b,6144,stap,2359296,4.548267081961967,,518724.15526272927,,,
segment_b,6144,carbon,2359296,650.7998851899756,23.96640881721396,3625.224978814026,98441.78232933367,320.6601923821727,120.62343187991064
segment_b,6144,evo2,2359296,338.1034517600201,336.5182927364949,6978.029912793043,7010.899707159182,,0.06178183760493994
segment_b,6144,evo2_optimized,2359296,299.63610315998085,296.3597500422038,7873.870922491377,7960.919118281139,,0.07876833970658481
segment_b,12288,stap,2359296,4.637374926940538,,508756.79391239607,,,
segment_b,12288,carbon,2359296,644.1684735330055,23.32163803721778,3662.544966008983,101163.3915351453,317.7998696878785,119.70066388032865
