source,segment,segment_start,window_bases,model,model_label,standalone_bpb,fused_bpb,fused_minus_standalone_bpb,improvement_bpb,common_mask_bases
OrSa,segment_a,6094848,6144,carbon,Carbon-3B,1.6489345323698865,1.6116515001090523,-0.03728303226083418,0.03728303226083418,2358912
OrSa,segment_a,6094848,6144,evo2_optimized,Evo2-7B optimized,1.5963050751609233,1.5670599338888342,-0.029245141272089104,0.029245141272089104,2358912
OrSa,segment_a,6094848,12288,carbon,Carbon-3B,1.634156088447921,1.601315493984198,-0.032840594463722894,0.032840594463722894,2358912
OrSa,segment_a,6094848,12288,evo2_optimized,Evo2-7B optimized,1.583624563790892,1.5577915335529922,-0.025833030237899735,0.025833030237899735,2358912
OrSa,segment_a,6094848,24576,carbon,Carbon-3B,1.6238247342605954,1.5948203748744356,-0.02900435938615975,0.02900435938615975,2358912
OrSa,segment_a,6094848,24576,evo2_optimized,Evo2-7B optimized,1.5742926973728246,1.551063945667756,-0.023228751705068662,0.023228751705068662,2358912
OrSa,segment_a,6094848,49152,carbon,Carbon-3B,1.6160569414390973,1.5897260411453753,-0.02633090029372198,0.02633090029372198,2358912
OrSa,segment_a,6094848,49152,evo2_optimized,Evo2-7B optimized,1.567112651329819,1.5464016604182087,-0.020710990911610327,0.020710990911610327,2358912
OrSa,segment_a,6094848,98304,carbon,Carbon-3B,1.6115961695269176,1.587222471219255,-0.02437369830766256,0.02437369830766256,2358912
OrSa,segment_a,6094848,98304,evo2_optimized,Evo2-7B optimized,1.5626536081454678,1.5432820099206053,-0.019371598224862563,0.019371598224862563,2358912
OrSa,segment_a,6094848,196608,carbon,Carbon-3B,1.6059725015385866,1.583407042757647,-0.02256545878093963,0.02256545878093963,2358912
OrSa,segment_a,6094848,196608,evo2_optimized,Evo2-7B optimized,1.5970240829576439,1.5669693552998019,-0.030054727657842006,0.030054727657842006,2358912
OrSa,segment_b,20447232,6144,carbon,Carbon-3B,1.6017905619721504,1.5035943408476562,-0.09819622112449422,0.09819622112449422,2358912
OrSa,segment_b,20447232,6144,evo2_optimized,Evo2-7B optimized,1.5270648595685052,1.448082173516605,-0.07898268605190029,0.07898268605190029,2358912
OrSa,segment_b,20447232,12288,carbon,Carbon-3B,1.5770878002421282,1.4899625029260821,-0.08712529731604612,0.08712529731604612,2358912
OrSa,segment_b,20447232,12288,evo2_optimized,Evo2-7B optimized,1.5065133439234843,1.435516812121167,-0.07099653180231735,0.07099653180231735,2358912
OrSa,segment_b,20447232,24576,carbon,Carbon-3B,1.5557498910396306,1.47973484067874,-0.07601505036089051,0.07601505036089051,2358912
OrSa,segment_b,20447232,24576,evo2_optimized,Evo2-7B optimized,1.4881719160986375,1.426284226594804,-0.06188768950383361,0.06188768950383361,2358912
OrSa,segment_b,20447232,49152,carbon,Carbon-3B,1.5371230383693024,1.4705433100839305,-0.06657972828537195,0.06657972828537195,2358912
OrSa,segment_b,20447232,49152,evo2_optimized,Evo2-7B optimized,1.4712030050256852,1.4181574243277877,-0.053045580697897554,0.053045580697897554,2358912
OrSa,segment_b,20447232,98304,carbon,Carbon-3B,1.5273661935222107,1.4657222145837792,-0.06164397893843154,0.06164397893843154,2358912
OrSa,segment_b,20447232,98304,evo2_optimized,Evo2-7B optimized,1.4628819445312904,1.413277789598925,-0.04960415493236536,0.04960415493236536,2358912
OrSa,segment_b,20447232,196608,carbon,Carbon-3B,1.516635532684976,1.46169310251806,-0.054942430166916134,0.054942430166916134,2358912
OrSa,segment_b,20447232,196608,evo2_optimized,Evo2-7B optimized,1.5010752171861994,1.4346025256070487,-0.0664726915791507,0.0664726915791507,2358912
OrSa,segment_c,34799616,6144,carbon,Carbon-3B,1.6177042194595683,1.5447750908067766,-0.07292912865279177,0.07292912865279177,2358912
OrSa,segment_c,34799616,6144,evo2_optimized,Evo2-7B optimized,1.563651309202601,1.5042972252329987,-0.05935408396960229,0.05935408396960229,2358912
OrSa,segment_c,34799616,12288,carbon,Carbon-3B,1.6003559232536735,1.5320845278783681,-0.06827139537530535,0.06827139537530535,2358912
OrSa,segment_c,34799616,12288,evo2_optimized,Evo2-7B optimized,1.5509897444150595,1.4946603888910497,-0.05632935552400986,0.05632935552400986,2358912
OrSa,segment_c,34799616,24576,carbon,Carbon-3B,1.587797151090039,1.5248449198832692,-0.06295223120676985,0.06295223120676985,2358912
OrSa,segment_c,34799616,24576,evo2_optimized,Evo2-7B optimized,1.5404636059687096,1.489078198142593,-0.05138540782611667,0.05138540782611667,2358912
OrSa,segment_c,34799616,49152,carbon,Carbon-3B,1.574942167051835,1.519854395477443,-0.05508777157439204,0.05508777157439204,2358912
OrSa,segment_c,34799616,49152,evo2_optimized,Evo2-7B optimized,1.5290047896731933,1.4846867513594149,-0.04431803831377845,0.04431803831377845,2358912
OrSa,segment_c,34799616,98304,carbon,Carbon-3B,1.5668833774428728,1.5175081677443167,-0.04937520969855602,0.04937520969855602,2358912
OrSa,segment_c,34799616,98304,evo2_optimized,Evo2-7B optimized,1.5220641448734826,1.480845567100688,-0.041218577772794696,0.041218577772794696,2358912
OrSa,segment_c,34799616,196608,carbon,Carbon-3B,1.5540714704111187,1.5133573303888876,-0.04071414002223106,0.04071414002223106,2358912
OrSa,segment_c,34799616,196608,evo2_optimized,Evo2-7B optimized,1.5530930459909063,1.5023622934196523,-0.05073075257125392,0.05073075257125392,2358912
