species,region_class,base_count,interval_count,coverage_fraction,sum_bits,mean_bpb,min_bpb,max_bpb
HoSa,intergenic,90339047,1758,0.47608841777175126,124083716.62077855,1.3735336019293911,9.631070732316332e-06,15.317832018623692
HoSa,cds,1441170,8303,0.007594992064064112,982180.6641144925,0.6815161737438973,2.7625185886427226e-06,14.417034535010714
HoSa,rna,32807509,1424,0.17289616804173824,46859729.89398593,1.4283233114097729,1.1180276959953806e-05,15.521165827742577
HoSa,exon_non_cds,3198055,3639,0.016853807909851408,4772390.334330143,1.4922790053110855,3.830995971436859e-05,18.15056676450337
HoSa,intron,61958107,9043,0.3265203487232145,91001299.59055883,1.4687553251192589,2.2648179204300205e-06,16.000133263838524
HoSa,gene_other,0,0,0.0,0.0,,,
HoSa,repeat_mobile_existing,8779,12,4.626548938044702e-05,2990.3113158956858,0.34062094952678956,0.001597689858492095,10.43603389026545
GaGa,intergenic,72256287,1629,0.48646853188707906,125804513.10239682,1.7410874309442004,2.2014031025226394e-05,14.52315220142457
GaGa,cds,2636753,15435,0.017752051954438946,1851023.746885884,0.7020087762812384,3.697059236959342e-06,16.02080862463826
GaGa,rna,6218101,657,0.04186363000627998,11079308.83395654,1.7817833505690146,2.25365311610089e-05,12.167182324094783
GaGa,exon_non_cds,2973437,4368,0.020018791334361265,5039338.834559423,1.6947858100102418,1.5994479754021936e-05,14.93767232352667
GaGa,intron,64447716,15294,0.4338969948178408,114400404.0013249,1.7750885694898002,3.0970663217321715e-06,15.07019964194927
GaGa,gene_other,0,0,0.0,0.0,,,
GaGa,repeat_mobile_existing,0,0,0.0,0.0,,,
DaRe,intergenic,22651647,1810,0.36204970445146506,29788948.778864898,1.31508974949437,9.008484174179623e-06,18.03403038618794
DaRe,cds,2371006,12026,0.037896671334876904,2256121.4044880704,0.9515460544967286,6.763572716005095e-06,14.014501224862753
DaRe,rna,2047937,662,0.032732939268620066,2844201.3972212123,1.3888129357598462,2.820545259339609e-05,17.0019215777761
DaRe,exon_non_cds,1964189,3685,0.031394363815435526,3034838.5897497027,1.54508481095745,1.42007798675717e-05,16.073948373184777
DaRe,intron,33530241,11613,0.5359263211296025,45115322.752856754,1.3455114370593624,6.407497592394896e-06,17.279336400917767
DaRe,gene_other,0,0,0.0,0.0,,,
DaRe,repeat_mobile_existing,0,0,0.0,0.0,,,
OrSa,intergenic,26201502,4277,0.6056397126908202,39453988.10400208,1.5057910841905964,9.214439292665405e-06,16.049092478785237
OrSa,cds,5361231,20886,0.12392321640603346,5947169.7038354445,1.1092918219407901,4.9798281493154974e-06,14.499666861144394
