species,sample_bases,core_base_count,window_count,window_bases,left_model_family,right_model_family,left_only_theoretical_bits_per_base,right_only_theoretical_bits_per_base,theoretical_bits_per_base,core_theoretical_bits_per_base,fusion_final_mean_left_weight,fusion_final_mean_right_weight,fusion_wall_seconds,trace_left,trace_right
HoSa,189752667,189752667,23164,8192,carbon,evo2,1.429414354139928,1.4294703459250915,1.4107960201428398,1.4107960201428398,0.4875349456234647,,66.91846810298739,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/HoSa,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/HoSa
GaGa,148532294,148532294,18132,8192,carbon,evo2,1.7565044813787858,1.7449407511602981,1.7381714209512118,1.7381714209512118,0.46452596029597965,,52.211428134993184,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/GaGa,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/GaGa
AnCa,142189675,142189675,17358,8192,carbon,evo2,1.4821611031344835,1.488806267296228,1.456884754255683,1.456884754255683,0.4927215805597735,,50.159801047993824,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/AnCa,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/AnCa
DaRe,62565020,62565020,7638,8192,carbon,evo2,1.3509430659030903,1.4166784022809091,1.3272501618825034,1.3272501618825034,0.5522314219120881,,21.935563188046217,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/DaRe,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/DaRe
OrSa,43262523,43262523,5282,8192,carbon,evo2,1.5942965463313046,1.5329368490755255,1.5198881283135706,1.5198881283135706,0.4096968244571969,,15.355445373978,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/OrSa,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/OrSa
DrMe,32181429,32181429,3929,8192,carbon,evo2,1.6961821757648483,1.672211060049963,1.6617630003634247,1.6617630003634247,0.45507934157499064,,11.397082283976488,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/DrMe,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/DrMe
WaMe,9144432,9144432,1117,8192,carbon,evo2,1.7116795190549094,1.6727701904859076,1.6637696372876287,1.6637696372876287,0.41953289337475863,,3.500330352981109,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/WaMe,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/WaMe
EsCo,4641652,4641652,567,8192,carbon,evo2,1.1718664556422524,0.7727940272274678,0.7780985608947338,0.7780985608947338,0.13800309582394363,,1.941341869009193,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/EsCo,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/EsCo
HaHi,3890005,3890005,475,8192,carbon,evo2,1.461911903224992,1.190829879226062,1.1966094379349141,1.1966094379349141,0.17660544406254514,,1.453786789032165,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/HaHi,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/HaHi
AeCa,1591049,1591049,195,8192,carbon,evo2,1.6199345655773,1.4924601795040147,1.4973575295448014,1.4973575295448014,0.2759773001125362,,0.8082849020138383,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/AeCa,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/AeCa
YeMi,73689,73689,9,8192,carbon,evo2,1.7133479216412417,1.3912601965374432,1.3957684748500179,1.3957684748500179,0.30583060577022675,,0.3687463130336255,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/YeMi,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/YeMi
AgPh,43970,43970,6,8192,carbon,evo2,1.8203309654853668,1.3213613187473006,1.3245982259160505,1.3245982259160505,0.1612582897052987,,0.35917572799371555,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/AgPh,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/AgPh
BuEb,18940,18940,3,8192,carbon,evo2,1.9277192540692547,1.91752209118082,1.9179957212917198,1.9179957212917198,0.5202428796092365,,0.3550961680011824,outputs/carbon3b_dnacorpus_w8192_target_traces_position_major/traces/BuEb,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/BuEb
