species,sample_bases,carbon3b_bpb,evo2_7b_bpb,nc_prefix_bpb,carbon_evo2_fused_bpb,carbon_nc_fused_bpb,carbon_evo2_minus_carbon_bpb,carbon_nc_minus_carbon_bpb,carbon_evo2_minus_carbon_nc_bpb
HoSa,189752667,1.4294143541399278,1.4294703459250915,1.6403478393029765,1.4107960201428398,1.4209145336153566,-0.01861833399708801,-0.008499820524571211,-0.010118513472516799
GaGa,148532294,1.756504481378786,1.7449407511602981,1.8256031150564564,1.7381714209512118,1.736914083233996,-0.01833306042757421,-0.019590398144790022,0.0012573377172158118
AnCa,142189675,1.4821611031344837,1.488806267296228,1.5565593795137986,1.456884754255683,1.4317187628920194,-0.025276348878800592,-0.0504423402424643,0.02516599136366371
DaRe,62565020,1.3509430659030903,1.4166784022809091,1.4742879644182967,1.3272501618825034,1.27203046285409,-0.02369290402058688,-0.07891260304900038,0.055219699028413505
OrSa,43262523,1.5942965463313044,1.5329368490755255,1.6020771257899085,1.5198881283135706,1.4269679512910702,-0.07440841801773379,-0.16732859504023412,0.09292017702250033
DrMe,32181429,1.696182175764848,1.672211060049963,1.8613661170608848,1.6617630003634247,1.6658017474121833,-0.03441917540142336,-0.030380428352664746,-0.0040387470487586175
WaMe,9144432,1.7116795190549097,1.6727701904859076,1.9424551740830287,1.6637696372876287,1.7027595030788498,-0.04790988176728095,-0.008920015976059847,-0.0389898657912211
EsCo,4641652,1.1718664556422511,0.7727940272274678,1.8962380434785238,0.7780985608947338,1.159249354876312,-0.3937678947475173,-0.012617100765939027,-0.38115079398157825
HaHi,3890005,1.4619119032249914,1.190829879226062,1.859065527959325,1.1966094379349141,1.4558033526400471,-0.2653024652900773,-0.006108550584944306,-0.259193914705133
AeCa,1591049,1.6199345655772996,1.4924601795040147,1.9108651237227945,1.4973575295448014,1.621414081129632,-0.12257703603249825,0.0014795155523323889,-0.12405655158483064
YeMi,73689,1.7133479216412415,1.3912601965374432,1.8166345907247634,1.3957684748500179,1.7158009621258388,-0.31757944679122363,0.0024530404845972686,-0.3200324872758209
AgPh,43970,1.8203309654853672,1.3213613187473006,1.94119662258643,1.3245982259160505,1.8279946279989825,-0.49573273956931674,0.007663662513615277,-0.503396402082932
BuEb,18940,1.9277192540692547,1.91752209118082,1.959946932435798,1.9179957212917198,1.9284571428467079,-0.009723532777534905,0.0007378887774531773,-0.010461421554988082
