source,sample_bases,window_bases,left_model_label,right_model_label,fusion_model_label,left_full_sequence_bpb,right_full_sequence_bpb,fusion_full_sequence_bpb,left_minus_right_full_bpb,fusion_minus_left_full_bpb,fusion_minus_right_full_bpb,left_window_mean_bpb,right_window_mean_bpb,fusion_window_mean_bpb,left_minus_right_window_mean_bpb,fusion_minus_left_window_mean_bpb,fusion_minus_right_window_mean_bpb,left_curve_data_path,right_curve_data_path,fusion_curve_data_path,extra_evo2_7b_full_sequence_bpb,extra_evo2_7b_curve_data_path,extra_fusion_evo2_7b___nc_full_sequence_bpb,extra_fusion_evo2_7b___nc_curve_data_path,plot_path,left_trace_read_seconds,right_trace_read_seconds,fusion_trace_read_seconds,extra_evo2_7b_trace_read_seconds,extra_fusion_evo2_7b___nc_trace_read_seconds,dense_full_position_curve,requested_dense_position_smooth_bases,effective_dense_position_smooth_bases,dense_plot_max_points
HoSa,189752667,8192,Carbon 3B,nc_prefix,Carbon 3B + nc,1.4294143541399278,1.6403478393029765,1.4209145336153566,-0.21093348516304866,-0.008499820524571211,-0.21943330568761987,1.4294135878256589,1.640348655568763,1.420913155787137,-0.2109350677431041,-0.008500432038521799,-0.2194354997816259,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_left/dnacorpus_w8192_left_curve_HoSa.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_right/dnacorpus_w8192_right_curve_HoSa.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_fusion/dnacorpus_w8192_fusion_curve_HoSa.npz,1.429470345925092,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b/dnacorpus_w8192_evo2_7b_curve_HoSa.npz,1.42313738599963,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b_nc/dnacorpus_w8192_evo2_7b___nc_curve_HoSa.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/dnacorpus_w8192_curve_HoSa.png,0.0,0.0,0.0,0.0,0.0,False,0,131072,4096
GaGa,148532294,8192,Carbon 3B,nc_prefix,Carbon 3B + nc,1.756504481378786,1.8256031150564564,1.736914083233996,-0.06909863367767044,-0.019590398144790022,-0.08868903182246046,1.7564816881380458,1.8255973892627884,1.7368920337089917,-0.06911570112474252,-0.019589654429054137,-0.08870535555379666,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_left/dnacorpus_w8192_left_curve_GaGa.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_right/dnacorpus_w8192_right_curve_GaGa.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_fusion/dnacorpus_w8192_fusion_curve_GaGa.npz,1.7449407511602981,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b/dnacorpus_w8192_evo2_7b_curve_GaGa.npz,1.732870483917662,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b_nc/dnacorpus_w8192_evo2_7b___nc_curve_GaGa.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/dnacorpus_w8192_curve_GaGa.png,0.0,0.0,0.0,0.0,0.0,False,0,131072,4096
AnCa,142189675,8192,Carbon 3B,nc_prefix,Carbon 3B + nc,1.4821611031344837,1.5565593795137986,1.4317187628920194,-0.07439827637931495,-0.0504423402424643,-0.12484061662177925,1.482173240309089,1.556560785386135,1.431725545257402,-0.07438754507704592,-0.050447695051687,-0.12483524012873293,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_left/dnacorpus_w8192_left_curve_AnCa.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_right/dnacorpus_w8192_right_curve_AnCa.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_fusion/dnacorpus_w8192_fusion_curve_AnCa.npz,1.4888062672962283,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b/dnacorpus_w8192_evo2_7b_curve_AnCa.npz,1.4278907783914832,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b_nc/dnacorpus_w8192_evo2_7b___nc_curve_AnCa.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/dnacorpus_w8192_curve_AnCa.png,0.0,0.0,0.0,0.0,0.0,False,0,131072,4096
DaRe,62565020,8192,Carbon 3B,nc_prefix,Carbon 3B + nc,1.3509430659030903,1.4742879644182967,1.27203046285409,-0.12334489851520636,-0.07891260304900038,-0.20225750156420674,1.3509423029137144,1.4742804091081363,1.27203699340739,-0.12333810619442187,-0.07890530950632435,-0.20224341570074622,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_left/dnacorpus_w8192_left_curve_DaRe.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_right/dnacorpus_w8192_right_curve_DaRe.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_fusion/dnacorpus_w8192_fusion_curve_DaRe.npz,1.416678402280909,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b/dnacorpus_w8192_evo2_7b_curve_DaRe.npz,1.2970284596210264,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b_nc/dnacorpus_w8192_evo2_7b___nc_curve_DaRe.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/dnacorpus_w8192_curve_DaRe.png,0.0,0.0,0.0,0.0,0.0,False,0,131072,4096
OrSa,43262523,8192,Carbon 3B,nc_prefix,Carbon 3B + nc,1.5942965463313044,1.6020771257899085,1.4269679512910702,-0.007780579458604109,-0.16732859504023412,-0.17510917449883823,1.5942764313710274,1.602135118298777,1.4269781269102058,-0.007858686927749714,-0.1672983044608216,-0.17515699138857133,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_left/dnacorpus_w8192_left_curve_OrSa.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_right/dnacorpus_w8192_right_curve_OrSa.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_fusion/dnacorpus_w8192_fusion_curve_OrSa.npz,1.5329368490755257,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b/dnacorpus_w8192_evo2_7b_curve_OrSa.npz,1.3978098706917579,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b_nc/dnacorpus_w8192_evo2_7b___nc_curve_OrSa.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/dnacorpus_w8192_curve_OrSa.png,0.0,0.0,0.0,0.0,0.0,False,0,131072,4096
DrMe,32181429,8192,Carbon 3B,nc_prefix,Carbon 3B + nc,1.696182175764848,1.8613661170608848,1.6658017474121833,-0.16518394129603675,-0.030380428352664746,-0.1955643696487015,1.6962087883176193,1.8613368000775448,1.6657916401050934,-0.16512801175992542,-0.030417148212525946,-0.19554515997245137,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_left/dnacorpus_w8192_left_curve_DrMe.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_right/dnacorpus_w8192_right_curve_DrMe.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_fusion/dnacorpus_w8192_fusion_curve_DrMe.npz,1.6722110600499636,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b/dnacorpus_w8192_evo2_7b_curve_DrMe.npz,1.6483136747331149,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b_nc/dnacorpus_w8192_evo2_7b___nc_curve_DrMe.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/dnacorpus_w8192_curve_DrMe.png,0.0,0.0,0.0,0.0,0.0,False,0,131072,4096
EnIn,40496007,8192,Carbon 3B,nc_prefix,Carbon 3B + nc,1.7019902313276472,1.4027163866456023,1.3233230234543631,0.2992738446820449,-0.378667207873284,-0.07939336319123913,1.807664924571591,1.568419148604716,1.4972123726093147,0.2392457759668749,-0.3104525519622763,-0.07120677599540137,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_left/dnacorpus_w8192_left_curve_EnIn.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_right/dnacorpus_w8192_right_curve_EnIn.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_fusion/dnacorpus_w8192_fusion_curve_EnIn.npz,1.6664483566073747,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b/dnacorpus_w8192_evo2_7b_curve_EnIn.npz,1.302126456478052,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b_nc/dnacorpus_w8192_evo2_7b___nc_curve_EnIn.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/dnacorpus_w8192_curve_EnIn.png,0.0,0.0,0.0,0.0,0.0,False,0,131072,4096
ScPo,12590851,8192,Carbon 3B,nc_prefix,Carbon 3B + nc,1.6798997337962518,1.8588373611068552,1.6341602276487943,-0.17893762731060336,-0.045739506147457476,-0.22467713345806084,1.771851580020192,1.8926365193520758,1.7280827223922453,-0.12078493933188383,-0.04376885762794669,-0.16455379695983052,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_left/dnacorpus_w8192_left_curve_ScPo.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_right/dnacorpus_w8192_right_curve_ScPo.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_fusion/dnacorpus_w8192_fusion_curve_ScPo.npz,1.6641981476181098,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b/dnacorpus_w8192_evo2_7b_curve_ScPo.npz,1.6219899454440891,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b_nc/dnacorpus_w8192_evo2_7b___nc_curve_ScPo.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/dnacorpus_w8192_curve_ScPo.png,0.0,0.0,0.0,0.0,0.0,False,0,131072,4096
WaMe,9144432,8192,Carbon 3B,nc_prefix,Carbon 3B + nc,1.7116795190549097,1.9424551740830287,1.7027595030788498,-0.23077565502811903,-0.008920015976059847,-0.23969567100417888,1.7116183332812072,1.9422743834868648,1.702699989000387,-0.2306560502056576,-0.008918344280820056,-0.23957439448647766,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_left/dnacorpus_w8192_left_curve_WaMe.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_right/dnacorpus_w8192_right_curve_WaMe.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_fusion/dnacorpus_w8192_fusion_curve_WaMe.npz,1.6727701904859076,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b/dnacorpus_w8192_evo2_7b_curve_WaMe.npz,1.6673104777944212,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b_nc/dnacorpus_w8192_evo2_7b___nc_curve_WaMe.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/dnacorpus_w8192_curve_WaMe.png,0.0,0.0,0.0,0.0,0.0,False,0,131072,4096
PlFa,23326872,8192,Carbon 3B,nc_prefix,Carbon 3B + nc,1.4139072280340026,1.5085020810191956,1.3701890741621263,-0.09459485298519299,-0.043718153871876275,-0.13831300685706927,1.7387216758315462,1.7155427908039702,1.6592069436509318,0.023178885027576035,-0.07951473218061444,-0.05633584715303841,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_left/dnacorpus_w8192_left_curve_PlFa.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_right/dnacorpus_w8192_right_curve_PlFa.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_fusion/dnacorpus_w8192_fusion_curve_PlFa.npz,1.3922759115732382,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b/dnacorpus_w8192_evo2_7b_curve_PlFa.npz,1.3542202211638843,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/curve_data_evo2_7b_nc/dnacorpus_w8192_evo2_7b___nc_curve_PlFa.npz,/home/Liang_junnan/DNACompress/outputs/dnacorpus_w8192_comprehensive_analysis_v1/dnacorpus_w8192_curve_PlFa.png,0.0,0.0,0.0,0.0,0.0,False,0,131072,4096
