species,region_class,base_count,interval_count,coverage_fraction,sum_bits,mean_bpb,min_bpb,max_bpb
HePy,intergenic,128733,1228,0.07718499865095782,217438.00048387126,1.689061860469897,0.0012151390657976079,9.478219028631093
HePy,cds,1526441,1183,0.9152147974937794,1923415.0250688032,1.260065095911865,0.0004467080952625598,13.301945879772552
HePy,rna,12676,46,0.007600203855262763,3504.831024531435,0.2764934541283871,0.0004947069128505887,11.599891382136585
HePy,exon_non_cds,0,0,0.0,0.0,,,
HePy,intron,0,0,0.0,0.0,,,
HePy,gene_other,0,0,0.0,0.0,,,
HePy,repeat_mobile_existing,0,0,0.0,0.0,,,
ScPo,intergenic,1237740,4602,0.09830471347806435,2287458.6691147764,1.8480930317471977,0.0006434445729387954,11.7464493800029
ScPo,cds,7188107,10215,0.5708992188057821,10980447.818395661,1.5275854711672574,0.00044593393387138856,12.490998131047718
ScPo,rna,2516991,8189,0.19990634469425458,4649928.1259651305,1.8474154758460124,0.0005201692994703516,11.908177739584353
ScPo,exon_non_cds,1362461,6680,0.10821039816927386,2523819.560788429,1.8523976545298757,0.0011943978429799975,12.263553164367652
ScPo,intron,209346,2624,0.01662683483427768,381996.2576082041,1.8247124741251521,0.0013030989342811738,12.844679755209603
ScPo,gene_other,0,0,0.0,0.0,,,
ScPo,repeat_mobile_existing,76206,231,0.006052490018347449,130020.47926351774,1.7061711579602359,0.000686546089597768,8.536185547957608
PlFa,intergenic,9353538,5636,0.40097695053155863,12575641.829522314,1.3444796856037056,0.0008990614146189131,11.891254784239129
PlFa,cds,12205712,13684,0.5232468373813686,17636439.477263294,1.444933280194002,0.00043707411642104926,14.11410016480714
PlFa,rna,114036,202,0.00488861086904408,128072.76956888067,1.1230906868785355,0.000523782242086463,10.689719924773847
PlFa,exon_non_cds,0,0,0.0,0.0,,,
PlFa,intron,1653586,8563,0.07088760121802871,2137287.9015979045,1.2925169308387374,0.0009532707391972413,14.047662565581254
PlFa,gene_other,0,0,0.0,0.0,,,
PlFa,repeat_mobile_existing,0,0,0.0,0.0,,,
EnIn,intergenic,24399207,11981,0.602508958475832,41262550.40498626,1.6911430935024347,0.000507179985280518,12.89483671645801
EnIn,cds,15562764,17411,0.384303667272677,25317929.36752723,1.626827301855071,0.0004615032594603648,14.36060905387971
EnIn,rna,0,0,0.0,0.0,,,
EnIn,exon_non_cds,0,0,0.0,0.0,,,
EnIn,intron,534036,5450,0.013187374251491017,904024.541797531,1.6928157311445875,0.0006187542642555669,13.830892950564671
EnIn,gene_other,0,0,0.0,0.0,,,
EnIn,repeat_mobile_existing,0,0,0.0,0.0,,,
