species,sample_bases,core_base_count,window_bases,trace_emission_order,trace_selection,fusion_eta,fusion_initial_lm_weight,fusion_final_mean_lm_weight,fused_theoretical_bpb,lm_only_theoretical_bpb,evo2_7b_only_theoretical_bpb,nc_prefix_only_theoretical_bpb,fused_minus_lm_bpb,fused_minus_evo2_7b_bpb,fused_minus_nc_prefix_bpb,process_seconds,bases_per_second,trace_left,trace_right
HoSa,189752667,189752667,8192,position_major_v1,position_major,0.05,0.5,0.742965606830016,1.42313738599963,1.4294703459250915,1.4294703459250915,1.640347839025435,-0.006332959925461568,-0.006332959925461568,-0.217210453025805,66.17362287500873,2867497.029117056,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/HoSa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/HoSa
GaGa,148532294,148532294,8192,position_major_v1,position_major,0.05,0.5,0.6070818303568477,1.732870483917662,1.7449407511602981,1.7449407511602981,1.8256031147530771,-0.012070267242636046,-0.012070267242636046,-0.09273263083541505,49.90141229896108,2976514.8350940035,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/GaGa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/GaGa
AnCa,142189675,142189675,8192,position_major_v1,position_major,0.05,0.5,0.6227402438867091,1.4278907783914832,1.488806267296228,1.488806267296228,1.5565593792199641,-0.06091548890474474,-0.06091548890474474,-0.12866860082848097,47.96297028998379,2964571.9216370923,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/AnCa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/AnCa
DaRe,62565020,62565020,8192,position_major_v1,position_major,0.05,0.5,0.5902680489554217,1.2970284596210264,1.4166784022809091,1.4166784022809091,1.474287964158913,-0.11964994265988271,-0.11964994265988271,-0.17725950453788664,21.01549293001881,2977090.2927825833,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/DaRe,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/DaRe
OrSa,43262523,43262523,8192,position_major_v1,position_major,0.05,0.5,0.5964716800021014,1.3978098706917579,1.5329368490755255,1.5329368490755255,1.6020771255895818,-0.13512697838376764,-0.13512697838376764,-0.20426725489782394,14.614798984024674,2960185.9763716175,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/OrSa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/OrSa
DrMe,32181429,32181429,8192,position_major_v1,position_major,0.05,0.5,0.6974642394853335,1.6483136747331149,1.672211060049963,1.672211060049963,1.8613661167881657,-0.02389738531684804,-0.02389738531684804,-0.2130524420550508,10.781073622987606,2984992.9724422027,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/DrMe,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/DrMe
EnIn,40496007,40496007,8192,position_major_v1,corrected_supplement_position_major,0.05,0.5,0.42363081545252784,1.302126456478052,1.6664483566073744,1.6664483566073744,1.4027163866456027,-0.36432190012932253,-0.36432190012932253,-0.1005899301675508,13.394553014950361,3023319.0278765024,/home/Liang_junnan/DNACompress/outputs/evo2_7b_corrected_supplement_w8192_full_forward_bs12_target_traces_position_major/traces/EnIn,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_corrected_supplement_w8192_target_traces_position_major/traces/EnIn
ScPo,12590851,12590851,8192,position_major_v1,corrected_supplement_position_major,0.05,0.5,0.7216505074563874,1.6219899454440891,1.6641981476181096,1.6641981476181096,1.858837361106855,-0.04220820217402044,-0.04220820217402044,-0.2368474156627658,4.169394150027074,3019827.4729958647,/home/Liang_junnan/DNACompress/outputs/evo2_7b_corrected_supplement_w8192_full_forward_bs12_target_traces_position_major/traces/ScPo,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_corrected_supplement_w8192_target_traces_position_major/traces/ScPo
WaMe,9144432,9144432,8192,position_major_v1,position_major,0.05,0.5,0.7900213953090228,1.6673104777944212,1.6727701904859076,1.6727701904859076,1.9424551738471993,-0.005459712691486374,-0.005459712691486374,-0.27514469605277814,3.180978158954531,2874723.2904627784,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/WaMe,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/WaMe
PlFa,23326872,23326872,8192,position_major_v1,corrected_supplement_position_major,0.05,0.5,0.7053039984993429,1.3542202211638843,1.3922759115732386,1.3922759115732386,1.5085020810191958,-0.038055690409354304,-0.038055690409354304,-0.1542818598553115,7.601291447994299,3068803.789408062,/home/Liang_junnan/DNACompress/outputs/evo2_7b_corrected_supplement_w8192_full_forward_bs12_target_traces_position_major/traces/PlFa,/home/Liang_junnan/DNACompress/outputs/nc_prefix_dnacorpus_corrected_supplement_w8192_target_traces_position_major/traces/PlFa
