source,model_family,model_id,core_base_count,tail_base_count,row_count,window_bases,token_merge_size,dtype,emission_order,shard_count,checksum_sha256,trace_generation_seconds,batch_size,batch_count,trace_dir,depth_major_trace_dir
HoSa,evo2,third_party/evo2_7b_base/evo2_7b_base.pt:full_forward_base_w8192,189752667,0,189752667,8192,1,float32,position_major_v1,190,f20bcdb085901a5b9951386f6c74c86ccb70855f648c0cf1e6b445a19aebb8cb,21187.52499220596,12,1931,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/HoSa,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces/traces/HoSa
GaGa,evo2,third_party/evo2_7b_base/evo2_7b_base.pt:full_forward_base_w8192,148532294,0,148532294,8192,1,float32,position_major_v1,149,490a41ab4af80af55ab75617839c9c5b9c3e4656fe285b8d017cb264e8990468,16627.352071124013,12,1511,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/GaGa,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces/traces/GaGa
AnCa,evo2,third_party/evo2_7b_base/evo2_7b_base.pt:full_forward_base_w8192,142189675,0,142189675,8192,1,float32,position_major_v1,143,3b252fc04c12b35ea2e8f61dfebefb65461932cf62da4e901881818f03514e64,15878.64228356001,12,1447,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/AnCa,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces/traces/AnCa
DaRe,evo2,third_party/evo2_7b_base/evo2_7b_base.pt:full_forward_base_w8192,62565020,0,62565020,8192,1,float32,position_major_v1,63,d4719afb0def17c96b3860fefe5a95cf4d24dc338b3606de0780ca255d0f1770,6999.906048514997,12,637,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/DaRe,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces/traces/DaRe
OrSa,evo2,third_party/evo2_7b_base/evo2_7b_base.pt:full_forward_base_w8192,43262523,0,43262523,8192,1,float32,position_major_v1,44,0e11059f61f11aaecbc3cad5cd5dae5644815558b20b6d425a72eff469ccefc4,4842.923982200038,12,441,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/OrSa,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces/traces/OrSa
DrMe,evo2,third_party/evo2_7b_base/evo2_7b_base.pt:full_forward_base_w8192,32181429,0,32181429,8192,1,float32,position_major_v1,33,d08b568a98a415cef9612293830d5b9af2a49943579ff49a756d6ca71ed97969,3600.645443268004,12,328,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/DrMe,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces/traces/DrMe
EnIn,evo2,third_party/evo2_7b_base/evo2_7b_base.pt:full_forward_base_w8192,40496007,0,40496007,8192,1,,,,,4521.820801527996,12,412,outputs/evo2_7b_corrected_supplement_w8192_full_forward_bs12_target_traces_position_major/traces/EnIn,outputs/evo2_7b_corrected_supplement_w8192_full_forward_bs12_target_traces/traces/EnIn
ScPo,evo2,third_party/evo2_7b_base/evo2_7b_base.pt:full_forward_base_w8192,12590851,0,12590851,8192,1,,,,,1406.7146460330114,12,129,outputs/evo2_7b_corrected_supplement_w8192_full_forward_bs12_target_traces_position_major/traces/ScPo,outputs/evo2_7b_corrected_supplement_w8192_full_forward_bs12_target_traces/traces/ScPo
WaMe,evo2,third_party/evo2_7b_base/evo2_7b_base.pt:full_forward_base_w8192,9144432,0,9144432,8192,1,float32,position_major_v1,10,6a54775fdf558d377d90a8b8cb6c9c7a7dcd6c74a7b6ab42301153c9decad0f4,1022.7747373610036,12,94,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces_position_major/traces/WaMe,outputs/evo2_7b_dnacorpus_w8192_full_forward_bs12_target_traces/traces/WaMe
PlFa,evo2,third_party/evo2_7b_base/evo2_7b_base.pt:full_forward_base_w8192,23326872,0,23326872,8192,1,,,,,2604.864714395022,12,238,outputs/evo2_7b_corrected_supplement_w8192_full_forward_bs12_target_traces_position_major/traces/PlFa,outputs/evo2_7b_corrected_supplement_w8192_full_forward_bs12_target_traces/traces/PlFa
