species,region_class,base_count,interval_count,coverage_fraction,sum_bits,mean_bpb,min_bpb,max_bpb
HePy,intergenic,128733,1228,0.07718499865095782,216650.99165387257,1.6829483633091171,0.00624312202490977,7.622387428995381
HePy,cds,1526441,1183,0.9152147974937794,2154048.984859487,1.4111577092462053,2.7570552132538383e-06,14.563298326157827
HePy,rna,12676,46,0.007600203855262763,7924.231430826929,0.6251365912611967,7.5680755285931354e-06,12.622973131615199
HePy,exon_non_cds,0,0,0.0,0.0,,,
HePy,intron,0,0,0.0,0.0,,,
HePy,gene_other,0,0,0.0,0.0,,,
HePy,repeat_mobile_existing,0,0,0.0,0.0,,,
ScPo,intergenic,1237740,4602,0.09830471347806435,2153777.0682021216,1.7400884420008416,0.000600934082563973,9.193850333715627
ScPo,cds,7188107,10215,0.5708992188057821,10972835.461992191,1.5265264501477498,4.647104988959446e-06,15.598400883147274
ScPo,rna,2516991,8189,0.19990634469425458,4470403.852032283,1.7760905192081669,0.00023483210159155023,15.231949015515148
ScPo,exon_non_cds,1362461,6680,0.10821039816927386,2520709.992564823,1.8501153372939285,0.0010003597245376611,13.71138195875867
ScPo,intron,209346,2624,0.01662683483427768,381019.4386825859,1.820046424018543,0.0006851237743541627,13.022308820907604
ScPo,gene_other,0,0,0.0,0.0,,,
ScPo,repeat_mobile_existing,76206,231,0.006052490018347449,76722.12297780735,1.0067727341391406,0.0007728229257462698,9.460863201810167
PlFa,intergenic,9353538,5636,0.40097695053155863,11968039.192873735,1.2795200268469251,0.0003597732543537042,13.327352925910747
PlFa,cds,12205712,13684,0.5232468373813686,17784625.52102506,1.4570739929817336,1.032319294191929e-06,15.698252650088396
PlFa,rna,114036,202,0.00488861086904408,133496.123839564,1.1706489515553336,0.0001939088111671361,11.022996755591393
PlFa,exon_non_cds,0,0,0.0,0.0,,,
PlFa,intron,1653586,8563,0.07088760121802871,2076064.3110398399,1.2554921915399864,7.292818739883406e-05,14.519395381946492
PlFa,gene_other,0,0,0.0,0.0,,,
PlFa,repeat_mobile_existing,0,0,0.0,0.0,,,
EnIn,intergenic,24399207,11981,0.602508958475832,28853853.13793941,1.1825733983050928,7.303132889041265e-05,13.698554131349907
EnIn,cds,15562764,17411,0.384303667272677,23907379.417558897,1.5361910916055077,7.473116129376191e-06,14.533214930853505
EnIn,rna,0,0,0.0,0.0,,,
EnIn,exon_non_cds,0,0,0.0,0.0,,,
EnIn,intron,534036,5450,0.013187374251491017,828065.8655704148,1.5505806079934963,8.344159558035084e-05,15.314030362775712
EnIn,gene_other,0,0,0.0,0.0,,,
EnIn,repeat_mobile_existing,0,0,0.0,0.0,,,
