species,region_class,base_count,interval_count,coverage_fraction,sum_bits,mean_bpb,min_bpb,max_bpb
HoSa,intergenic,90339047,1758,0.47608841777175126,148170929.71728224,1.6401648527162593,0.00019039735764497998,14.429466873964945
HoSa,cds,1441170,8303,0.007594992064064112,2699191.7984099835,1.8729170038302099,0.00033067453970348035,12.577433175978692
HoSa,rna,32807509,1424,0.17289616804173824,54211279.484415464,1.652404621283971,0.00019469749779089503,14.41661532802775
HoSa,exon_non_cds,3198055,3639,0.016853807909851408,5653660.232242473,1.7678433398557791,0.00018919332070094935,11.364875086861945
HoSa,intron,61958107,9043,0.3265203487232145,102189365.1171948,1.6493300080519697,0.00015926472530218696,13.798095358865785
HoSa,gene_other,0,0,0.0,0.0,,,
HoSa,repeat_mobile_existing,8779,12,4.626548938044702e-05,10533.895183152501,1.199896933950621,0.0008398637170630275,9.39092747309207
GaGa,intergenic,72256287,1629,0.48646853188707906,132376369.34503208,1.8320394645386646,0.0008417566291000855,11.993545333344741
GaGa,cds,2636753,15435,0.017752051954438946,4959324.827157601,1.8808454288883338,0.00041875253060110596,9.411515698396153
GaGa,rna,6218101,657,0.04186363000627998,11521741.636781255,1.85293574948063,0.0019458334726882662,11.004282785258578
GaGa,exon_non_cds,2973437,4368,0.020018791334361265,5558784.614581507,1.869481214695824,0.0013690293187015284,9.381402665677218
GaGa,intron,64447716,15294,0.4338969948178408,119078741.42557545,1.8476797754256404,0.00047423410359118026,13.202650460444742
GaGa,gene_other,0,0,0.0,0.0,,,
GaGa,repeat_mobile_existing,0,0,0.0,0.0,,,
DaRe,intergenic,22651647,1810,0.36204970445146506,41098649.417985395,1.81437797516381,4.6608051241142356e-05,15.756564926216983
DaRe,cds,2371006,12026,0.037896671334876904,4389249.250237272,1.8512181117370736,5.5895444316538124e-05,10.799045735026574
DaRe,rna,2047937,662,0.032732939268620066,3736517.754603144,1.8245276854723285,1.2210819886664613e-05,10.296218272953965
DaRe,exon_non_cds,1964189,3685,0.031394363815435526,3663282.5756313745,1.8650356842602085,0.0007316276963585958,11.02129320622528
DaRe,intron,33530241,11613,0.5359263211296025,60914739.69521895,1.8167104643005385,2.7345500645102764e-05,15.167389047130934
DaRe,gene_other,0,0,0.0,0.0,,,
DaRe,repeat_mobile_existing,0,0,0.0,0.0,,,
OrSa,intergenic,26201502,4277,0.6056397126908202,49082795.710687734,1.8732817573087122,8.685385304294419e-05,15.814989252226347
OrSa,cds,5361231,20886,0.12392321640603346,9715402.419955866,1.8121588903660122,6.3634984217589e-05,11.96538538574697
OrSa,rna,935741,718,0.02162936729325749,1771046.1611985513,1.8926670533818133,0.0005151800126370002,10.30508158107695
OrSa,exon_non_cds,2980392,9731,0.06889085040185937,5657404.729261662,1.8982082656448085,0.0006638337526613237,14.898455935790713
OrSa,intron,7783657,18409,0.1799168532080295,14744680.886214454,1.894312774344303,1.8058291358425056e-05,16.293936786902076
OrSa,gene_other,0,0,0.0,0.0,,,
OrSa,repeat_mobile_existing,0,0,0.0,0.0,,,
DrMe,intergenic,11411662,2960,0.3546039549704272,21617561.615751065,1.8943394586827988,2.7345500645102764e-05,11.523081774424343
DrMe,cds,5628389,14979,0.17489555855335076,10372563.842422254,1.8429010223746536,1.3242724894778565e-05,11.273221079111238
DrMe,rna,439099,259,0.013644484214793568,824990.2590227032,1.8788251829831157,0.0013945932156965257,10.477812286298924
DrMe,exon_non_cds,1920823,7919,0.05968731220729819,3650821.897766695,1.9006550305606997,0.000413763594485457,10.132559395028094
DrMe,intron,12781456,13027,0.3971686900541303,24158776.305149004,1.8901427431388884,2.92370802720058e-06,15.14378583813645
DrMe,gene_other,0,0,0.0,0.0,,,
DrMe,repeat_mobile_existing,0,0,0.0,0.0,,,
EsCo,intergenic,495049,3750,0.10665362246027923,944185.3089889758,1.9072562695591262,0.00038985134710209563,10.688344107724397
EsCo,cds,3961156,3509,0.8533935762525928,6117682.852791724,1.5444185618520765,6.879307674667236e-07,15.234998053094689
EsCo,rna,49790,219,0.010726784343160581,53298.51103736702,1.0704661786978713,3.663276971767363e-05,9.461463389839107
EsCo,exon_non_cds,0,0,0.0,0.0,,,
EsCo,intron,84083,130,0.018114886682586286,150555.86074850595,1.7905624293674816,4.59200985769074e-05,13.10744236089339
EsCo,gene_other,0,0,0.0,0.0,,,
EsCo,repeat_mobile_existing,51574,44,0.011111130261381077,92654.64015149519,1.7965377932969169,0.0002730482955375148,12.993195583674732
AgPh,intergenic,4692,44,0.10670911985444621,8670.382040071336,1.8479075106716403,0.0029713924210301,8.150524647574313
AgPh,cds,39278,43,0.8932908801455538,70883.11475150607,1.8046518343985456,0.000721647677269311,8.22419473528949
AgPh,rna,0,0,0.0,0.0,,,
AgPh,exon_non_cds,0,0,0.0,0.0,,,
AgPh,intron,0,0,0.0,0.0,,,
AgPh,gene_other,0,0,0.0,0.0,,,
AgPh,repeat_mobile_existing,0,0,0.0,0.0,,,
BuEb,intergenic,681,5,0.03595564941921858,1288.4620489107683,1.892014756109792,1.0025225237637991,4.357897612901453
BuEb,cds,14516,7,0.7664202745512143,28016.581722505987,1.9300483413134464,0.2787469317058397,4.8299724241076065
BuEb,rna,0,0,0.0,0.0,,,
BuEb,exon_non_cds,3743,11,0.19762407602956705,7256.66281398153,1.9387290446116832,0.5387912383031939,4.089948297592249
BuEb,intron,0,0,0.0,0.0,,,
BuEb,gene_other,0,0,0.0,0.0,,,
BuEb,repeat_mobile_existing,0,0,0.0,0.0,,,
YeMi,intergenic,10280,88,0.13950521787512382,17104.532852571017,1.663865063479671,0.0008329804215009162,10.644243906886999
YeMi,cds,63409,87,0.8604947821248762,107815.71986034804,1.700322034101595,3.388098005589529e-05,11.783734010998009
YeMi,rna,0,0,0.0,0.0,,,
YeMi,exon_non_cds,0,0,0.0,0.0,,,
YeMi,intron,0,0,0.0,0.0,,,
YeMi,gene_other,0,0,0.0,0.0,,,
YeMi,repeat_mobile_existing,0,0,0.0,0.0,,,
AeCa,intergenic,191785,1553,0.12053997079913943,373157.05499849055,1.945705112487893,0.0007854005390324404,11.363617883274978
AeCa,cds,1384830,1505,0.8703880270186525,2398101.706593229,1.7316939310913462,4.024450161416503e-05,13.532093004570013
AeCa,rna,9554,48,0.006004843345490931,15408.058975414211,1.6127338261894715,0.0007559757912231793,7.816931220220043
AeCa,exon_non_cds,0,0,0.0,0.0,,,
AeCa,intron,0,0,0.0,0.0,,,
AeCa,gene_other,0,0,0.0,0.0,,,
AeCa,repeat_mobile_existing,4880,4,0.0030671588367171595,9147.558962696596,1.874499787437827,0.0021103940691869104,7.257197066756262
HaHi,intergenic,489616,3294,0.12586513384944234,963426.3013795502,1.9677181737924214,0.0018865928085267459,11.466821668646725
HaHi,cds,3381272,3236,0.8692204765803643,5469142.7243880965,1.6174808546570925,1.3070740675503837e-05,15.261006951784125
HaHi,rna,18301,60,0.0047046212022863725,31988.434764439542,1.747906385686003,0.0005119111788948538,9.443393381235719
HaHi,exon_non_cds,0,0,0.0,0.0,,,
HaHi,intron,4,2,1.0282763132695203e-06,10.46012888782186,2.615032221955465,1.9811563217235377,3.2432169915333415
HaHi,gene_other,0,0,0.0,0.0,,,
HaHi,repeat_mobile_existing,812,1,0.0002087400915937126,1402.8978662658983,1.7277067318545545,0.017096223437248977,5.933543029171781
