species,region_class,base_count,interval_count,coverage_fraction,sum_bits,mean_bpb,min_bpb,max_bpb
HoSa,intergenic,90339047,1758,0.47608841777175126,138564607.5761139,1.5338285290535987,0.0007032037217374423,11.64563200125835
HoSa,cds,1441170,8303,0.007594992064064112,2610548.717419645,1.8114092837206193,0.0004822476161980817,12.323288794393516
HoSa,rna,32807509,1424,0.17289616804173824,52237810.78114244,1.5922516635183257,0.000880744920893637,11.000021879567731
HoSa,exon_non_cds,3198055,3639,0.016853807909851408,5510536.101162681,1.7230898471610656,0.00019024358147731542,10.491895789454206
HoSa,intron,61958107,9043,0.3265203487232145,99723440.30018418,1.6095301346147353,0.0008165609676122294,11.344939477688525
HoSa,gene_other,0,0,0.0,0.0,,,
HoSa,repeat_mobile_existing,8779,12,4.626548938044702e-05,3981.818728884492,0.4535617643107976,0.005138263903853007,9.415059256671151
GaGa,intergenic,72256287,1629,0.48646853188707906,128729976.62898448,1.7815747525054046,0.0017969565239656375,11.961241247962466
GaGa,cds,2636753,15435,0.017752051954438946,4800953.483614725,1.8207824106447306,0.0006535199788330902,9.573757109506356
GaGa,rna,6218101,657,0.04186363000627998,11338974.02799087,1.8235429157536795,0.00233985954883194,10.28265436621791
GaGa,exon_non_cds,2973437,4368,0.020018791334361265,5468268.679336106,1.839039696935266,0.0013734669179071382,10.496998163226753
GaGa,intron,64447716,15294,0.4338969948178408,116954556.72072104,1.8147199618481598,0.00214319121982551,12.250560251797788
GaGa,gene_other,0,0,0.0,0.0,,,
GaGa,repeat_mobile_existing,0,0,0.0,0.0,,,
DaRe,intergenic,22651647,1810,0.36204970445146506,31835139.55095277,1.4054227293473525,0.00035084731683636476,11.749926631680056
DaRe,cds,2371006,12026,0.037896671334876904,3899582.0452319975,1.6446951400510996,8.617952415400383e-05,9.327583080941935
DaRe,rna,2047937,662,0.032732939268620066,2712460.5322676585,1.3244843626867713,0.002830860013992315,9.955627702658829
DaRe,exon_non_cds,1964189,3685,0.031394363815435526,3226895.9445071444,1.642864278593936,0.0014697955985242554,11.00051268985636
DaRe,intron,33530241,11613,0.5359263211296025,49311938.03420488,1.470670551822305,0.00022065182778895732,12.183517113325985
DaRe,gene_other,0,0,0.0,0.0,,,
DaRe,repeat_mobile_existing,0,0,0.0,0.0,,,
OrSa,intergenic,26201502,4277,0.6056397126908202,37482832.48768454,1.4305604498430868,8.688753089295567e-05,12.397082562900604
OrSa,cds,5361231,20886,0.12392321640603346,9337697.930323552,1.7417078149260035,6.366270580283111e-05,11.588547030464236
OrSa,rna,935741,718,0.02162936729325749,1609471.0251448713,1.7199962651469491,0.0009693443841154216,9.285775801925647
OrSa,exon_non_cds,2980392,9731,0.06889085040185937,5439202.606483315,1.8249957074382548,0.0006691342864607217,12.53452820096099
OrSa,intron,7783657,18409,0.1799168532080295,13796258.61341533,1.7724648726704337,0.0004768164088847393,13.039414288606883
OrSa,gene_other,0,0,0.0,0.0,,,
OrSa,repeat_mobile_existing,0,0,0.0,0.0,,,
DrMe,intergenic,11411662,2960,0.3546039549704272,20437502.575162508,1.790931292493811,2.7348295410606414e-05,11.055581183144051
DrMe,cds,5628389,14979,0.17489555855335076,10202012.756720277,1.8125990859409817,1.3277028785322296e-05,11.273173250426865
DrMe,rna,439099,259,0.013644484214793568,777008.0280708624,1.7695508941511195,0.0020964906232808756,8.770308328112513
DrMe,exon_non_cds,1920823,7919,0.05968731220729819,3565106.018316589,1.8560304714784177,0.001194559383014805,9.285366877247258
DrMe,intron,12781456,13027,0.3971686900541303,23504158.28232635,1.838926510588962,2.924965937174797e-06,15.143517479838128
DrMe,gene_other,0,0,0.0,0.0,,,
DrMe,repeat_mobile_existing,0,0,0.0,0.0,,,
EsCo,intergenic,495049,3750,0.10665362246027923,917725.5285700682,1.8538074585951454,0.00039813431870790834,10.686787918567491
EsCo,cds,3961156,3509,0.8533935762525928,6116712.3216645,1.5441735497578233,6.884497982486223e-07,15.195584811166215
EsCo,rna,49790,219,0.010726784343160581,33773.884443522016,0.6783266608459935,0.00014877389622623284,7.870471695291866
EsCo,exon_non_cds,0,0,0.0,0.0,,,
EsCo,intron,84083,130,0.018114886682586286,145887.3918536061,1.7350402798854239,6.518375445457657e-05,11.858457457408079
EsCo,gene_other,0,0,0.0,0.0,,,
EsCo,repeat_mobile_existing,51574,44,0.011111130261381077,36132.218889795855,0.7005898105595039,0.0007861823002788798,12.819227442932233
AgPh,intergenic,4692,44,0.10670911985444621,8663.069316034867,1.846348959086715,0.002971495261142449,8.150514494208121
AgPh,cds,39278,43,0.8932908801455538,71200.61791617842,1.8127353204383732,0.0007930688752565312,8.22412744793228
AgPh,rna,0,0,0.0,0.0,,,
AgPh,exon_non_cds,0,0,0.0,0.0,,,
AgPh,intron,0,0,0.0,0.0,,,
AgPh,gene_other,0,0,0.0,0.0,,,
AgPh,repeat_mobile_existing,0,0,0.0,0.0,,,
BuEb,intergenic,681,5,0.03595564941921858,1289.5394517980951,1.893596845518495,1.0825378857494565,3.561532269063005
BuEb,cds,14516,7,0.7664202745512143,28041.890750563518,1.931791867633199,0.32705776797060787,4.299639405666057
BuEb,rna,0,0,0.0,0.0,,,
BuEb,exon_non_cds,3743,11,0.19762407602956705,7224.557901710997,1.9301517236737902,0.1475440141429732,5.092359347291995
BuEb,intron,0,0,0.0,0.0,,,
BuEb,gene_other,0,0,0.0,0.0,,,
BuEb,repeat_mobile_existing,0,0,0.0,0.0,,,
YeMi,intergenic,10280,88,0.13950521787512382,16989.409046073488,1.6526662496180435,0.0008331381092576036,7.2762475083230065
