species,pair_key,pair_label,model_a,model_b,model_a_label,model_b_label,core_base_count,window_bases,window_count,effective_windows,pearson_z_window_bpb_corr,pearson_raw_window_bpb_corr,status,model_a_mean_window_bpb,model_a_std_window_bpb,model_b_mean_window_bpb,model_b_std_window_bpb,model_a_full_bpb,model_b_full_bpb
HoSa,carbon3b__nc_prefix,Carbon 3B vs nc_prefix,carbon3b,nc_prefix,Carbon 3B,nc_prefix,189752667,8192,23164,23164,0.8850254959961195,0.8850254959961206,ok,1.4294135875590774,0.29138901106016907,1.6403486554760187,0.283229205987744,1.4294143541399293,1.6403478390254347
HoSa,evo2_7b__nc_prefix,Evo2 7B vs nc_prefix,evo2_7b,nc_prefix,Evo2 7B,nc_prefix,189752667,8192,23164,23164,0.8911752100378527,0.8911752100378527,ok,1.4294686032076562,0.28015125202267205,1.6403486554760187,0.283229205987744,1.429470345925092,1.6403478390254347
HoSa,carbon3b__evo2_7b,Carbon 3B vs Evo2 7B,carbon3b,evo2_7b,Carbon 3B,Evo2 7B,189752667,8192,23164,23164,0.99208141238994,0.9920814123899403,ok,1.4294135875590774,0.29138901106016907,1.4294686032076562,0.28015125202267205,1.4294143541399293,1.429470345925092
GaGa,carbon3b__nc_prefix,Carbon 3B vs nc_prefix,carbon3b,nc_prefix,Carbon 3B,nc_prefix,148532294,8192,18132,18132,0.591652064108677,0.5916520641086767,ok,1.7564816879289902,0.1370766704192011,1.8255973893803301,0.1476473565780247,1.7565044813787853,1.8256031147530767
GaGa,evo2_7b__nc_prefix,Evo2 7B vs nc_prefix,evo2_7b,nc_prefix,Evo2 7B,nc_prefix,148532294,8192,18132,18132,0.595323067286738,0.595323067286738,ok,1.7449171482685002,0.13075005666707526,1.8255973893803301,0.1476473565780247,1.7449407511602981,1.8256031147530767
GaGa,carbon3b__evo2_7b,Carbon 3B vs Evo2 7B,carbon3b,evo2_7b,Carbon 3B,Evo2 7B,148532294,8192,18132,18132,0.9867456413129508,0.9867456413129506,ok,1.7564816879289902,0.1370766704192011,1.7449171482685002,0.13075005666707526,1.7565044813787853,1.7449407511602981
AnCa,carbon3b__nc_prefix,Carbon 3B vs nc_prefix,carbon3b,nc_prefix,Carbon 3B,nc_prefix,142189675,8192,17358,17358,0.8833128397402755,0.883312839740276,ok,1.4821732406170045,0.2190874390304195,1.5565607857387873,0.24834968575154645,1.4821611031344826,1.556559379219964
AnCa,evo2_7b__nc_prefix,Evo2 7B vs nc_prefix,evo2_7b,nc_prefix,Evo2 7B,nc_prefix,142189675,8192,17358,17358,0.8359042315036526,0.835904231503653,ok,1.4888116491510863,0.19359979765646607,1.5565607857387873,0.24834968575154645,1.4888062672962283,1.556559379219964
AnCa,carbon3b__evo2_7b,Carbon 3B vs Evo2 7B,carbon3b,evo2_7b,Carbon 3B,Evo2 7B,142189675,8192,17358,17358,0.977584764377655,0.9775847643776552,ok,1.4821732406170045,0.2190874390304195,1.4888116491510863,0.19359979765646607,1.4821611031344826,1.4888062672962283
DaRe,carbon3b__nc_prefix,Carbon 3B vs nc_prefix,carbon3b,nc_prefix,Carbon 3B,nc_prefix,62565020,8192,7638,7638,0.7529860304682263,0.7529860304682267,ok,1.350942302738647,0.2166038239789394,1.4742804091004593,0.28076851320235796,1.35094306590309,1.4742879641589137
