model,model_window_position,base_count,mean_bpb
evo21,1,17,2.0599425119512222
evo21,2,17,2.0466069123324226
evo21,3,17,1.9837073718800264
evo21,4,17,1.8839958485435038
evo21,5,17,1.9785482673084034
evo21,6,17,2.007227659225464
evo21,7,17,1.890036330503576
evo21,8,17,1.934645281118505
evo21,9,17,1.9557444067562328
evo21,10,17,1.8394614808699663
evo21,11,17,1.9055783170111038
evo21,12,17,1.8608123239348917
evo21,13,17,1.73180194374393
evo21,14,17,1.6735478420467937
evo21,15,17,1.803025678238448
evo21,16,17,1.7265153084607685
evo21,17,17,1.7830382002627148
evo21,18,17,1.8232446694198776
evo21,19,17,1.6096547145177336
evo21,20,17,1.6408263830577625
evo21,21,17,1.7214723051909138
evo21,22,17,2.0122685572680306
evo21,23,17,1.9090978941496681
evo21,24,17,1.7165788175428616
evo21,25,17,1.512780339402311
evo21,26,17,1.5500322825768416
evo21,27,17,1.978857365601203
evo21,28,17,1.9016430448083317
evo21,29,17,1.8135591456118751
evo21,30,17,1.8311531140523798
evo21,31,17,2.0008714225362327
evo21,32,17,1.5309258269913055
evo21,33,17,1.525544810382759
evo21,34,17,1.8803975994096083
evo21,35,17,1.809294854016865
evo21,36,17,1.9700330557192074
evo21,37,17,1.7900468137334375
evo21,38,17,1.648412753115682
evo21,39,17,1.6861387841841753
evo21,40,17,1.5744735488996786
evo21,41,17,1.5850796053076492
evo21,42,17,1.6076023271855187
evo21,43,17,1.6304352743660702
evo21,44,17,1.742012861677829
evo21,45,17,1.638267569901312
evo21,46,17,1.4271076689748203
evo21,47,17,1.6597381486173939
evo21,48,17,2.032421421917046
evo21,49,17,1.7158047826412846
evo21,50,17,1.6646684552816784
evo21,51,17,1.5324279475299751
evo21,52,17,1.5293766584466486
evo21,53,17,1.3263718939441091
evo21,54,17,1.2399256056284202
evo21,55,17,1.4201109716120888
evo21,56,17,1.6048319120617474
evo21,57,17,1.524251519538024
evo21,58,17,1.576082455323023
evo21,59,17,1.49793413478662
evo21,60,17,1.6447106209747933
evo21,61,17,1.8009219919057453
evo21,62,17,1.7112541987615473
evo21,63,17,1.5362732509041535
evo21,64,17,2.1093779346522163
evo21,65,17,1.5567357693524921
evo21,66,17,1.4332778028705542
evo21,67,17,1.467307692503228
evo21,68,17,1.9937747874680687
evo21,69,17,1.6633315524634193
evo21,70,17,1.6152907802778131
evo21,71,17,1.6077770402326304
evo21,72,17,1.8131772617206854
evo21,73,17,1.6738138391691095
evo21,74,17,1.567885203396573
evo21,75,17,1.6002906758119078
evo21,76,17,1.5101066836539436
evo21,77,17,1.5551640514065237
evo21,78,17,1.8856142294757507
