window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,6247617,6250689,3071,5883.725257009268,1.9158988137444701,evo21,3072
1,3072,6144,6250689,6253761,3071,5636.021022491157,1.8352396686718193,evo21,3072
2,6144,9216,6253761,6256833,3071,5772.746555104852,1.8797611706626023,evo21,3072
3,9216,12288,6256833,6259905,3071,5695.240525526926,1.8545231278172993,evo21,3072
4,12288,15360,6259905,6262977,3071,5461.640501357615,1.7784566920734663,evo21,3072
5,15360,18432,6262977,6266049,3071,5841.997793536633,1.9023112320210462,evo21,3072
6,18432,21504,6266049,6269121,3071,5727.469283878803,1.8650176762874644,evo21,3072
7,21504,24576,6269121,6272193,3071,4433.201799055561,1.4435694558956567,evo21,3072
8,24576,27648,6272193,6275265,3071,5571.473040483892,1.8142211138013324,evo21,3072
9,27648,30720,6275265,6278337,3071,5771.271106913686,1.8792807251428478,evo21,3072
10,30720,33792,6278337,6281409,3071,5601.91938354075,1.8241352600262941,evo21,3072
11,33792,36864,6281409,6284481,3071,5826.908311367035,1.8973976917509068,evo21,3072
12,36864,39936,6284481,6287553,3071,5667.341704398394,1.8454385230864192,evo21,3072
13,39936,43008,6287553,6290625,3071,5459.615871634334,1.777797418311408,evo21,3072
14,43008,46080,6290625,6293697,3071,5724.637946438044,1.8640957168472954,evo21,3072
15,46080,49152,6293697,6296769,3071,5716.535061687231,1.8614572001586556,evo21,3072
16,49152,52224,6296769,6299841,847,1634.0986887514591,1.9292782629887357,evo21,3072
