window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,171874,174946,3071,5220.759717606998,1.7000194456551605,evo21,3072
1,3072,6144,174946,178018,3071,3107.762952994948,1.011971003905877,evo21,3072
2,6144,9216,178018,181090,3071,3806.62619009598,1.2395396255603972,evo21,3072
3,9216,12288,181090,184162,3071,4706.89465278195,1.5326911927000813,evo21,3072
4,12288,15360,184162,187234,3071,3492.664546688804,1.1373052903578,evo21,3072
5,15360,18432,187234,190306,3071,4329.126768516639,1.4096798334472935,evo21,3072
6,18432,21504,190306,193378,3071,3890.11737912253,1.2667265969138815,evo21,3072
7,21504,24576,193378,196450,3071,3058.6378060585885,0.9959745379546039,evo21,3072
8,24576,27648,196450,199522,3071,3707.772085609242,1.207350076720691,evo21,3072
9,27648,30720,199522,202594,3071,4411.3345334868645,1.4364488874916523,evo21,3072
10,30720,33792,202594,205666,3071,4391.576583510061,1.4300151688407883,evo21,3072
11,33792,36864,205666,208738,3071,3663.7151389054343,1.1930039527533163,evo21,3072
12,36864,39936,208738,211810,3071,3834.3040419041536,1.2485522767515966,evo21,3072
13,39936,43008,211810,214882,3071,3263.728633922583,1.0627576144326223,evo21,3072
14,43008,46080,214882,217954,3071,2223.882158030843,0.7241557010846119,evo21,3072
15,46080,49152,217954,221026,3071,5343.277071989316,1.7399143835849287,evo21,3072
16,49152,52224,221026,224098,847,1510.303878068924,1.783121461710654,evo21,3072
