model,model_window_position,base_count,mean_bpb
evo21,1,17,2.001113064148847
evo21,2,17,1.952690650435055
evo21,3,17,1.9399612230413101
evo21,4,17,1.9591922689886654
evo21,5,17,2.022971573997946
evo21,6,17,1.9211377676795511
evo21,7,17,2.0295570668052223
evo21,8,17,2.013735203181996
evo21,9,17,2.187783732133753
evo21,10,17,2.0839370138504925
evo21,11,17,1.8676991602953743
evo21,12,17,2.1742738835951863
evo21,13,17,1.955304173862233
evo21,14,17,1.9968504344715792
evo21,15,17,1.9739695717306698
evo21,16,17,1.9084090345046099
evo21,17,17,2.025427320424248
evo21,18,17,1.8544062235776115
evo21,19,17,2.28935365115895
evo21,20,17,2.0481378891888786
evo21,21,17,2.112564164049485
evo21,22,17,2.0006623478496777
evo21,23,17,2.0545625195783725
evo21,24,17,1.7735668911653406
evo21,25,17,2.05196091708015
evo21,26,17,1.9063965783399694
evo21,27,17,1.9221457032596363
evo21,28,17,2.180144597502316
evo21,29,17,2.0034364461898804
evo21,30,17,1.9020789651309742
evo21,31,17,1.8263248520738937
evo21,32,17,1.893490524852977
evo21,33,17,1.7552596751381369
evo21,34,17,2.0609768909566544
evo21,35,17,2.140429545851315
evo21,36,17,1.7816827753010918
evo21,37,17,1.8856930872973274
evo21,38,17,2.220211996751673
evo21,39,17,1.7690061681410845
evo21,40,17,1.9731667041778564
evo21,41,17,2.173761010169983
evo21,42,17,1.9372539309894337
evo21,43,17,1.7942257313167347
evo21,44,17,1.9985426033244413
evo21,45,17,1.8280061904121847
evo21,46,17,1.882579158334171
evo21,47,17,1.8651030624614042
evo21,48,17,1.8751476231743307
evo21,49,17,1.7816491652937496
evo21,50,17,2.01891596177045
evo21,51,17,1.7809707347084494
evo21,52,17,1.709618883974412
evo21,53,17,2.1258116189171288
evo21,54,17,1.9534600762759937
evo21,55,17,2.0060938736971687
evo21,56,17,1.7982556539423324
evo21,57,17,2.098924342323752
evo21,58,17,1.7721314114682816
evo21,59,17,1.9104069401236141
evo21,60,17,1.9502022056018604
evo21,61,17,1.8873742643524618
evo21,62,17,2.190014320261338
evo21,63,17,1.9892811424591963
evo21,64,17,1.8151359084774465
evo21,65,17,1.8340476277996511
evo21,66,17,1.7693563945153181
evo21,67,17,2.069286311373991
evo21,68,17,1.9304158968084
evo21,69,17,2.033996995757608
evo21,70,17,1.9746355098836563
evo21,71,17,2.049581387463738
evo21,72,17,2.132231130319483
evo21,73,17,1.68933587214526
evo21,74,17,1.6192428329411674
evo21,75,17,1.9126078872119678
evo21,76,17,1.9358056082445032
evo21,77,17,2.0921649161507103
evo21,78,17,2.430572485222536
evo21,79,17,2.0546190598431755
