window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,16059021,16062093,3071,5811.1961456388235,1.8922813890064552,evo21,3072
1,3072,6144,16062093,16065165,3071,5596.606910599396,1.8224053762941699,evo21,3072
2,6144,9216,16065165,16068237,3071,5627.146996427327,1.8323500476806667,evo21,3072
3,9216,12288,16068237,16071309,3071,5523.416737377644,1.798572692079988,evo21,3072
4,12288,15360,16071309,16074381,3071,5389.536289587617,1.7549776260461143,evo21,3072
5,15360,18432,16074381,16077453,3071,5548.110256919637,1.806613564610758,evo21,3072
6,18432,21504,16077453,16080525,3071,5603.648420445621,1.824698280835435,evo21,3072
7,21504,24576,16080525,16083597,3071,5194.70626340434,1.6915357419095862,evo21,3072
8,24576,27648,16083597,16086669,3071,4518.783424350899,1.471437129388114,evo21,3072
9,27648,30720,16086669,16089741,3071,5116.42165406514,1.666044172603432,evo21,3072
10,30720,33792,16089741,16092813,3071,5556.1907008215785,1.80924477395688,evo21,3072
11,33792,36864,16092813,16095885,3071,5162.613600907847,1.6810855099016109,evo21,3072
12,36864,39936,16095885,16098957,3071,5862.449433464557,1.9089708347328418,evo21,3072
13,39936,43008,16098957,16102029,3071,5697.855744257569,1.8553747132066327,evo21,3072
14,43008,46080,16102029,16105101,3071,5736.814584031701,1.8680607567670795,evo21,3072
15,46080,49152,16105101,16108173,3071,4479.625011715107,1.4586860995490416,evo21,3072
16,49152,52224,16108173,16111245,847,1592.6846179291606,1.8803832561147114,evo21,3072
