model,model_window_position,base_count,mean_bpb
evo21,1,17,2.019070435972775
evo21,2,17,1.9512407288831823
evo21,3,17,2.01487934589386
evo21,4,17,1.9693869983448702
evo21,5,17,2.002563308267032
evo21,6,17,2.0385574102401733
evo21,7,17,1.9777879574719597
evo21,8,17,1.9700934816809261
evo21,9,17,1.818434708258685
evo21,10,17,1.7679634725346285
evo21,11,17,1.880741462988012
evo21,12,17,1.9420407484559452
evo21,13,17,1.8945297116742414
evo21,14,17,1.7987918617094265
evo21,15,17,1.810713669833015
evo21,16,17,1.8900885481168241
evo21,17,17,1.657870913253111
evo21,18,17,1.8423336818814278
evo21,19,17,1.7388317273820149
evo21,20,17,1.6273760462508482
evo21,21,17,1.995522736626513
evo21,22,17,1.644012142191915
evo21,23,17,1.636286932755919
evo21,24,17,1.983203060048468
evo21,25,17,1.8759963968220879
evo21,26,17,1.7504963804693783
evo21,27,17,1.6716056194375544
evo21,28,17,1.7467144780299242
evo21,29,17,1.897044003886335
evo21,30,17,1.8828990406849806
evo21,31,17,1.9865151915480108
evo21,32,17,1.830956179429503
evo21,33,17,1.7994338133755852
evo21,34,17,1.8020970998879742
evo21,35,17,1.7709855557802845
evo21,36,17,1.858430650742615
evo21,37,17,1.7904714494943619
evo21,38,17,2.1348143535501816
evo21,39,17,1.779740025891977
evo21,40,17,1.7072573968154543
evo21,41,17,1.9150973409414291
evo21,42,17,1.8135278260006624
evo21,43,17,1.6301348919377607
evo21,44,17,1.5054916456780012
evo21,45,17,1.6683861845556427
evo21,46,17,1.5113138298997109
evo21,47,17,1.734334063661449
evo21,48,17,1.5716106041389353
evo21,49,17,1.6520424375639242
evo21,50,17,1.7034455796374994
evo21,51,17,1.9785179735763985
evo21,52,17,1.8209406337974703
evo21,53,17,1.7065227743895615
evo21,54,17,1.90234489497893
evo21,55,17,1.9513324128792566
evo21,56,17,1.696361299165908
evo21,57,17,1.5377501074005575
evo21,58,17,1.8261261198888807
evo21,59,17,1.5418187081813812
evo21,60,17,1.7974821223932154
evo21,61,17,1.6926393915406044
evo21,62,17,1.518750534447677
evo21,63,17,1.6016772810150595
evo21,64,17,1.458285914186169
evo21,65,17,1.6548505978768362
evo21,66,17,1.5394796925213408
evo21,67,17,1.504124017432332
evo21,68,17,1.7204103283584118
evo21,69,17,1.566287112148369
evo21,70,17,1.4833662626059616
evo21,71,17,1.4263644001501448
evo21,72,17,1.395381268552121
evo21,73,17,1.5734728040064083
evo21,74,17,1.3051885906606913
evo21,75,17,1.5914838225306833
evo21,76,17,1.4971111677587032
evo21,77,17,1.2441370721139453
evo21,78,17,1.642461190767148
evo21,79,17,1.2246326621183579
evo21,80,17,1.3348867263206665
evo21,81,17,1.3226262756130274
evo21,82,17,1.6296863228301792
evo21,83,17,1.0892239021246923
evo21,84,17,1.4035719203598358
evo21,85,17,1.426437267965144
evo21,86,17,1.0483962415703847
evo21,87,17,1.682557885918547
evo21,88,17,1.321842187002082
evo21,89,17,1.5762932800742633
evo21,90,17,1.4983121802044266
evo21,91,17,1.2195367174195673
evo21,92,17,1.2074860338779057
evo21,93,17,1.6532447678858744
evo21,94,17,1.204969288452583
evo21,95,17,1.6726801428286469
evo21,96,17,1.4275254004580133
evo21,97,17,1.7812974229454994
evo21,98,17,1.5943527094581549
evo21,99,17,1.2446406246984707
evo21,100,17,1.3999120045234175
evo21,101,17,1.2831824261914282
evo21,102,17,1.398034169064725
evo21,103,17,1.4389522404355162
evo21,104,17,1.3478974383324385
evo21,105,17,1.6569440313340986
evo21,106,17,1.5336381637436503
evo21,107,17,1.7018704781418337
evo21,108,17,1.1032479196129477
evo21,109,17,1.1010151782675701
evo21,110,17,1.4292429573286105
evo21,111,17,1.1512394998879993
evo21,112,17,1.8313413727480699
evo21,113,17,1.37698712745024
evo21,114,17,1.2751461028614466
evo21,115,17,1.4149779267061282
evo21,116,17,1.2222411113188547
evo21,117,17,1.3562686482773108
evo21,118,17,1.186813488109585
evo21,119,17,1.0808186963310136
evo21,120,17,1.617718970074373
evo21,121,17,1.1574804265709484
evo21,122,17,1.185653592185939
evo21,123,17,1.2399163019350345
evo21,124,17,1.3324452732306193
evo21,125,17,1.0926234470406437
evo21,126,17,1.3121164374272614
evo21,127,17,1.281006928971585
evo21,128,17,1.107334260856185
evo21,129,17,1.3337462057962137
evo21,130,17,1.3097810624920598
evo21,131,17,1.123712979736464
evo21,132,17,1.643933483344667
evo21,133,17,1.739074242876514
evo21,134,17,1.0909418550813024
evo21,135,17,1.3616761549869005
evo21,136,17,1.695803250240929
evo21,137,17,1.6932478301254485
evo21,138,17,1.4436065403415876
evo21,139,17,1.3104944204884197
evo21,140,17,1.745491816497901
evo21,141,17,1.461218397187836
evo21,142,17,1.6473170552567087
evo21,143,17,1.6411920658805792
evo21,144,17,1.6628489928210484
evo21,145,17,1.542276413666139
evo21,146,17,1.526979345636552
evo21,147,17,1.9771261894527603
evo21,148,17,1.398321116932065
evo21,149,17,1.390857103445074
evo21,150,17,1.4847654457039692
evo21,151,17,1.3258253916659777
evo21,152,17,1.885670262751827
evo21,153,17,1.5060623012044851
evo21,154,17,1.3483705591300832
evo21,155,17,1.6138408786124165
evo21,156,17,1.4084440601222656
evo21,157,17,1.4378203277695267
evo21,158,17,1.8561116715564447
evo21,159,17,1.613109723171767
evo21,160,17,1.4478968575610505
evo21,161,17,1.5940749290234901
evo21,162,17,1.64334035533316
