model,model_window_position,base_count,mean_bpb
evo21,1,17,1.982058181482203
evo21,2,17,2.1650968649808098
evo21,3,17,1.969686648424934
evo21,4,17,1.9888959702323465
evo21,5,17,1.9663884219001322
evo21,6,17,1.9163944160237032
evo21,7,17,1.9864132053711836
evo21,8,17,2.0104964270311245
evo21,9,17,1.831208348274231
evo21,10,17,2.0848088965696445
evo21,11,17,1.9776293109445011
evo21,12,17,2.0730805186664356
evo21,13,17,1.9179556299658382
evo21,14,17,1.8590075548957377
evo21,15,17,1.904315527747659
evo21,16,17,1.9617062175975126
evo21,17,17,1.771976400824154
evo21,18,17,1.7345934299861683
evo21,19,17,2.008531153202057
evo21,20,17,1.964531092082753
evo21,21,17,1.9098478695925545
evo21,22,17,1.873986139016993
evo21,23,17,1.8631300856085384
evo21,24,17,1.8043527743395638
evo21,25,17,2.0371718406677246
evo21,26,17,2.0491518483442417
evo21,27,17,1.6805104963919695
evo21,28,17,2.0070321559906006
evo21,29,17,1.7878927553401274
evo21,30,17,1.9637720304376938
evo21,31,17,1.8740844446070053
evo21,32,17,1.9904520932365866
evo21,33,17,2.0257882651160743
evo21,34,17,1.9769757845822502
evo21,35,17,1.9999774133457857
evo21,36,17,1.9486009303261251
evo21,37,17,2.008321698974161
evo21,38,17,2.2405644795473885
evo21,39,17,1.9825952824424296
evo21,40,17,2.0571422927519856
evo21,41,17,1.9360274707569796
evo21,42,17,1.9154112689635332
evo21,43,17,1.9392050855300005
evo21,44,17,1.8626143301234526
evo21,45,17,2.00033243263469
evo21,46,17,2.0051326821832096
evo21,47,17,1.8847047020407284
evo21,48,17,2.048964437316446
evo21,49,17,1.9543397566851448
evo21,50,17,1.7301755302092607
evo21,51,17,1.823551430421717
evo21,52,17,2.020203197703642
evo21,53,17,1.714483702884001
evo21,54,17,2.066194260821623
evo21,55,17,1.930231255643508
evo21,56,17,1.903826454106499
evo21,57,17,1.9532967385123758
evo21,58,17,2.04661567772136
evo21,59,17,1.9539848425809074
evo21,60,17,1.7874074192608105
evo21,61,17,1.8885213066549862
evo21,62,17,1.7572874251533956
evo21,63,17,2.016280770301819
evo21,64,17,1.8236415842000175
evo21,65,17,1.7921041504425161
evo21,66,17,1.7559441976687487
evo21,67,17,1.9864122166353113
evo21,68,17,1.9227332577985876
evo21,69,17,1.9239779149784761
evo21,70,17,1.749405727666967
evo21,71,17,1.8192441393347347
evo21,72,17,2.05339356730966
evo21,73,17,1.846889523898854
evo21,74,17,1.850117613287533
evo21,75,17,1.966978907585144
evo21,76,17,1.9877403062932633
evo21,77,17,1.9445423028048348
evo21,78,17,1.8742896108066334
evo21,79,17,2.098064724136801
evo21,80,17,1.8833996969110824
evo21,81,17,1.7694255674586576
evo21,82,17,1.866641086690566
evo21,83,17,1.8486503923640532
evo21,84,17,1.8731691486695234
evo21,85,17,1.8779037998003119
evo21,86,17,1.6004876459346098
evo21,87,17,1.9493227846482222
evo21,88,17,1.9385637535768396
evo21,89,17,1.757924991495469
evo21,90,17,1.7718299802611857
evo21,91,17,1.729194213362301
evo21,92,17,1.9374110277961283
evo21,93,17,1.757484891835381
evo21,94,17,1.9282818962545956
evo21,95,17,1.7464764328563915
evo21,96,17,1.9061617150026209
evo21,97,17,1.8375312160043156
evo21,98,17,1.9842449566897224
evo21,99,17,2.034956027479733
evo21,100,17,1.6869849597706514
evo21,101,17,1.9632611204596127
evo21,102,17,1.9013005530132967
evo21,103,17,1.8075843979330624
evo21,104,17,2.0403721437734714
evo21,105,17,1.675957995302537
evo21,106,17,1.7468085394186132
evo21,107,17,2.1514496452668133
evo21,108,17,1.8964864927179672
evo21,109,17,1.8359252004062427
evo21,110,17,1.7354626795824837
evo21,111,17,1.8476833701133728
evo21,112,17,2.118296749451581
evo21,113,17,1.7818113004460054
evo21,114,17,1.9578235009137321
evo21,115,17,1.868835968129775
evo21,116,17,1.8204039475497078
evo21,117,17,2.1620603379081276
evo21,118,17,2.103995253058041
evo21,119,17,1.907605816336239
evo21,120,17,1.9754489660263062
evo21,121,17,1.7049796020283419
evo21,122,17,1.8224290714544409
evo21,123,17,1.9828815670574413
evo21,124,17,1.937267121146707
evo21,125,17,1.9404269351678736
evo21,126,17,1.8364981973872465
evo21,127,17,1.793254743604099
evo21,128,17,2.135279283804052
evo21,129,17,1.963979538749246
evo21,130,17,1.844259311171139
evo21,131,17,1.705834991791669
evo21,132,17,1.8781100195996903
evo21,133,17,1.858269922873553
evo21,134,17,1.969754927298602
evo21,135,17,1.8593044210882748
evo21,136,17,1.9455435065662159
evo21,137,17,2.0219470613143025
evo21,138,17,1.888722588034237
evo21,139,17,1.9034053543034721
evo21,140,17,1.94287188614116
evo21,141,17,1.939607543103835
evo21,142,17,1.8211983231937183
evo21,143,17,1.9996738503961002
evo21,144,17,1.8278493881225586
evo21,145,17,1.7461145064410042
