model,model_window_position,base_count,mean_bpb
evo21,1,17,1.952578537604388
evo21,2,17,2.17325862716226
evo21,3,17,2.0959130385342766
evo21,4,17,1.962868753601523
evo21,5,17,2.042851384948282
evo21,6,17,1.9036599117166855
evo21,7,17,1.9938887147342457
evo21,8,17,1.9905943800421322
evo21,9,17,1.988551707828746
evo21,10,17,1.9840628399568445
evo21,11,17,1.9368268602034624
evo21,12,17,1.8519418940824621
evo21,13,17,2.0414552408106186
evo21,14,17,1.8335823872510124
evo21,15,17,2.181744870017557
evo21,16,17,1.8743225721751942
evo21,17,17,1.9376033123801737
evo21,18,17,1.8899101790259867
evo21,19,17,1.7688074041815365
evo21,20,17,1.8330529437345617
evo21,21,17,1.6586433684124666
evo21,22,17,1.7464360699934118
evo21,23,17,1.9133987496880924
evo21,24,17,2.01381821492139
evo21,25,17,1.9839996765641605
evo21,26,17,1.6020789567162008
evo21,27,17,1.5994702752898722
evo21,28,17,1.7543036727344288
evo21,29,17,1.6519066765904427
evo21,30,17,1.9477071529802155
evo21,31,17,1.7845267197665047
evo21,32,17,1.8509859127156876
evo21,33,17,2.0691313217667973
evo21,34,17,1.9077509922139786
evo21,35,17,1.777631649199654
evo21,36,17,1.6164586473913753
evo21,37,17,1.9105472669881933
evo21,38,17,1.8311994286144482
evo21,39,17,1.9700867568745333
evo21,40,17,2.016303171129788
evo21,41,17,1.7293726486318253
evo21,42,17,1.9062090340782614
evo21,43,17,1.6945533752441406
evo21,44,17,1.8222719430923462
evo21,45,17,1.710379018503077
evo21,46,17,1.747799259774825
evo21,47,17,1.6631611129816841
evo21,48,17,1.8211913073764128
evo21,49,17,2.2118234353906967
evo21,50,17,1.850245005944196
evo21,51,17,1.8317734879605911
evo21,52,17,2.1166612961713005
evo21,53,17,1.8998534048304838
evo21,54,17,1.5930756461970947
evo21,55,17,1.6682297832825606
evo21,56,17,1.5001482612946455
evo21,57,17,2.344413634608774
evo21,58,17,1.8156596597503214
evo21,59,17,1.5010220338316524
evo21,60,17,1.8007506728172302
evo21,61,17,1.738979911102968
evo21,62,17,2.3499171523486866
evo21,63,17,1.9801048180636238
evo21,64,17,1.7493918397847343
evo21,65,17,1.7800796768244576
evo21,66,17,1.9335067692924948
evo21,67,17,1.7640173891011406
evo21,68,17,1.814362206879784
evo21,69,17,1.8162148840287153
evo21,70,17,1.9963477709714104
evo21,71,17,1.6410526107339298
evo21,72,17,2.1404223792693196
evo21,73,17,1.5088245062267078
evo21,74,17,1.8693110767532797
evo21,75,17,2.004730056313907
evo21,76,17,1.9353895573055042
evo21,77,17,1.5344333149054472
evo21,78,17,2.1402401994256413
evo21,79,17,1.4335942829356474
evo21,80,17,1.8418630238841562
evo21,81,17,1.6829623544917387
evo21,82,17,1.7862631713642794
evo21,83,17,2.3306970245697918
evo21,84,17,1.8919190518996294
evo21,85,17,1.86540766323314
evo21,86,17,1.7631607756895178
evo21,87,17,1.6241128900471855
evo21,88,17,1.6913633802357841
evo21,89,17,2.031928101006676
evo21,90,17,1.7893407204571892
evo21,91,17,1.8053309531772839
evo21,92,17,1.6534293960122501
evo21,93,17,1.7869024609818178
evo21,94,17,1.7952243896091686
evo21,95,17,1.6358734597178066
evo21,96,17,1.7777370144339169
evo21,97,17,1.7057300946291756
evo21,98,17,1.7320036537507002
evo21,99,17,1.437150595819249
evo21,100,17,1.5734575373284958
evo21,101,17,1.8791349565281588
evo21,102,17,1.6131213061949785
evo21,103,17,2.1785216892466828
evo21,104,17,2.2831691012663
evo21,105,17,1.912582930396585
evo21,106,17,1.9761879409060759
evo21,107,17,2.008835929281571
evo21,108,17,1.8206722561050863
evo21,109,17,2.031054437160492
evo21,110,17,1.756481012877296
evo21,111,17,1.894341833451215
evo21,112,17,1.824233889579773
evo21,113,17,1.734827781424803
evo21,114,17,2.056164229617399
evo21,115,17,1.5973554919747746
evo21,116,17,1.6188772496055155
evo21,117,17,1.9658245268990011
evo21,118,17,1.8184592583600212
evo21,119,17,1.763574579182793
evo21,120,17,1.8681909932809717
evo21,121,17,1.848086970693925
evo21,122,17,2.054259181022644
evo21,123,17,1.7490886414752287
evo21,124,17,1.7819060718311983
evo21,125,17,1.5031388507169836
evo21,126,17,1.7986708774286158
evo21,127,17,1.7928129557301016
