model,model_window_position,base_count,mean_bpb
evo21,1,17,1.9620416304644417
evo21,2,17,1.7964388693080229
evo21,3,17,2.018419258734759
evo21,4,17,1.9571455015855677
evo21,5,17,1.9399347375420963
evo21,6,17,2.014508794335758
evo21,7,17,1.9583570466322058
evo21,8,17,1.9293098519830143
evo21,9,17,2.0901321593452904
evo21,10,17,1.9527998531565947
evo21,11,17,1.9615193254807417
evo21,12,17,2.109245826216305
evo21,13,17,2.1181776453466976
evo21,14,17,1.8655870942508472
evo21,15,17,1.7534790775355171
evo21,16,17,1.6592901550671633
evo21,17,17,1.7410740764702068
evo21,18,17,1.8943890999345219
evo21,19,17,1.8917350698919857
evo21,20,17,1.9708942876142614
evo21,21,17,1.7193253320806168
evo21,22,17,1.7999878455610836
evo21,23,17,1.8534803953679169
evo21,24,17,1.8304312689339413
evo21,25,17,1.8607846940867603
evo21,26,17,1.7209048128193791
evo21,27,17,1.7086235632133835
evo21,28,17,1.920502776389613
evo21,29,17,1.867994257440681
evo21,30,17,1.7216156254905988
evo21,31,17,1.8181870998266865
evo21,32,17,1.7276063776191544
evo21,33,17,1.9220809655483155
evo21,34,17,2.0426779377329
evo21,35,17,1.781153009601814
evo21,36,17,1.8423470335409922
evo21,37,17,1.8231645517379922
evo21,38,17,1.5661098748472904
evo21,39,17,1.6095824380103938
evo21,40,17,2.0090682747609474
evo21,41,17,1.805159527781036
evo21,42,17,1.6842515555155628
evo21,43,17,1.6325496378190376
evo21,44,17,1.8411077759502565
evo21,45,17,1.7181423979756587
evo21,46,17,1.6646275901619125
evo21,47,17,1.6191147503525238
evo21,48,17,1.676667951636345
evo21,49,17,1.7407741050975507
evo21,50,17,1.4187110072166167
evo21,51,17,1.444468990995494
evo21,52,17,1.7368762730620801
evo21,53,17,1.6716868520632167
evo21,54,17,1.9870697884984754
evo21,55,17,1.363911835319253
evo21,56,17,1.7853955236427925
evo21,57,17,1.5603585817358072
evo21,58,17,1.6987565069678514
evo21,59,17,1.4054268872474922
evo21,60,17,1.5660726494868011
evo21,61,17,1.7562532760202885
evo21,62,17,1.7183041449855356
evo21,63,17,1.8577450794332169
evo21,64,17,1.576387502691325
evo21,65,17,1.298747117028517
evo21,66,17,1.4971921917270212
evo21,67,17,1.7205762277316192
evo21,68,17,1.725882427643656
evo21,69,17,1.7320277761010563
evo21,70,17,1.680461799397188
evo21,71,17,1.673341907122556
evo21,72,17,1.665482478106723
evo21,73,17,1.5650532771559322
evo21,74,17,1.7340514151489033
evo21,75,17,1.6878903946455788
evo21,76,17,1.5106567424886368
evo21,77,17,1.4929292575620554
evo21,78,17,1.7773960323127753
evo21,79,17,1.8322492846671272
evo21,80,17,1.317799678647562
evo21,81,17,1.526483592686846
evo21,82,17,1.4444148358615005
evo21,83,17,1.6540273182532366
evo21,84,17,1.5057122663813918
evo21,85,17,1.8664552919730983
evo21,86,17,1.2458192091298235
evo21,87,17,1.840735996470732
evo21,88,17,1.7266930297893637
evo21,89,17,1.7015489820829208
evo21,90,17,1.6361974084695035
evo21,91,17,2.154121049652424
evo21,92,17,1.855286533725174
evo21,93,17,1.8378515162998263
evo21,94,17,1.8363571266835446
evo21,95,17,1.530270681997268
evo21,96,17,1.707257517339552
evo21,97,17,1.4475774185540264
evo21,98,17,2.185255015597624
evo21,99,17,1.5880098579561008
evo21,100,17,1.3447184230420082
evo21,101,17,1.7594791212502647
evo21,102,17,1.5348961184499785
evo21,103,17,1.4022819196038387
evo21,104,17,1.2389946803998422
evo21,105,17,1.6549175643800373
evo21,106,17,0.9904979482868358
evo21,107,17,1.5776847280246917
evo21,108,17,1.449595969827736
evo21,109,17,1.0664466452949188
evo21,110,17,1.6067967885995613
evo21,111,17,1.344133500365869
evo21,112,17,1.5423436258125174
evo21,113,17,1.0505708020851563
evo21,114,17,1.4931801633964128
evo21,115,17,1.405843069544062
evo21,116,17,1.1289754577720648
evo21,117,17,1.490682596231208
evo21,118,17,1.7904878765454186
evo21,119,17,1.7519921384313528
evo21,120,17,1.4926356492180597
evo21,121,17,1.3711715471650034
evo21,122,17,1.216747934847851
evo21,123,17,1.1463169778546538
evo21,124,17,1.3490527078050518
evo21,125,17,1.611996229737997
evo21,126,17,1.7305956248413115
evo21,127,17,1.7637364569065326
evo21,128,17,1.5253316066090894
evo21,129,17,1.3780026322312873
evo21,130,17,1.3941015720586567
evo21,131,17,1.1826386995380744
evo21,132,17,1.185800110154292
evo21,133,17,1.3916455307318008
evo21,134,17,1.4973318569690865
evo21,135,17,1.4682553627473467
evo21,136,17,1.1648852661635507
evo21,137,17,1.1694607074057464
evo21,138,17,1.3910295165636961
evo21,139,17,1.5470236152314636
evo21,140,17,1.3907924903186915
evo21,141,17,1.4643469181130915
evo21,142,17,1.2267246678033297
evo21,143,17,1.3626440178931636
evo21,144,17,1.5880607937407845
evo21,145,17,1.2216601588708513
evo21,146,17,1.3260552868767477
evo21,147,17,1.1329817307619925
evo21,148,17,1.7678615364300854
evo21,149,17,1.0551796152585131
evo21,150,17,1.4055668907513952
evo21,151,17,1.6152678693042082
