model,model_window_position,base_count,mean_bpb
evo21,1,17,2.0440670602461872
evo21,2,17,1.9784585097256828
evo21,3,17,2.063087554538951
evo21,4,17,2.0331135146758137
evo21,5,17,2.029591069501989
evo21,6,17,1.9961736132116878
evo21,7,17,1.9404037279241226
evo21,8,17,1.8894102853887222
evo21,9,17,1.97133829313166
evo21,10,17,1.8784464597702026
evo21,11,17,2.0771458008710075
evo21,12,17,1.9275795151205624
evo21,13,17,1.9390273865531473
evo21,14,17,1.9520201753167545
evo21,15,17,1.9413425291285795
evo21,16,17,1.985707914128023
evo21,17,17,1.7334008567473467
evo21,18,17,2.053425389177659
evo21,19,17,1.817562222480774
evo21,20,17,2.0134574385250317
evo21,21,17,1.8528974406859453
evo21,22,17,1.7651069164276123
evo21,23,17,1.9172441889257992
evo21,24,17,1.7652010251494015
evo21,25,17,1.9225537145839018
evo21,26,17,1.791902682360481
evo21,27,17,1.781521285281462
evo21,28,17,1.8259254273246317
evo21,29,17,2.0959727623883415
evo21,30,17,1.9926837542477776
evo21,31,17,1.8912347555160522
evo21,32,17,1.8622644789078657
evo21,33,17,1.6950686679166906
evo21,34,17,2.0641792451634124
evo21,35,17,1.8830900753245634
evo21,36,17,1.6904356129029219
evo21,37,17,1.8164373005137724
evo21,38,17,2.0949595395256493
evo21,39,17,1.6730147179435282
evo21,40,17,1.9495860758949728
evo21,41,17,1.8271477152319515
evo21,42,17,1.6459649590884937
evo21,43,17,2.0393232738270477
evo21,44,17,2.0358647809309116
evo21,45,17,2.0014778270440945
evo21,46,17,1.7377915873247034
evo21,47,17,1.9624924589605892
evo21,48,17,1.820982491268831
evo21,49,17,1.6403956202899708
evo21,50,17,1.945193564190584
evo21,51,17,1.9413335253210628
evo21,52,17,1.9480949640274048
evo21,53,17,1.7951747319277596
evo21,54,17,1.8897167514352238
evo21,55,17,1.8864359505036299
evo21,56,17,1.857349627158221
evo21,57,17,1.6842250894097721
evo21,58,17,1.7391155747806324
evo21,59,17,1.6725898385047913
evo21,60,17,2.089809635106255
evo21,61,17,1.9484984068309559
evo21,62,17,1.6498363228405224
evo21,63,17,1.6036377233617447
evo21,64,17,1.7787601036183975
evo21,65,17,1.8918108519385843
evo21,66,17,1.7488359493367813
evo21,67,17,1.6580300050623276
evo21,68,17,1.7232682617271649
evo21,69,17,1.6876877265817978
evo21,70,17,1.7084063008865888
evo21,71,17,1.9182077280300505
evo21,72,17,1.7796780782587387
evo21,73,17,1.6213179931921118
evo21,74,17,1.9620086071903216
evo21,75,17,1.782715669449638
evo21,76,17,1.7840833911973544
evo21,77,17,1.638386845095631
evo21,78,17,1.816500590128057
evo21,79,17,1.8183812686406515
evo21,80,17,1.7858538644881372
evo21,81,17,1.767162107369479
evo21,82,17,1.5644032641259187
evo21,83,17,1.8701036558418043
