model,model_window_position,base_count,mean_bpb
evo21,1,17,2.045238501885358
evo21,2,17,1.888260659049539
evo21,3,17,2.010497478877797
evo21,4,17,1.8905459291794722
evo21,5,17,1.9171557917314417
evo21,6,17,1.9560231110628914
evo21,7,17,1.9420276599771835
evo21,8,17,1.9486488945343916
evo21,9,17,1.91953865219565
evo21,10,17,2.021661176401026
evo21,11,17,2.001251157592325
evo21,12,17,1.8735874540665571
evo21,13,17,1.9297066085478838
evo21,14,17,1.8633203997331507
evo21,15,17,1.9768437077017391
evo21,16,17,1.9405016197877771
evo21,17,17,1.9800183773040771
evo21,18,17,1.7438984337974996
evo21,19,17,1.8191378958085005
evo21,20,17,1.782330456901999
evo21,21,17,1.9641597621581133
evo21,22,17,1.7413143971387077
evo21,23,17,1.7655259791542501
evo21,24,17,1.8783772903330185
evo21,25,17,1.8835009757210226
evo21,26,17,1.626383735853083
evo21,27,17,1.895904218449312
evo21,28,17,1.9438007403822506
evo21,29,17,1.7827843673088972
evo21,30,17,1.940508015015546
evo21,31,17,1.7189757017528309
evo21,32,17,1.5983971497591805
evo21,33,17,1.5604525681804209
evo21,34,17,1.8498734446132885
evo21,35,17,1.9617927214678597
evo21,36,17,1.7596945622388054
evo21,37,17,1.8192079873646008
evo21,38,17,1.7262163723216337
evo21,39,17,1.9418697848039514
evo21,40,17,1.7322868161341722
evo21,41,17,1.6725646380115957
evo21,42,17,1.7974273347679306
evo21,43,17,1.9608690686085646
evo21,44,17,1.8029062318451263
evo21,45,17,1.5746013750048244
evo21,46,17,1.7483928817159988
evo21,47,17,1.7404035154510946
evo21,48,17,1.5795609876513481
evo21,49,17,1.6088943678666563
evo21,50,17,1.7889672583516907
evo21,51,17,1.4211879692533438
evo21,52,17,1.7616735872100382
evo21,53,17,1.647081329542048
evo21,54,17,1.7040608937249464
evo21,55,17,1.5635315832846306
evo21,56,17,1.4428076016552307
evo21,57,17,1.6136499923818253
evo21,58,17,1.7598355294150465
evo21,59,17,1.9819064536953674
evo21,60,17,1.5565137615536941
evo21,61,17,1.6107671655276243
evo21,62,17,1.643284222439808
evo21,63,17,2.1721655421835533
evo21,64,17,1.8080178543048746
evo21,65,17,1.543932525550618
evo21,66,17,1.6830004330943613
evo21,67,17,1.4839460306307848
evo21,68,17,1.8165031774517368
evo21,69,17,1.7333070026601063
evo21,70,17,1.583393962944255
evo21,71,17,1.5356163066976212
evo21,72,17,1.8852026944651323
evo21,73,17,1.781235768514521
evo21,74,17,1.6684938704266268
evo21,75,17,1.7342178435886608
evo21,76,17,1.5044390401419472
