window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,12689,15761,3071,4260.5462210329715,1.3873481670573011,evo21,3072
1,3072,6144,15761,18833,3071,4377.632042442972,1.425474452114286,evo21,3072
2,6144,9216,18833,21905,3071,4327.968316557177,1.4093026104061142,evo21,3072
3,9216,12288,21905,24977,3071,4012.0193278396036,1.306421142246696,evo21,3072
4,12288,15360,24977,28049,3071,4167.031805404229,1.3568973641824256,evo21,3072
5,15360,18432,28049,31121,3071,4286.082425295084,1.3956634403435637,evo21,3072
6,18432,21504,31121,34193,3071,4116.017862401495,1.3402858555524244,evo21,3072
7,21504,24576,34193,37265,3071,4399.233880854677,1.4325085903141248,evo21,3072
8,24576,27648,37265,40337,3071,5010.9720510263,1.6317069524670464,evo21,3072
9,27648,30720,40337,43409,3071,5225.592850282788,1.7015932433353267,evo21,3072
10,30720,33792,43409,46481,3071,4985.701514523826,1.6234781877316267,evo21,3072
11,33792,36864,46481,49553,3071,4918.436017836793,1.6015747371660023,evo21,3072
12,36864,39936,49553,52625,3071,3917.8772231751354,1.2757659469798552,evo21,3072
13,39936,43008,52625,55697,3071,3955.918560935941,1.2881532272666691,evo21,3072
14,43008,46080,55697,58769,3071,4692.11829358316,1.5278796136708435,evo21,3072
15,46080,49152,58769,61841,3071,3921.702830023074,1.2770116672168916,evo21,3072
16,49152,52224,61841,64913,847,1148.2404330838472,1.3556557651521217,evo21,3072
