source,sample_bases,window_count,batch_count,batch_window_counts,nc_prefix_preset,nc_prefix_geco2_level,fused_arithmetic_bpb,fused_core_theoretical_bpb,fused_speed_bases_per_second,fused_process_seconds,fused_model_seconds,fused_native_seconds,fused_final_lm_weight,lm_full_arithmetic_bpb,lm_full_speed_bases_per_second,nc_prefix_diag_bpb,geco2_full_bpb,geco2_full_speed_bases_per_second,delta_vs_lm_bpb,delta_vs_nc_diag_bpb,delta_vs_geco2_bpb
AeCa,1591049,518,1,518,geco2_paper,5,1.7554305367088003,1.753918190447365,135937.26629334167,11.704288628010545,10.215430852549616,1.4030021529999992,0.7670646520670563,,,1.9114476184740323,1.9112673462602345,1419347.4084557518,,-0.156017081765232,-0.1558368095514342
AgPh,43970,15,1,15,geco2_paper,2,1.8176029110757335,1.816206004570478,3988.085274436946,11.025340977997985,9.87238320230972,0.3230520539999999,0.7264458071758467,,,1.9399104865559766,1.94823743461451,864627.8992279934,,-0.12230757548024318,-0.13063452353877647
AnCa,142189675,46286,6,8192 8192 8192 8192 8192 5326,geco2_paper,5,1.684705334617299,1.6832242496821617,1168500.1907748394,121.68562412104802,88.62610279023647,70.55201989199998,0.43050945301783994,,,1.701044981616438,1.6586955135807153,2654180.460025137,,-0.016339646999138813,0.02600982103658378
BuEb,18940,7,1,7,geco2_paper,1,1.9319957761351636,1.9307154142874163,1689.256496519132,11.212033246003557,10.076880578009877,0.22458694100000012,0.5283488917595074,,,1.9607527621091432,1.9793030623020063,243328.9799735458,,-0.028756985973979576,-0.047307286166842655
DaRe,62565020,20367,3,8192 8192 3983,geco2_paper,10,1.5071836626920283,1.5056964557318204,976946.423366799,64.04140340100275,41.88557346758898,48.958389799000024,0.33945695846174373,,,1.5287080721115938,1.469040559724907,1036273.0698578275,,-0.02152440941956546,0.03814310296712131
DrMe,32181429,10476,2,8192 2284,geco2_paper,10,1.8235113176608784,1.8220246732665482,860003.8600633455,37.42009832098847,26.270337249268778,29.172636305000005,0.5666696621889838,,,1.8677695067453994,1.8597292245785606,987484.008214659,,-0.04425818908452106,-0.03621790691768223
EnIn,26403087,8595,2,8192 403,geco2_paper,9,1.5681133043268767,1.5666455711841516,758639.0357897326,34.80322756199166,26.244341074081603,20.755367739000008,0.3523821664768834,,,1.591116120352501,1.5667528573458096,1000069.110103335,,-0.023002816025624373,0.001360446981067076
EsCo,4641652,1511,1,1511,geco2_paper,6,1.5644171514796887,1.5629147605686353,391368.58511702856,11.86005258600926,9.68814898718847,3.7307225820000016,0.8438292939763798,,,1.896789867746655,1.893381063466197,2074729.1722714605,,-0.3323727162669663,-0.3289639119865082
GaGa,148532294,48351,6,8192 8192 8192 8192 8192 7391,geco2_paper,11,1.8074160222692044,1.8059385372934778,1019805.7063508468,145.6476396190119,95.32297963066958,116.44368608900002,0.539980203140389,,,1.835450336596888,1.8246629113531365,1045351.9749523252,,-0.02803431432768355,-0.017246889083932126
HaHi,3890005,1267,1,1267,geco2_paper,5,1.656098642546732,1.6545903943341358,328318.2694349637,11.848274562042207,9.899807380337734,3.1721317919999947,0.8065862073902472,,,1.8596091805366266,1.8567194643708684,2014645.6190172296,,-0.2035105379898947,-0.20062082182413654
HePy,1667825,543,1,543,geco2_paper,4,1.6020337865183698,1.6005515691198977,141677.98875572643,11.771941531973425,10.25792772101704,1.5241916069999986,0.72452089396662,,,1.8033181312290658,1.801057065339589,1525529.4888702023,,-0.201284344710696,-0.19902327882121917
HoSa,189752667,61769,8,8192 8192 8192 8192 8192 8192 8192 4425,geco2_paper,12,1.5944218164796597,1.5929382877474523,868950.11610353,218.3700346929836,124.58985732891597,179.41784276,0.6046849585756907,,,1.676467156883589,1.6377379085796986,885539.5779464474,,-0.08204534040392919,-0.04331609210003884
OrSa,43262523,14083,2,8192 5891,geco2_paper,10,1.5991219004957247,1.5976475910249253,1014867.198054312,42.62875288800569,28.878808244946413,33.57311536899998,0.42578058364813953,,,1.6386765617446877,1.5988975955008449,987788.7459964376,,-0.03955466124896301,0.00022430499487979816
PlFa,8986712,2926,1,2926,geco2_paper,7,1.6927534786916505,1.6912592687580323,671234.8145121299,13.388328206026927,10.218600811029319,9.689306077999987,0.4710114134533309,,,1.7167431239043338,1.7142874946921633,866198.5387599625,,-0.02398964521268332,-0.021534016000512857
ScPo,10652155,3468,1,3468,geco2_paper,8,1.852313264311306,1.8508132471315946,758250.9118407269,14.048324682051316,10.27081132074818,10.014771280000016,0.5578029078473891,,,1.893622721106281,1.8917959793112287,906870.4460769251,,-0.041309456794975,-0.03948271499992262
WaMe,9144432,2977,1,2977,geco2_paper,5,1.8975848910025248,1.8960845833655282,711100.525579742,12.859548926004209,9.974936722777784,7.006194053999995,0.5905887775907218,,,1.9430403525486057,1.9401139403737706,2226882.953324463,,-0.04545546154608093,-0.0425290493712458
YeMi,73689,24,1,24,geco2_paper,3,1.6967525682259224,1.6952596472209738,6487.0820453966135,11.359344538010191,10.20900435227668,0.3258599279999999,0.6901653384734612,,,1.817299363135862,1.8236643189621247,590890.4386106117,,-0.12054679490993969,-0.1269117507362023
