source,sample_bases,window_count,batch_count,batch_window_counts,fused_arithmetic_bpb,fused_core_theoretical_bpb,fused_speed_bases_per_second,fused_process_seconds,fused_model_seconds,fused_native_seconds,fused_final_lm_weight,lm_full_arithmetic_bpb,lm_full_speed_bases_per_second,nc_prefix_diag_bpb,geco2_full_bpb,geco2_full_speed_bases_per_second,delta_vs_lm_bpb,delta_vs_nc_diag_bpb,delta_vs_geco2_bpb
AeCa,1591049,518,1,518,1.7728731170441638,1.771427875308071,96077.52928311765,16.5600532389999,12.656962608009962,4.906522195999994,0.7807802391820776,1.7914895034527578,150834.22577376335,1.9271593591450662,1.9112673462602345,1419347.4084557518,-0.018616386408593977,-0.15428624210090236,-0.1383942292160707
AgPh,43970,15,1,15,1.8323402319763475,1.8306311760360792,2730.945057328523,16.100653464999596,12.177458168992416,0.7555738419999994,0.7414414119899992,1.8504366812227073,4011.5261682865016,1.962579925589733,1.94823743461451,864627.8992279934,-0.01809644924635978,-0.1302396936133854,-0.11589720263816239
AnCa,142189675,46286,6,8192 8192 8192 8192 8192 5326,1.6009426282182584,1.5994634976499398,620232.3513375113,229.25227085200004,146.55228476698994,142.931961903,0.39048828760352966,1.871921810580985,2452170.513704689,1.6162881783120118,1.6586955135807153,2654180.460025137,-0.27097918236272656,-0.01534555009375338,-0.05775288536245693
BuEb,18940,7,1,7,1.937064413938754,1.935234009233373,1371.3076907445818,13.811634054000024,11.608245482005259,0.40691117299999946,0.5302997919016244,1.9692697608110248,1820.530390384158,1.9787014590813776,1.9793030623020063,243328.9799735458,-0.032205346872270724,-0.04163704514262356,-0.042238648363252196
DaRe,62565020,20367,3,8192 8192 3983,1.5085779242138817,1.507094866700978,594133.812886797,105.30459408800016,71.82081345299775,63.80327575300003,0.3369447676132345,1.8360982490247186,2006441.5033483307,1.5287080721115938,1.469040559724907,1036273.0698578275,-0.3275203248108369,-0.02013014789771206,0.03953736448897471
DrMe,32181429,10476,2,8192 2284,1.8220712324490003,1.820597355300464,532098.6206818448,60.48019624400058,38.90280189798614,34.71582320499997,0.5737071529500772,1.8956938176984,1587663.4740669213,1.8677695067453994,1.8597292245785606,987484.008214659,-0.07362258524939969,-0.045698274296399166,-0.037657992129560336
EnIn,26403087,8595,2,8192 403,1.5669852544136222,1.5655028233781587,462090.76088847173,57.138314017000084,37.66021397603072,29.550107842000006,0.3597368057282436,1.8926353573731738,1304183.4740489859,1.5919470146478192,1.5667528573458096,1000069.110103335,-0.32565010295955155,-0.02496176023419694,0.0002323970678126397
EsCo,4641652,1511,1,1511,1.585040843217027,1.583578806014473,248893.82811532423,18.64912454899968,12.492829367962258,6.603274436999999,0.8366095484276259,1.6619448553973575,429178.48437388975,1.905162110644494,1.893381063466197,2074729.1722714605,-0.07690401218033038,-0.32012126742746694,-0.30834022024916985
GaGa,148532294,48351,6,8192 8192 8192 8192 8192 7391,1.8104157739595674,1.8089336201102104,626036.9236053462,237.25804085900018,154.7542952250733,149.99848478799998,0.5543566605168508,1.8529393998713761,2378977.9371090913,1.8410306822493665,1.8246629113531365,1045351.9749523252,-0.04252362591180869,-0.03061490828979907,-0.014247137393569087
HaHi,3890005,1267,1,1267,1.6665685519684421,1.665097054194291,178758.24365310016,21.76126214100077,14.359062659013944,7.774770802999998,0.7934667263672001,1.7055118709389503,340064.5601483125,1.8602321859475741,1.8567194643708684,2014645.6190172296,-0.03894331897050818,-0.193663633979132,-0.19015091240242632
HePy,1667825,543,1,543,1.62111012846072,1.6196566112402424,82216.64639981906,20.285733765998884,14.185666127981676,5.414515479999993,0.7331575729111512,1.6965157573675385,146649.2104775649,1.8182899813557336,1.801057065339589,1525529.4888702023,-0.07540562890681857,-0.19717985289501372,-0.1799469368788691
HoSa,189752667,61769,8,8192 8192 8192 8192 8192 8192 8192 4425,1.59956636604217,1.5980940402809505,590054.2141881819,321.58513986900107,220.10739937806648,199.45723590800006,0.592490175722844,1.648718476246766,2472379.101122099,1.6759608925844214,1.6377379085796986,885539.5779464474,-0.04915211020459598,-0.07639452654225143,-0.038171542537528635
OrSa,43262523,14083,2,8192 5891,1.6001983055865696,1.598711322201929,638630.2428947706,67.74267814800078,46.50339710394837,42.784367278999994,0.42328431100473707,1.8840800385127794,1295929.933910333,1.6386765617446877,1.5988975955008449,987788.7459964376,-0.2838817329262098,-0.03847825615811806,0.0013007100857247433
PlFa,8986712,2926,1,2926,1.698184608564289,1.6967019306379665,406396.6817043067,22.113152996998906,15.503087632956522,11.076099341999997,0.4966243679000732,1.8069242247719133,746060.2675897635,1.726745479614616,1.7142874946921633,866198.5387599625,-0.10873961620762418,-0.028560871050326897,-0.01610288612787425
ScPo,10652155,3468,1,3468,1.8571866443926135,1.8557050660868217,495738.5361793856,21.487445947001106,14.908769963021768,12.304302880999977,0.5739557202264528,1.9185430477253709,837623.0204885767,1.9018624596174607,1.8917959793112287,906870.4460769251,-0.06135640333275738,-0.044675815224847204,-0.034609334918615176
WaMe,9144432,2977,1,2977,1.8970031162132324,1.8955144368918468,406371.6482499788,22.502632847001223,15.656375384016428,11.375057682999996,0.6018712089614473,1.924719217114852,748480.071101294,1.9448842287687993,1.9401139403737706,2226882.953324463,-0.027716100901619578,-0.04788111255556693,-0.04311082416053824
YeMi,73689,24,1,24,1.7191168288346972,1.7173912876800097,4772.639789271674,15.439883011000347,12.139287816973592,1.0156988649999994,0.7265208471441729,1.7464750505502857,6782.831229776083,1.8472793745945721,1.8236643189621247,590890.4386106117,-0.02735822171558855,-0.12816254575987496,-0.10454749012742748
