source,model_family,model_id,core_base_count,tail_base_count,row_count,window_bases,token_merge_size,dtype,emission_order,shard_count,checksum_sha256,trace_generation_seconds,batch_size,batch_count,trace_dir,depth_major_trace_dir
AeCa,megabyte,outputs/dna_megabyte_large_opengenome2_11/best.pt,1591049,0,1591049,8192,1,float32,position_major_v1,2,8fe754de95b48b7ee0ce2e93d3ae1aae2568229cdcfbc63803cca94ab676395e,13.044237822003197,8192,1,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/AeCa,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces/traces/AeCa
AgPh,megabyte,outputs/dna_megabyte_large_opengenome2_11/best.pt,43970,0,43970,8192,1,float32,position_major_v1,1,0c4fd12771f0364654d2dca1394db696cc6c67b9953d5e1155c827dd58fa01ff,10.249899625981925,8192,1,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/AgPh,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces/traces/AgPh
AnCa,megabyte,outputs/dna_megabyte_large_opengenome2_11/best.pt,142189675,0,142189675,8192,1,float32,position_major_v1,143,2369fb6fac18577feb14029f4fa328d946b8eea277fd77f3066001169a533fa9,239.14977776698652,8192,6,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/AnCa,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces/traces/AnCa
BuEb,megabyte,outputs/dna_megabyte_large_opengenome2_11/best.pt,18940,0,18940,8192,1,float32,position_major_v1,1,85de794d0341ccdf4fc60acf4e132a0873cfd5577640ea5dfb908e28ae993133,10.953405926993582,8192,1,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/BuEb,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces/traces/BuEb
DaRe,megabyte,outputs/dna_megabyte_large_opengenome2_11/best.pt,62565020,0,62565020,8192,1,float32,position_major_v1,63,e49f5cfc6751039bb3c15554d0fa7cb80caf974fc4682a0b425643deb2ebdf26,104.2163349360053,8192,3,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/DaRe,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces/traces/DaRe
DrMe,megabyte,outputs/dna_megabyte_large_opengenome2_11/best.pt,32181429,0,32181429,8192,1,float32,position_major_v1,33,3190e7a7f7ae6bb9e1224d458ec3d439860afa1d0030b197b36a85a337c31a43,59.61180532799335,8192,2,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/DrMe,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces/traces/DrMe
EnIn,megabyte,outputs/dna_megabyte_large_opengenome2_11/best.pt,26403087,0,26403087,8192,1,float32,position_major_v1,27,e69f7d9bcb2acb68043e029c11db7256e9bdb47918bc52d023f8173ad3d948e7,55.57121159200324,8192,2,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/EnIn,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces/traces/EnIn
EsCo,megabyte,outputs/dna_megabyte_large_opengenome2_11/best.pt,4641652,0,4641652,8192,1,float32,position_major_v1,5,c02e6ca4aa0e144a5f8b1a410df8c8e317f802d8ecddcb71b2edb21df30e76dc,15.527303859009407,8192,1,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/EsCo,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces/traces/EsCo
GaGa,megabyte,outputs/dna_megabyte_large_opengenome2_11/best.pt,148532294,0,148532294,8192,1,float32,position_major_v1,149,ec7a987fb486a0dbb5c198d1accb251813e2c7f449a1579dd1da87e6dc83573f,252.9254424640094,8192,6,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/GaGa,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces/traces/GaGa
HaHi,megabyte,outputs/dna_megabyte_large_opengenome2_11/best.pt,3890005,0,3890005,8192,1,float32,position_major_v1,4,c653b246ce35928af5a039681f654103d80511d7c8648a9f6c8cde8f038f1baa,14.647309566003969,8192,1,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/HaHi,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces/traces/HaHi
HePy,megabyte,outputs/dna_megabyte_large_opengenome2_11/best.pt,1667825,0,1667825,8192,1,float32,position_major_v1,2,68fdd528ef61ee6af0850468fadc0adaa9cb37a1ce0e2739f276125212239cbe,12.493643606983824,8192,1,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/HePy,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces/traces/HePy
HoSa,megabyte,outputs/dna_megabyte_large_opengenome2_11/best.pt,189752667,0,189752667,8192,1,float32,position_major_v1,190,5a25c94d9edfb602683033de9d0529b8c5b5989b1a92ef8c2bd4d5d634ba4eb7,318.7904830900079,8192,8,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/HoSa,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces/traces/HoSa
OrSa,megabyte,outputs/dna_megabyte_large_opengenome2_11/best.pt,43262523,0,43262523,8192,1,float32,position_major_v1,44,f84d8b7f549fe367e9073dd5b48ded395aae5bec578db764daa0934700c9cab1,74.99076892799349,8192,2,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/OrSa,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces/traces/OrSa
PlFa,megabyte,outputs/dna_megabyte_large_opengenome2_11/best.pt,8986712,0,8986712,8192,1,float32,position_major_v1,9,c6c69b351f3a18160f2763c6660602326305364523b09ef06568d9f0d35daba0,19.512767892010743,8192,1,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/PlFa,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces/traces/PlFa
ScPo,megabyte,outputs/dna_megabyte_large_opengenome2_11/best.pt,10652155,0,10652155,8192,1,float32,position_major_v1,11,6de566293a783492a7778291047d0da8671241c539187bb64cf780bb98c67a02,21.715248563996283,8192,1,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/ScPo,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces/traces/ScPo
WaMe,megabyte,outputs/dna_megabyte_large_opengenome2_11/best.pt,9144432,0,9144432,8192,1,float32,position_major_v1,10,dac337e756bd66b56d6eb4f0629598564644ced64ada01ec828223247548c440,19.365352288004942,8192,1,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/WaMe,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces/traces/WaMe
YeMi,megabyte,outputs/dna_megabyte_large_opengenome2_11/best.pt,73689,0,73689,8192,1,float32,position_major_v1,1,0fbe2f19c1d5e83572380489974004c45e5bb56e6ba241feb4f47ff197382116,11.239662042004056,8192,1,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces_position_major/traces/YeMi,outputs/megabyte_dnacorpus_w8192_model3072_streaming_cache_bs8192_target_traces/traces/YeMi
