species,region_class,base_count,interval_count,coverage_fraction,sum_bits,mean_bpb,min_bpb,max_bpb
HoSa,intergenic,90339047,1758,0.47608841777175126,144593620.22447306,1.6005661452735167,0.0009248751246666447,11.356187838455718
HoSa,cds,1441170,8303,0.007594992064064112,2714352.6643543956,1.8834368355949649,0.004829004516177273,9.129635280416595
HoSa,rna,32807509,1424,0.17289616804173824,54423620.13420662,1.6588769398556478,0.002092826265968833,11.752116514786856
HoSa,exon_non_cds,3198055,3639,0.016853807909851408,5697460.79599765,1.7815393406297422,0.0035265112667726534,10.67811593334308
HoSa,intron,61958107,9043,0.3265203487232145,103827281.6215739,1.6757658787343825,0.00222510674904286,11.245112497836532
HoSa,gene_other,0,0,0.0,0.0,,,
HoSa,repeat_mobile_existing,8779,12,4.626548938044702e-05,4041.822158619966,0.4603966463856893,0.00513826388597889,9.415059513226108
GaGa,intergenic,72256287,1629,0.48646853188707906,130627130.49280658,1.8078306527542245,0.002026604460237209,12.093131418338745
GaGa,cds,2636753,15435,0.017752051954438946,4972902.547757682,1.8859948382566294,0.0032837012893246393,9.573757259245166
GaGa,rna,6218101,657,0.04186363000627998,11482922.76390522,1.8466928671478993,0.002335263620097658,10.218662300422604
GaGa,exon_non_cds,2973437,4368,0.020018791334361265,5580050.541565595,1.8766331829346292,0.0035484928878765903,10.508168917617589
GaGa,intron,64447716,15294,0.4338969948178408,118498012.22178802,1.8386689176353126,0.0025999673305059927,11.356165824172539
GaGa,gene_other,0,0,0.0,0.0,,,
GaGa,repeat_mobile_existing,0,0,0.0,0.0,,,
DaRe,intergenic,22651647,1810,0.36204970445146506,32251669.680938095,1.4238112434357686,0.0030851394791067206,11.142041018819691
DaRe,cds,2371006,12026,0.037896671334876904,4066325.8823022204,1.7150213379056065,0.003327916037484043,9.327596671975769
DaRe,rna,2047937,662,0.032732939268620066,2744956.5066266414,1.3403520257833328,0.0031733857986565714,9.95562789458881
DaRe,exon_non_cds,1964189,3685,0.031394363815435526,3266381.986141055,1.662967253223114,0.003526425064996235,10.117378964585424
DaRe,intron,33530241,11613,0.5359263211296025,49909521.90735395,1.488492787968746,0.0033498946328772376,11.093109404391482
DaRe,gene_other,0,0,0.0,0.0,,,
DaRe,repeat_mobile_existing,0,0,0.0,0.0,,,
OrSa,intergenic,26201502,4277,0.6056397126908202,38118878.24052354,1.454835613642437,0.0031734719793412905,10.142041018819691
OrSa,cds,5361231,20886,0.12392321640603346,9967716.833629094,1.859221666372722,0.004674399687800848,9.28577649628114
OrSa,rna,935741,718,0.02162936729325749,1639327.0215545313,1.7519025259708951,0.0051602700784595884,9.28577649628114
OrSa,exon_non_cds,2980392,9731,0.06889085040185937,5550428.386062392,1.862314885445402,0.004652228367109363,9.590631077809562
OrSa,intron,7783657,18409,0.1799168532080295,14033548.011825044,1.8029504655491684,0.0042106845861605785,9.714619795085015
OrSa,gene_other,0,0,0.0,0.0,,,
OrSa,repeat_mobile_existing,0,0,0.0,0.0,,,
DrMe,intergenic,11411662,2960,0.3546039549704272,20743043.5780541,1.8177057450574772,0.003989920246838766,9.850274894442581
DrMe,cds,5628389,14979,0.17489555855335076,10874515.23631476,1.9320830945257623,0.011093112504902471,7.891497557169095
DrMe,rna,439099,259,0.013644484214793568,791281.5622044042,1.8020573087262877,0.005668577088406018,8.771203323451383
DrMe,exon_non_cds,1920823,7919,0.05968731220729819,3617754.602589469,1.8834398602002729,0.008544586033397215,8.830097012504952
DrMe,intron,12781456,13027,0.3971686900541303,23874826.55126148,1.867926983534699,0.003967845670794082,9.714619795085015
DrMe,gene_other,0,0,0.0,0.0,,,
DrMe,repeat_mobile_existing,0,0,0.0,0.0,,,
EsCo,intergenic,495049,3750,0.10665362246027923,948573.7491538133,1.9161209277340492,0.007835875150759472,8.881102955506934
EsCo,cds,3961156,3509,0.8533935762525928,7611930.374958895,1.9216436754722346,0.009674227028987023,7.245134511783795
EsCo,rna,49790,219,0.010726784343160581,44016.535790216905,0.8840436993415727,0.008256735650946383,8.005668577088406
EsCo,exon_non_cds,0,0,0.0,0.0,,,
EsCo,intron,84083,130,0.018114886682586286,158421.83278742904,1.8841125172440212,0.020641185536138328,7.123505067382264
EsCo,gene_other,0,0,0.0,0.0,,,
EsCo,repeat_mobile_existing,51574,44,0.011111130261381077,38734.61309951875,0.7510492321619178,0.012336281746019315,7.472544948228021
AgPh,intergenic,4692,44,0.10670911985444621,9076.452321713952,1.9344527539884808,0.0546476152427263,3.664910781614581
AgPh,cds,39278,43,0.8932908801455538,76277.96315104226,1.9420022188258634,0.020820106343562905,7.045825703560388
AgPh,rna,0,0,0.0,0.0,,,
AgPh,exon_non_cds,0,0,0.0,0.0,,,
AgPh,intron,0,0,0.0,0.0,,,
AgPh,gene_other,0,0,0.0,0.0,,,
AgPh,repeat_mobile_existing,0,0,0.0,0.0,,,
BuEb,intergenic,681,5,0.03595564941921858,1317.0168929386484,1.9339455109231254,0.8834750214908516,3.79851064140366
BuEb,cds,14516,7,0.7664202745512143,28532.321683562186,1.9655774100001506,0.6596722956681859,3.7488575698639557
BuEb,rna,0,0,0.0,0.0,,,
BuEb,exon_non_cds,3743,11,0.19762407602956705,7272.05632686954,1.9428416582606305,0.14629820047674158,5.094635031884415
BuEb,intron,0,0,0.0,0.0,,,
BuEb,gene_other,0,0,0.0,0.0,,,
BuEb,repeat_mobile_existing,0,0,0.0,0.0,,,
YeMi,intergenic,10280,88,0.13950521787512382,17807.27729556255,1.7322254178562793,0.026190544016256184,6.8003496691109
YeMi,cds,63409,87,0.8604947821248762,116058.70902525229,1.8303191822178602,0.017050714577077852,7.19266709188966
YeMi,rna,0,0,0.0,0.0,,,
YeMi,exon_non_cds,0,0,0.0,0.0,,,
YeMi,intron,0,0,0.0,0.0,,,
YeMi,gene_other,0,0,0.0,0.0,,,
YeMi,repeat_mobile_existing,0,0,0.0,0.0,,,
AeCa,intergenic,191785,1553,0.12053997079913943,376848.1672573543,1.9649512071191924,0.02242903477667878,7.072244006661401
AeCa,cds,1384830,1505,0.8703880270186525,2637888.042780439,1.9048461130827892,0.03428228654244304,6.368844930482737
AeCa,rna,9554,48,0.006004843345490931,17184.23014032085,1.7986424681097815,0.018187212404125474,6.5467513485327675
AeCa,exon_non_cds,0,0,0.0,0.0,,,
AeCa,intron,0,0,0.0,0.0,,,
AeCa,gene_other,0,0,0.0,0.0,,,
AeCa,repeat_mobile_existing,4880,4,0.0030671588367171595,8359.60366640205,1.7130335381971415,0.017696848632863974,7.552938724659919
HaHi,intergenic,489616,3294,0.12586513384944234,968334.7054643416,1.9777431813183015,0.014002281584745202,7.860492675831648
HaHi,cds,3381272,3236,0.8692204765803643,6240107.763568822,1.8454912126468448,0.024465111959318758,7.275508108784489
HaHi,rna,18301,60,0.0047046212022863725,22019.079499677882,1.2031626413681156,0.03302147792788285,6.205606147597158
HaHi,exon_non_cds,0,0,0.0,0.0,,,
HaHi,intron,4,2,1.0282763132695203e-06,1.2730897154455039,0.31827242886137597,0.10170566195801897,0.6226080742327926
HaHi,gene_other,0,0,0.0,0.0,,,
HaHi,repeat_mobile_existing,812,1,0.0002087400915937126,1311.3765302695242,1.6149957269329116,0.0151806114688222,6.97765420091881
