window_index,source_midpoint_mbase,geco22_bpb,megabyte1_bpb,nc_prefix_current_bpb
0,0.001536000,2.008789221,1.897021443,1.971310774
1,0.004608000,2.011881351,1.810352740,1.968069394
2,0.007680000,1.996423562,1.880286972,1.948812087
3,0.010752000,1.967438062,1.620689290,1.935946027
4,0.013824000,1.961592515,1.663462286,1.927497784
5,0.016896000,1.953494708,1.755535168,1.930102269
6,0.019968000,1.968025049,1.706746739,1.945589701
7,0.023040000,1.961102486,1.732976404,1.939634800
8,0.026112000,1.959871292,1.775451721,1.946832498
9,0.029184000,1.974914233,1.783553417,1.951679707
10,0.032256000,1.985722224,1.628374367,1.971156279
11,0.035328000,1.977156480,1.821075954,1.964118004
12,0.038400000,1.966026624,1.795476006,1.933947196
13,0.041472000,1.947965006,1.889904489,1.939127902
14,0.044544000,1.984008789,1.918044488,1.968391260
15,0.047616000,2.000073115,1.906373302,1.985407194
16,0.050688000,1.966273149,1.803614798,1.960032463
17,0.053760000,1.965289275,1.677446011,1.955112775
18,0.056832000,1.962390820,1.878348430,1.952172915
19,0.059904000,1.989325841,1.889799416,1.989827394
20,0.062976000,2.008813222,1.778489975,2.003411770
21,0.066048000,2.006106218,1.831289845,2.006997585
22,0.069120000,1.975398540,1.884876609,1.967840354
23,0.072192000,1.942160924,1.497589972,1.922395746
24,0.075264000,1.928281625,1.812760015,1.921674411
25,0.078336000,1.953603427,1.724291372,1.944483757
26,0.081408000,1.948197842,1.730152391,1.950108846
27,0.084480000,1.955035051,1.688090461,1.950216134
28,0.087552000,1.954396725,1.858624746,1.956390142
29,0.090624000,1.970651150,1.865249687,1.970612367
30,0.093696000,1.964434624,1.884099891,1.965620995
31,0.096768000,1.943030834,1.737784886,1.941018105
32,0.099840000,1.954400380,1.872566322,1.963363012
33,0.102912000,1.960611979,1.912792206,1.966009617
34,0.105984000,1.946178277,1.876715144,1.947726806
35,0.109056000,1.952279886,1.902280286,1.954685926
36,0.112128000,1.953256925,1.901689177,1.962008317
37,0.115200000,1.967749755,1.874174377,1.970394850
38,0.118272000,1.939631780,1.870680451,1.954671701
39,0.121344000,1.963609378,1.914288998,1.964451631
40,0.124416000,1.956455708,1.850126977,1.955256303
41,0.127488000,1.944619815,1.796269678,1.947958072
42,0.130560000,1.947825114,1.895440817,1.946540197
43,0.133632000,1.921387196,1.812512562,1.921862364
44,0.136704000,1.931773027,1.796522042,1.944176515
45,0.139776000,1.946941058,1.865665495,1.944556713
46,0.142848000,1.934071541,1.879226903,1.943927288
47,0.145920000,1.952334404,1.904187429,1.963823795
48,0.148992000,1.935867310,1.827140411,1.942629814
49,0.152064000,1.942493439,1.837820182,1.950989405
50,0.155136000,1.925701022,1.695216710,1.909205139
51,0.158208000,1.926781893,1.572399188,1.944195112
52,0.161280000,1.955427488,1.795365279,1.957374891
53,0.164352000,1.923166593,1.739084842,1.931901773
54,0.167424000,1.917199175,1.669711428,1.912823568
55,0.170496000,1.962489446,1.896039248,1.963098685
56,0.173568000,1.883765539,1.778122554,1.880374591
57,0.176640000,1.881254355,1.788291534,1.883496920
58,0.179712000,1.888149818,1.508232002,1.903389454
59,0.182784000,1.937330564,1.713778360,1.944754998
60,0.185856000,1.964057922,1.783827986,1.973445098
61,0.188928000,1.918715795,1.811324716,1.925026894
62,0.192000000,1.913325787,1.815723817,1.919444402
63,0.195072000,1.909044822,1.714595901,1.884791434
64,0.198144000,1.906163375,1.790778348,1.922758102
65,0.201216000,1.929680745,1.821154391,1.942003409
66,0.204288000,1.923954487,1.853555342,1.940013091
67,0.207360000,1.887826622,1.767591675,1.891604682
68,0.210432000,1.908433239,1.831375996,1.928293069
69,0.213504000,1.940923293,1.725305417,1.950458050
70,0.216576000,1.934252659,1.787843381,1.947538694
71,0.219648000,1.938515186,1.840005185,1.950074116
72,0.222720000,1.939118862,1.757848756,1.954120874
73,0.225792000,1.940470378,1.686597150,1.946106275
74,0.228864000,1.949669838,1.857805691,1.960237106
75,0.231936000,1.953557968,1.811391997,1.960347017
76,0.235008000,1.947738012,1.690093153,1.955817223
77,0.238080000,1.958704313,1.838712727,1.970342000
78,0.241152000,1.933373372,1.695689682,1.946952184
79,0.244224000,1.921234926,1.633465176,1.930446307
80,0.247296000,1.907902241,1.662026404,1.917280197
81,0.250368000,1.915741046,1.789889146,1.928106149
82,0.253440000,1.898471355,1.817158381,1.913302104
83,0.256512000,1.909034411,1.721351737,1.925999006
84,0.259584000,1.910346508,1.777324388,1.920099099
85,0.262656000,1.918527285,1.813600341,1.932086865
86,0.265728000,1.887727420,1.804404067,1.907880227
