window_index,source_midpoint_mbase,geco22_bpb,megabyte1_bpb,nc_prefix_current_bpb
0,0.001536000,1.969683011,1.869912664,1.962182840
1,0.004608000,1.946933746,1.862066388,1.964649041
2,0.007680000,1.939682007,1.804416160,1.961835146
3,0.010752000,1.920584997,1.812301079,1.960106055
4,0.013824000,1.930697123,1.847072879,1.968022982
5,0.016896000,1.929401239,1.807687884,1.961610794
6,0.019968000,1.927199999,1.770038769,1.969854514
7,0.023040000,1.937039375,1.778934830,1.963889758
8,0.026112000,1.938535372,1.855125235,1.963252703
9,0.029184000,1.900672237,1.817661603,1.937718670
10,0.032256000,1.960244656,1.834710519,1.974205971
11,0.035328000,1.956575712,1.893672923,1.975216389
12,0.038400000,1.952017784,1.838189244,1.964579026
13,0.041472000,1.949982643,1.865409096,1.969488462
14,0.043489000,1.862972680,1.656605742,1.892821377
