window_index,source_midpoint_mbase,geco22_bpb,megabyte1_bpb,nc_prefix_current_bpb
0,146.347363000,1.661067317,1.546399025,1.729619342
1,146.350435000,0.857885639,0.830076932,0.937302244
2,146.353507000,1.446026235,1.384553673,1.535456399
3,146.356579000,0.860312625,1.272505092,1.192526239
4,146.359651000,1.528894321,1.593499420,1.647211055
5,146.362723000,1.887082199,1.877195776,1.886689464
6,146.365795000,1.898169359,1.851419648,1.903099060
7,146.368867000,1.597819937,1.532286599,1.660956134
8,146.371939000,1.399221656,1.209908004,1.534775980
9,146.375011000,1.674424686,1.701094791,1.839131574
10,146.378083000,1.820327049,1.814651400,1.859363635
11,146.381155000,1.816902260,1.778814723,1.840265691
12,146.384227000,1.749691258,1.700670456,1.792293037
13,146.387299000,1.766330471,1.746623260,1.769821165
14,146.390371000,1.414070470,1.881635189,1.591830507
15,146.393443000,1.868105461,1.846800819,1.878893475
16,146.396515000,1.750429387,1.713053609,1.759799326
17,146.399587000,1.762418032,1.736699315,1.773398106
18,146.402659000,1.205608257,1.512084778,1.368388340
19,146.405731000,0.537807481,0.673895982,0.635784807
20,146.408803000,1.278103570,1.280729094,1.385623979
21,146.411875000,1.639383897,1.581218819,1.652894894
22,146.414947000,1.171703433,1.279126578,1.186121956
23,146.418019000,1.327632787,1.279079444,1.389704764
24,146.421091000,1.015371898,1.017411270,1.058677363
25,146.424163000,0.972653403,1.136950123,1.117737201
26,146.427235000,1.882498264,1.858696222,1.888428688
27,146.430307000,1.722309227,1.688785215,1.747278964
28,146.433379000,1.843434155,1.849581738,1.855828171
29,146.436451000,1.662057479,1.637111728,1.733257562
30,146.439523000,1.888654371,1.855118950,1.905285199
31,146.442595000,1.876250128,1.834097147,1.889304717
32,146.445667000,1.930478096,1.906701883,1.932390372
33,146.448739000,1.845032588,1.755186640,1.854076882
34,146.451811000,1.834254583,1.800080702,1.850362167
35,146.454883000,1.797935724,1.727424959,1.815749039
36,146.457955000,1.886728446,1.868145386,1.902532498
37,146.461027000,1.719686011,1.745233153,1.768326044
38,146.464099000,1.791297595,1.755859892,1.856741577
39,146.467171000,1.700352299,1.702987505,1.717705915
40,146.470243000,1.776431133,1.469591737,1.839645058
41,146.473315000,1.829960395,1.811705604,1.850920970
42,146.476387000,1.824906359,1.783536178,1.853203932
43,146.479459000,1.910761674,1.892183145,1.910620054
44,146.482531000,1.880954156,1.857093036,1.893914620
45,146.485603000,1.866502901,1.822442989,1.894399563
46,146.488675000,1.874126434,1.825930407,1.890199502
47,146.491747000,0.530723152,0.762955630,0.605624383
48,146.494819000,1.911102702,1.883814404,1.921504180
49,146.497891000,1.922079285,1.891144753,1.931432247
50,146.500963000,1.861600459,1.849109828,1.871237492
51,146.504035000,1.769387265,1.742563804,1.776101733
52,146.507107000,1.772541190,1.729064350,1.811874002
53,146.510179000,1.858440260,1.890600502,1.887880862
54,146.513251000,1.874749819,1.839337826,1.883852959
55,146.516323000,1.822173675,1.773010135,1.824006160
56,146.519395000,1.847082734,1.797804991,1.852381090
57,146.522467000,1.852226416,1.749076168,1.864238759
58,146.525539000,1.714443398,1.638418823,1.732061928
59,146.528611000,1.812683751,1.770366828,1.822512120
60,146.531683000,1.777667021,1.746214444,1.786066651
61,146.534755000,1.896726688,1.869940440,1.902702967
62,146.537827000,1.805363248,1.784713368,1.813989560
63,146.540899000,1.893967638,1.870684544,1.916445951
64,146.543971000,1.935472647,1.896679004,1.938371023
65,146.547043000,1.785366590,1.768449595,1.826790283
66,146.550115000,1.889381339,1.875368883,1.894950857
67,146.553187000,1.786339189,1.723896727,1.823807607
68,146.556259000,1.937017679,1.923286438,1.942130327
69,146.559331000,1.903563122,1.879458904,1.908047954
70,146.562403000,1.876538088,1.841141740,1.885539691
71,146.565475000,1.066547073,1.396156251,1.163352981
72,146.568547000,1.708958521,1.679530412,1.723175593
73,146.571619000,1.703080925,1.713570558,1.807072630
74,146.574691000,1.882979472,1.873372078,1.869355957
75,146.577763000,1.884887432,1.901629051,1.924665928
76,146.580835000,1.761894380,1.741720383,1.769123395
77,146.583907000,1.935982267,1.908446312,1.943043709
78,146.586979000,1.446850235,1.418197401,1.583241378
79,146.590051000,1.661152537,1.704187592,1.758778093
80,146.593123000,1.613686390,1.588391379,1.655827388
81,146.596195000,1.746582285,1.702849026,1.764264154
82,146.599267000,1.781955715,1.746546400,1.806622878
83,146.602339000,1.675236102,1.636672823,1.688147893
84,146.605411000,1.904858212,1.875521739,1.915515264
85,146.608483000,1.791077211,1.751419256,1.812097579
86,146.611555000,1.887501637,1.865499020,1.882510662
87,146.614627000,1.910428683,1.889845490,1.922133883
88,146.617699000,1.824392751,1.783510759,1.847338726
89,146.620771000,1.417603585,1.324507664,1.511609346
90,146.623843000,1.882567565,1.824528495,1.900359035
91,146.626915000,1.927376270,1.894596219,1.931724548
92,146.629987000,1.886730671,1.854794025,1.889866829
93,146.633059000,1.893300533,1.858095805,1.902560393
94,146.636131000,1.918499271,1.893940965,1.926471512
95,146.639203000,1.907016436,1.883761326,1.917709668
96,146.642275000,1.883259535,1.860062857,1.885682503
97,146.645347000,1.650299023,1.630401507,1.694449939
98,146.648419000,1.884964496,1.822055320,1.905264348
99,146.651491000,1.855704864,1.803243876,1.873565674
100,146.654563000,1.891400496,1.872279326,1.897876263
101,146.657635000,1.894139270,1.860619952,1.903279349
102,146.660707000,1.779335623,1.756338363,1.795278728
103,146.663779000,1.748707642,1.702603205,1.762591595
104,146.666851000,1.826197773,1.812576433,1.834121029
105,146.669923000,1.852695972,1.898495674,1.902958949
