window_index,source_midpoint_mbase,geco22_bpb,megabyte1_bpb,nc_prefix_current_bpb
0,0.001536000,1.852150460,1.744791120,1.827324271
1,0.004608000,1.846435050,1.769282858,1.884856462
2,0.007680000,1.874083519,1.801142255,1.877441724
3,0.010752000,1.816677729,1.732413292,1.848266125
4,0.013824000,1.819866329,1.705040833,1.840198825
5,0.016896000,1.799095829,1.722362479,1.837387363
6,0.019968000,1.806639642,1.730142295,1.831392835
7,0.023040000,1.848584811,1.759512560,1.880393187
8,0.026112000,1.821468512,1.752362812,1.862231572
9,0.029184000,1.803487778,1.729118725,1.844956795
10,0.032256000,1.838032961,1.735145231,1.869979382
11,0.035328000,1.816951940,1.775916815,1.860057751
12,0.038400000,1.734353254,1.652260741,1.755267441
13,0.041472000,1.806921641,1.748444696,1.853152752
14,0.044544000,1.816467603,1.732210259,1.848087072
15,0.047616000,1.819220543,1.779373427,1.850125988
16,0.050688000,1.827182571,1.770300835,1.859685699
17,0.053760000,1.781423688,1.675538582,1.826760411
18,0.056832000,1.826332559,1.722052351,1.856944601
19,0.059904000,1.778593868,1.696166356,1.821702441
20,0.062976000,1.837862015,1.744677530,1.870749474
21,0.066048000,1.862889608,1.512735720,1.899700324
22,0.069120000,1.791765347,1.745412032,1.828956604
23,0.072172500,1.782282677,1.626251895,1.798455434
