species,source_length,region_start,region_bases,window_count,geco22_bpb,megabyte1_bpb,nc_prefix_current_bpb,nc_prefix_compute_seconds,wall_seconds,curve_png
HePy,1667825,0,1667825,543,1.800757,1.679058,1.81829,4.939025,6.634124919000897,outputs/nc_prefix_current_vs_geco2_megabyte_dnacorpus_long_seed12345/HePy/region_bpb_combined_curve_clear.png
WaMe,9144432,0,9144432,2977,1.940052,1.919656,1.944884,17.289124,23.190500506003445,outputs/nc_prefix_current_vs_geco2_megabyte_dnacorpus_long_seed12345/WaMe/region_bpb_combined_curve_clear.png
EsCo,4641652,0,4641652,1511,1.893269,1.638646,1.905162,9.675773,12.955638161001843,outputs/nc_prefix_current_vs_geco2_megabyte_dnacorpus_long_seed12345/EsCo/region_bpb_combined_curve_clear.png
EnIn,26403087,1197953,25165824,8192,1.553641,1.885387,1.573767,49.027904,62.77656196599855,outputs/nc_prefix_current_vs_geco2_megabyte_dnacorpus_long_seed12345/EnIn/region_bpb_combined_curve_clear.png
OrSa,43262523,5675277,25165824,8192,1.547228,1.873,1.584973,50.377482,65.74420742200164,outputs/nc_prefix_current_vs_geco2_megabyte_dnacorpus_long_seed12345/OrSa/region_bpb_combined_curve_clear.png
ScPo,10652155,0,10652155,3468,1.891731,1.910836,1.901862,19.332629,26.34119264900073,outputs/nc_prefix_current_vs_geco2_megabyte_dnacorpus_long_seed12345/ScPo/region_bpb_combined_curve_clear.png
BuEb,18940,0,18940,7,1.960737,1.934636,1.978687,1.814529,2.4860011800010398,outputs/nc_prefix_current_vs_geco2_megabyte_dnacorpus_long_seed12345/BuEb/region_bpb_combined_curve_clear.png
DaRe,62565020,9816714,25165824,8192,1.559639,1.8335,1.607917,49.911161,92.16078419299811,outputs/nc_prefix_current_vs_geco2_megabyte_dnacorpus_long_seed12345/DaRe/region_bpb_combined_curve_clear.png
HoSa,189752667,146345827,25165824,8192,1.65195,1.663936,1.705109,39.094704,116.89952907200131,outputs/nc_prefix_current_vs_geco2_megabyte_dnacorpus_long_seed12345/HoSa/region_bpb_combined_curve_clear.png
YeMi,73689,0,73689,24,1.81705,1.723495,1.847279,1.644283,2.56381854600113,outputs/nc_prefix_current_vs_geco2_megabyte_dnacorpus_long_seed12345/YeMi/region_bpb_combined_curve_clear.png
AnCa,142189675,72704942,25165824,8192,1.615047,1.857651,1.557439,49.972575,95.4335602889987,outputs/nc_prefix_current_vs_geco2_megabyte_dnacorpus_long_seed12345/AnCa/region_bpb_combined_curve_clear.png
HaHi,3890005,0,3890005,1267,1.856591,1.689019,1.860232,8.017637,10.828353957000218,outputs/nc_prefix_current_vs_geco2_megabyte_dnacorpus_long_seed12345/HaHi/region_bpb_combined_curve_clear.png
PlFa,8986712,0,8986712,2926,1.714204,1.799162,1.726745,17.05774,22.63248681999903,outputs/nc_prefix_current_vs_geco2_megabyte_dnacorpus_long_seed12345/PlFa/region_bpb_combined_curve_clear.png
AeCa,1591049,0,1591049,518,1.910956,1.777696,1.927159,4.49895,6.175387348001095,outputs/nc_prefix_current_vs_geco2_megabyte_dnacorpus_long_seed12345/AeCa/region_bpb_combined_curve_clear.png
AgPh,43970,0,43970,15,1.938262,1.828813,1.962486,1.863298,2.626980678000109,outputs/nc_prefix_current_vs_geco2_megabyte_dnacorpus_long_seed12345/AgPh/region_bpb_combined_curve_clear.png
DrMe,32181429,135571,25165824,8192,1.858979,1.883862,1.862701,36.570399,51.39003867499923,outputs/nc_prefix_current_vs_geco2_megabyte_dnacorpus_long_seed12345/DrMe/region_bpb_combined_curve_clear.png
GaGa,148532294,29049591,25165824,8192,1.832802,1.852587,1.846513,38.601891,70.65046746200096,outputs/nc_prefix_current_vs_geco2_megabyte_dnacorpus_long_seed12345/GaGa/region_bpb_combined_curve_clear.png
