window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,144627355,144630427,3071,2001.732644662261,0.651817858893605,evo21,3072
1,3072,6144,144630427,144633499,3071,2307.49195516482,0.7513812944203256,evo21,3072
2,6144,9216,144633499,144636571,3071,4622.48937580362,1.5052065697830086,evo21,3072
3,9216,12288,144636571,144639643,3071,3950.5630970448256,1.2864093445277842,evo21,3072
4,12288,15360,144639643,144642715,3071,5655.955931738019,1.8417310100091238,evo21,3072
5,15360,18432,144642715,144645787,3071,5550.868501199409,1.8075117229564992,evo21,3072
6,18432,21504,144645787,144648859,3071,3964.492621447891,1.2909451714255589,evo21,3072
7,21504,24576,144648859,144651931,3071,4274.606918865815,1.391926707543411,evo21,3072
8,24576,27648,144651931,144655003,3071,3230.256613332778,1.0518582264190095,evo21,3072
9,27648,30720,144655003,144658075,3071,5450.165027618408,1.774719969918075,evo21,3072
10,30720,33792,144658075,144661147,3071,4693.707586290315,1.5283971300196402,evo21,3072
11,33792,36864,144661147,144664219,3071,4490.183199982217,1.4621241289424347,evo21,3072
12,36864,39936,144664219,144667291,3071,5030.115350781009,1.6379405245135163,evo21,3072
13,39936,43008,144667291,144670363,3071,3848.913574617356,1.2533095326008974,evo21,3072
14,43008,46080,144670363,144673435,3071,5114.464905824512,1.665407002873498,evo21,3072
15,46080,49152,144673435,144676507,3071,3093.6187885552645,1.007365284453033,evo21,3072
16,49152,52224,144676507,144679579,847,623.2383721321821,0.7358186211714075,evo21,3072
