window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,10194283,10197355,3072,5798.2574462890625,1.887453595797221,megabyte1,3072
1,3072,6144,10197355,10200427,3072,5816.653564453125,1.893441915512085,megabyte1,3072
2,6144,9216,10200427,10203499,3072,5795.502685546875,1.88655686378479,megabyte1,3072
3,9216,12288,10203499,10206571,3072,5968.255859375,1.9427916208902996,megabyte1,3072
4,12288,15360,10206571,10209643,3072,5813.47998046875,1.892408847808838,megabyte1,3072
5,15360,18432,10209643,10212715,3072,5851.1983642578125,1.90468696753184,megabyte1,3072
6,18432,21504,10212715,10215787,3072,5934.104248046875,1.931674559911092,megabyte1,3072
7,21504,24576,10215787,10218859,3072,5807.98974609375,1.8906216621398926,megabyte1,3072
8,24576,27648,10218859,10221931,3072,5923.0709228515625,1.9280829826990764,megabyte1,3072
9,27648,30720,10221931,10225003,3072,5946.3682861328125,1.9356667598088582,megabyte1,3072
10,30720,33792,10225003,10228075,3072,5975.63427734375,1.9451934496561687,megabyte1,3072
11,33792,36864,10228075,10231147,3072,5883.363037109375,1.9151572386423747,megabyte1,3072
12,36864,39936,10231147,10234219,3072,5758.698486328125,1.8745763301849365,megabyte1,3072
13,39936,43008,10234219,10237291,3072,5723.59884262085,1.863150664915641,megabyte1,3072
14,43008,46080,10237291,10240363,3072,5891.410247802734,1.917776773373286,megabyte1,3072
15,46080,49152,10240363,10243435,3072,5904.2930908203125,1.9219704071680705,megabyte1,3072
16,49152,52224,10243435,10246507,848,1567.11865234375,1.8480172787072524,megabyte1,3072
0,0,3072,10194283,10197355,3072,5873.98828125,1.9121055603027344,geco22,3072
1,3072,6144,10197355,10200427,3072,5893.607421875,1.9184919993082683,geco22,3072
2,6144,9216,10200427,10203499,3072,5880.600830078125,1.914258082707723,geco22,3072
3,9216,12288,10203499,10206571,3072,5943.3013916015625,1.9346684217453003,geco22,3072
4,12288,15360,10206571,10209643,3072,5667.480606079102,1.8448830097913742,geco22,3072
5,15360,18432,10209643,10212715,3072,5889.70849609375,1.9172228177388508,geco22,3072
6,18432,21504,10212715,10215787,3072,5953.900634765625,1.9381186962127686,geco22,3072
7,21504,24576,10215787,10218859,3072,5872.519287109375,1.9116273721059163,geco22,3072
8,24576,27648,10218859,10221931,3072,5936.774230957031,1.932543694972992,geco22,3072
9,27648,30720,10221931,10225003,3072,5977.4205322265625,1.9457749128341675,geco22,3072
10,30720,33792,10225003,10228075,3072,6090.6474609375,1.9826326370239258,geco22,3072
11,33792,36864,10228075,10231147,3072,5959.462158203125,1.9399290879567463,geco22,3072
12,36864,39936,10231147,10234219,3072,5841.6142578125,1.9015671412150066,geco22,3072
13,39936,43008,10234219,10237291,3072,5148.801330566406,1.676042099793752,geco22,3072
14,43008,46080,10237291,10240363,3072,5573.696228027344,1.8143542408943176,geco22,3072
15,46080,49152,10240363,10243435,3072,5865.185043334961,1.9092399229605992,geco22,3072
16,49152,52224,10243435,10246507,848,1587.0015869140625,1.8714641355118662,geco22,3072
