species,region_class,base_count,interval_count,coverage_fraction,sum_bits,mean_bpb,min_bpb,max_bpb
HoSa,intergenic,90339047,1758,0.47608841777175126,124531969.19232658,1.3784954936742533,2.18419636278638e-05,17.493154805400714
HoSa,cds,1441170,8303,0.007594992064064112,1246006.6308335157,0.8645799113453067,6.879385242473587e-07,16.230685304470494
HoSa,rna,32807509,1424,0.17289616804173824,47189200.95203571,1.4383658616701351,6.879346719649796e-07,16.152514273975555
HoSa,exon_non_cds,3198055,3639,0.016853807909851408,4857432.486194559,1.5188708406186133,7.051329523148091e-06,18.161307097052745
HoSa,intron,61958107,9043,0.3265203487232145,91794770.76613992,1.481561900626498,1.251867043431263e-11,16.000133083546352
HoSa,gene_other,0,0,0.0,0.0,,,
HoSa,repeat_mobile_existing,8779,12,4.626548938044702e-05,2942.3050487862774,0.33515264253175503,0.0006440104368697757,9.988718752708431
GaGa,intergenic,72256287,1629,0.48646853188707906,125330627.04783209,1.7345290251052077,2.9237132097144804e-06,12.515030282238998
GaGa,cds,2636753,15435,0.017752051954438946,2189102.807123624,0.8302267247344077,3.439677131054897e-07,18.39425286832921
GaGa,rna,6218101,657,0.04186363000627998,11089982.922849633,1.7834999661230386,2.4077870729754395e-06,12.669841914275109
GaGa,exon_non_cds,2973437,4368,0.020018791334361265,5084178.214806789,1.7098657932913288,5.503456289980799e-06,15.048207471057763
GaGa,intron,64447716,15294,0.4338969948178408,114293942.27104189,1.7734366609833292,3.4399883328019496e-07,15.151321066538134
GaGa,gene_other,0,0,0.0,0.0,,,
GaGa,repeat_mobile_existing,0,0,0.0,0.0,,,
DaRe,intergenic,22651647,1810,0.36204970445146506,28185936.81284407,1.2443217401738633,2.579898078003213e-06,15.129415763037628
DaRe,cds,2371006,12026,0.037896671334876904,2366254.3666136996,0.9979959420658149,8.607855906369415e-07,16.219410278202464
DaRe,rna,2047937,662,0.032732939268620066,2454696.998577426,1.1986193904292106,1.221167344912364e-05,14.79833863648147
DaRe,exon_non_cds,1964189,3685,0.031394363815435526,2968647.1404505926,1.511385686637382,1.2943992384732922e-05,16.994081008590623
DaRe,intron,33530241,11613,0.5359263211296025,43609076.03058906,1.300589400195157,1.3759846691596928e-06,14.45571550494835
DaRe,gene_other,0,0,0.0,0.0,,,
DaRe,repeat_mobile_existing,0,0,0.0,0.0,,,
OrSa,intergenic,26201502,4277,0.6056397126908202,35576209.06507974,1.3577927351294494,4.127734326973515e-06,16.193807619830164
OrSa,cds,5361231,20886,0.12392321640603346,6057527.500294107,1.1298762355686796,5.192987010742125e-07,17.57909688567149
OrSa,rna,935741,718,0.02162936729325749,1546324.6558299002,1.652513522256586,4.1620874047728506e-05,12.266420821089362
OrSa,exon_non_cds,2980392,9731,0.06889085040185937,5220942.628649855,1.7517637373371875,1.165842938025193e-05,14.894840091549826
OrSa,intron,7783657,18409,0.1799168532080295,13333229.963139832,1.7129775840764607,1.8926063910433066e-06,16.055674752652976
OrSa,gene_other,0,0,0.0,0.0,,,
OrSa,repeat_mobile_existing,0,0,0.0,0.0,,,
DrMe,intergenic,11411662,2960,0.3546039549704272,20035478.475062706,1.7557020594425865,6.707347559517082e-06,12.415324278030294
DrMe,cds,5628389,14979,0.17489555855335076,6356505.4915860295,1.1293649908679073,5.159650310222426e-07,19.129944302259045
DrMe,rna,439099,259,0.013644484214793568,754400.4257386208,1.718064549768095,3.697691361356163e-05,9.317091673597105
DrMe,exon_non_cds,1920823,7919,0.05968731220729819,3488656.2626738534,1.8162299507418713,2.563782792830062e-05,13.299784832805509
DrMe,intron,12781456,13027,0.3971686900541303,22972840.007359594,1.7973570465962245,3.0958364764072063e-06,17.160900145807464
DrMe,gene_other,0,0,0.0,0.0,,,
DrMe,repeat_mobile_existing,0,0,0.0,0.0,,,
EsCo,intergenic,495049,3750,0.10665362246027923,898097.7536312708,1.814159312777666,4.0760474035694334e-05,15.67115146417341
EsCo,cds,3961156,3509,0.8533935762525928,4293142.788552766,1.0838105816970516,3.440079090701583e-07,18.655073700477303
EsCo,rna,49790,219,0.010726784343160581,25527.085212604703,0.5126950233501647,3.2466033271923886e-06,11.523130956355024
EsCo,exon_non_cds,0,0,0.0,0.0,,,
EsCo,intron,84083,130,0.018114886682586286,131904.05582750993,1.5687363180132718,2.0467402781811938e-05,15.189374269591283
EsCo,gene_other,0,0,0.0,0.0,,,
EsCo,repeat_mobile_existing,51574,44,0.011111130261381077,32160.40333638244,0.6235778364366239,0.00012974739388553046,12.13204448293219
AgPh,intergenic,4692,44,0.10670911985444621,8613.978534546402,1.8358863031855077,0.009363982243512266,7.153200994697818
AgPh,cds,39278,43,0.8932908801455538,71762.94525856842,1.8270519185948475,0.0008515466161260005,6.928420871455685
AgPh,rna,0,0,0.0,0.0,,,
AgPh,exon_non_cds,0,0,0.0,0.0,,,
AgPh,intron,0,0,0.0,0.0,,,
AgPh,gene_other,0,0,0.0,0.0,,,
AgPh,repeat_mobile_existing,0,0,0.0,0.0,,,
BuEb,intergenic,681,5,0.03595564941921858,1286.7118616290684,1.8894447307328464,0.9590689279016112,3.6458965032025867
BuEb,cds,14516,7,0.7664202745512143,28024.80851033997,1.930615080624137,0.17977023127169683,4.125772330357835
BuEb,rna,0,0,0.0,0.0,,,
BuEb,exon_non_cds,3743,11,0.19762407602956705,7213.457913547761,1.927186191169586,0.1486204369401129,5.08970744174874
BuEb,intron,0,0,0.0,0.0,,,
BuEb,gene_other,0,0,0.0,0.0,,,
BuEb,repeat_mobile_existing,0,0,0.0,0.0,,,
YeMi,intergenic,10280,88,0.13950521787512382,16914.548374907878,1.6453840831622448,0.010742851442232563,6.3180516542903185
YeMi,cds,63409,87,0.8604947821248762,109521.10872318278,1.7272170941535552,0.0017419157636260575,9.567697864548178
YeMi,rna,0,0,0.0,0.0,,,
YeMi,exon_non_cds,0,0,0.0,0.0,,,
YeMi,intron,0,0,0.0,0.0,,,
YeMi,gene_other,0,0,0.0,0.0,,,
YeMi,repeat_mobile_existing,0,0,0.0,0.0,,,
AeCa,intergenic,191785,1553,0.12053997079913943,365507.4455078956,1.9058187319545095,0.0003466781424105553,11.010141651530084
AeCa,cds,1384830,1505,0.8703880270186525,2195546.2298759934,1.585426536019579,3.078578275883267e-05,13.063119199553702
AeCa,rna,9554,48,0.006004843345490931,11949.488185846329,1.2507314408463814,0.0004989325382060687,11.477609974906493
AeCa,exon_non_cds,0,0,0.0,0.0,,,
AeCa,intron,0,0,0.0,0.0,,,
AeCa,gene_other,0,0,0.0,0.0,,,
AeCa,repeat_mobile_existing,4880,4,0.0030671588367171595,6746.088797503278,1.3823952453900161,0.0008025369643426155,9.637224748765492
HaHi,intergenic,489616,3294,0.12586513384944234,937893.480822085,1.915569509211474,0.0008118192687134085,12.037354395747899
HaHi,cds,3381272,3236,0.8692204765803643,4710786.14656197,1.3931994073715366,5.172278260463363e-07,16.668798472224925
HaHi,rna,18301,60,0.0047046212022863725,13458.385630999097,0.735390723512327,6.982926893882887e-05,12.651896586082666
HaHi,exon_non_cds,0,0,0.0,0.0,,,
HaHi,intron,4,2,1.0282763132695203e-06,4.4032980821250485,1.1008245205312621,0.10170566243863476,3.086713667245711
HaHi,gene_other,0,0,0.0,0.0,,,
HaHi,repeat_mobile_existing,812,1,0.0002087400915937126,939.904473126081,1.1575178240468977,0.00014028901464259742,3.425806623835298
