source,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,compression_bases_per_second,compression_process_seconds,window_bases,window_count,geco2_level,hash_bucket_count_effective,trace_dir,depth_major_trace_dir,trace_row_count,trace_dtype,trace_emission_order,trace_shard_count,trace_checksum_sha256,core_base_count,organism,accession,record_count,total_bases,acgt_bases,n_bases,n_fraction,gff3_feature_count,tail_base_count,row_count,row_count_matches_acgt_bases,theoretical_bits,token_merge_size,hash_bucket_count,trace_generation_seconds,selected_fasta_path,clean_acgt_fasta_path,selected_gff3_path,sequence_records_path,non_acgt_intervals_path
HoSa,189752667,1.6403478393029765,1.6403471999684727,1172600.7313731427,161.82206093100012,8192,23164,12,33554471,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/HoSa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/HoSa,189752667,float32,position_major_v1,190,77ab3182678127c147f90ef8bdac3f5aa59ac9b572894cb2286c2a0fd9353ffe,189752667,,,,,,,,,,,,,,,,,,,,
GaGa,148532294,1.8256031150564564,1.825601050772164,1287353.2699592276,115.37803761100031,8192,18132,11,33554471,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/GaGa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/GaGa,148532294,float32,position_major_v1,149,1657882401b3d3c67eefcb5bb932d749da0db99a77c6ad9b649a7f0d7213bb45,148532294,,,,,,,,,,,,,,,,,,,,
AnCa,142189675,1.5565593795137986,1.5565652850672878,1294473.478121417,109.84363712599998,8192,17358,10,33554471,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/AnCa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/AnCa,142189675,float32,position_major_v1,143,ae492c94317cbacb38d5a17cca28b5ec584cc323949853a03bf9da64a36fba3f,142189675,,,,,,,,,,,,,,,,,,,,
DaRe,62565020,1.4742879644182967,1.4742920564877946,1354736.4322269938,46.18242966799971,8192,7638,10,33554471,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/DaRe,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/DaRe,62565020,float32,position_major_v1,63,e322a4135bdf031beb727d1a5aa12bde0b36c000e30e041a5fa533f220d874f3,62565020,,,,,,,,,,,,,,,,,,,,
OrSa,43262523,1.6020771257899085,1.602088347921826,1300840.296241474,33.25736689199948,8192,5282,10,33554471,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/OrSa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/OrSa,43262523,float32,position_major_v1,44,73db78aa27e83932f6488fd29e649b1c8f77a5adc5a2004841941867a9d3f740,43262523,,,,,,,,,,,,,,,,,,,,
DrMe,32181429,1.8613661170608848,1.8613699223859823,1285775.7224884275,25.02880435299994,8192,3929,10,33554471,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/DrMe,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/DrMe,32181429,float32,position_major_v1,33,31c312fe4cbca8a5b0fd9b215178475007016b18e94b4bd23ee9547596660e96,32181429,,,,,,,,,,,,,,,,,,,,
EnIn,40496007,1.4027163866456023,,,,8192,4944,9,0,outputs/nc_prefix_dnacorpus_corrected_supplement_w8192_target_traces_position_major/traces/EnIn,outputs/nc_prefix_dnacorpus_corrected_supplement_w8192_target_traces/traces/EnIn,40496007,float32,position_major_v1,41,245ec9c1691cd579ec3c6acffe7d5a80130a8733fcca8f64c9653fdab9fff3e6,40496007,Entamoeba invadens IP1,GCF_000330505.1,1144,40878307,40496007,382300,0.009352148561338414,60022,0,40496007,True,56804412.61261502,1,0,54.00526656501461,datasets/dnacorpus_corrected_supplement_v1/selected/fasta/EnIn.fasta,datasets/dnacorpus_corrected_supplement_v1/clean/acgt/EnIn.fasta,datasets/dnacorpus_corrected_supplement_v1/selected/gff3/EnIn.gff3,datasets/dnacorpus_corrected_supplement_v1/metadata/sequence_records/EnIn.tsv,datasets/dnacorpus_corrected_supplement_v1/metadata/non_acgt_intervals/EnIn.tsv
ScPo,12590851,1.8588373611068552,,,,8192,1537,8,0,outputs/nc_prefix_dnacorpus_corrected_supplement_w8192_target_traces_position_major/traces/ScPo,outputs/nc_prefix_dnacorpus_corrected_supplement_w8192_target_traces/traces/ScPo,12590851,float32,position_major_v1,13,1463458f53f1996cca2b0d891346685a2d0e88e2f3353a0d4f1fce8b31955cc0,12590851,Schizosaccharomyces pombe 972h-,GCF_000002945.2,4,12591253,12590851,402,3.1926925779348566e-05,53910,0,12590851,True,23404344.24692961,1,0,19.0009179279441,datasets/dnacorpus_corrected_supplement_v1/selected/fasta/ScPo.fasta,datasets/dnacorpus_corrected_supplement_v1/clean/acgt/ScPo.fasta,datasets/dnacorpus_corrected_supplement_v1/selected/gff3/ScPo.gff3,datasets/dnacorpus_corrected_supplement_v1/metadata/sequence_records/ScPo.tsv,datasets/dnacorpus_corrected_supplement_v1/metadata/non_acgt_intervals/ScPo.tsv
WaMe,9144432,1.9424551740830287,1.9424567868184706,1789653.6730279597,5.109609830000409,8192,1117,5,33554471,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/WaMe,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/WaMe,9144432,float32,position_major_v1,10,510f147a94000c394ab85ef3b302a1493de2a51f336e1b89dc45f62eba383cad,9144432,,,,,,,,,,,,,,,,,,,,
PlFa,23326872,1.5085020810191956,,,,8192,2848,7,0,outputs/nc_prefix_dnacorpus_corrected_supplement_w8192_target_traces_position_major/traces/PlFa,outputs/nc_prefix_dnacorpus_corrected_supplement_w8192_target_traces/traces/PlFa,23326872,float32,position_major_v1,24,4e09a89c45ad6221b8df01636efeda39dd3df3f87ae68c95af9b47c4f60d7925,23326872,Plasmodium falciparum 3D7,GCF_000002765.5,15,23326872,23326872,0,0.0,39882,0,23326872,True,35188634.955668405,1,0,32.654178158030845,datasets/dnacorpus_corrected_supplement_v1/selected/fasta/PlFa.fasta,datasets/dnacorpus_corrected_supplement_v1/clean/acgt/PlFa.fasta,datasets/dnacorpus_corrected_supplement_v1/selected/gff3/PlFa.gff3,datasets/dnacorpus_corrected_supplement_v1/metadata/sequence_records/PlFa.tsv,datasets/dnacorpus_corrected_supplement_v1/metadata/non_acgt_intervals/PlFa.tsv
EsCo,4641652,1.8962380434785238,1.8962421137991388,1667353.0728945318,2.783844691000013,8192,567,6,33554471,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/EsCo,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/EsCo,4641652,float32,position_major_v1,5,9d736124add4cb01c6b3273f2a15f12aca77d30d32c7db2573dbc614d36e8c6f,4641652,,,,,,,,,,,,,,,,,,,,
