record_index	seqid	official_start_1based	official_end_1based	length	raw_chars
0	NC_018939.1	128994	128994	1	S
0	NC_018939.1	128997	128997	1	Y
0	NC_018939.1	129026	129026	1	R
0	NC_018939.1	129042	129042	1	Y
0	NC_018939.1	129160	129160	1	Y
0	NC_018939.1	132263	132263	1	Y
0	NC_018939.1	132269	132269	1	M
0	NC_018939.1	132285	132285	1	W
0	NC_018939.1	132292	132292	1	Y
0	NC_018939.1	394525	394526	2	R
0	NC_018939.1	425982	425982	1	K
0	NC_018939.1	458650	458650	1	Y
0	NC_018939.1	526517	526517	1	Y
0	NC_018939.1	557279	557279	1	K
0	NC_018939.1	573124	573124	1	N
0	NC_018939.1	573126	573126	1	S
0	NC_018939.1	574369	574369	1	N
0	NC_018939.1	579680	579680	1	N
0	NC_018939.1	589789	589789	1	S
0	NC_018939.1	597145	597145	1	Y
0	NC_018939.1	629991	629991	1	R
0	NC_018939.1	997946	997946	1	S
0	NC_018939.1	1001102	1001102	1	Y
0	NC_018939.1	1001167	1001167	1	R
0	NC_018939.1	1001232	1001232	1	R
0	NC_018939.1	1027048	1027048	1	R
0	NC_018939.1	1207878	1207878	1	K
0	NC_018939.1	1208409	1208409	1	W
0	NC_018939.1	1208442	1208443	2	W
0	NC_018939.1	1208496	1208496	1	Y
0	NC_018939.1	1259169	1259169	1	S
0	NC_018939.1	1475715	1475715	1	N
0	NC_018939.1	1480587	1480587	1	N
0	NC_018939.1	1480627	1480627	1	N
0	NC_018939.1	1480638	1480638	1	N
0	NC_018939.1	1511053	1511053	1	W
0	NC_018939.1	1511514	1511514	1	N
0	NC_018939.1	1511925	1511925	1	M
0	NC_018939.1	1563776	1563776	1	M
0	NC_018939.1	1642750	1642750	1	K
