window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,560253,563325,3072,6009.794803847431,1.9563134127107522,megabyte1,3072
1,3072,6144,563325,566397,3072,5780.574946374473,1.881697573689607,megabyte1,3072
2,6144,9216,566397,569469,3072,5776.415396196753,1.880343553449464,megabyte1,3072
3,9216,12288,569469,572541,3072,5549.30331093619,1.8064138381953745,megabyte1,3072
4,12288,15360,572541,575613,3072,5862.494137606472,1.90836397708544,megabyte1,3072
5,15360,18432,575613,578685,3072,5783.699828666287,1.8827147879773072,megabyte1,3072
6,18432,21504,578685,581757,3072,5901.274750880378,1.9209878746355395,megabyte1,3072
7,21504,24576,581757,584829,3072,5957.61884236227,1.9393290502481346,megabyte1,3072
8,24576,27648,584829,587901,3072,5868.024705514492,1.9101642921596653,megabyte1,3072
9,27648,30720,587901,590973,3072,5850.919327091404,1.9045961351208998,megabyte1,3072
10,30720,33792,590973,594045,3072,5873.899866371457,1.9120767794177922,megabyte1,3072
11,33792,36864,594045,597117,3072,5853.189793062934,1.9053352190960071,megabyte1,3072
12,36864,39936,597117,600189,3072,5899.233720197075,1.920323476626652,megabyte1,3072
13,39936,43008,600189,603261,3072,5867.783205902005,1.9100856790045588,megabyte1,3072
14,43008,46080,603261,606333,3072,5908.707508217269,1.9234073919978087,megabyte1,3072
15,46080,49152,606333,609405,3072,5917.682522930611,1.926328946266475,megabyte1,3072
16,49152,52224,609405,612477,846,1676.3523508958378,1.9815039608697846,megabyte1,3072
0,0,3072,560253,563325,3072,6175.865,2.0103727213541664,geco22,3072
1,3072,6144,563325,566397,3072,6082.218,1.979888671875,geco22,3072
2,6144,9216,566397,569469,3072,6045.499,1.9679358723958333,geco22,3072
3,9216,12288,569469,572541,3072,6078.647,1.9787262369791667,geco22,3072
4,12288,15360,572541,575613,3072,6028.47,1.962392578125,geco22,3072
5,15360,18432,575613,578685,3072,6099.748,1.9855950520833332,geco22,3072
6,18432,21504,578685,581757,3072,6095.026,1.9840579427083334,geco22,3072
7,21504,24576,581757,584829,3072,6095.2029999999995,1.984115559895833,geco22,3072
8,24576,27648,584829,587901,3072,6059.549,1.9725094401041667,geco22,3072
9,27648,30720,587901,590973,3072,6024.184,1.9609973958333333,geco22,3072
10,30720,33792,590973,594045,3072,6000.213,1.9531943359375,geco22,3072
11,33792,36864,594045,597117,3072,5956.293,1.9388974609374998,geco22,3072
12,36864,39936,597117,600189,3072,6023.924999999999,1.9609130859374997,geco22,3072
13,39936,43008,600189,603261,3072,5984.468999999999,1.9480693359374996,geco22,3072
14,43008,46080,603261,606333,3072,6025.989,1.9615849609374998,geco22,3072
15,46080,49152,606333,609405,3072,6032.28,1.9636328125,geco22,3072
16,49152,52224,609405,612477,848,1701.487,2.006470518867925,geco22,3072
