window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,10315817,10318889,3072,5300.915011856705,1.7255582720887712,carbon1,3072
1,3072,6144,10318889,10321961,3072,5944.265125781298,1.9349821372985996,carbon1,3072
2,6144,9216,10321961,10325033,3072,5480.657049918082,1.7840680501035422,carbon1,3072
3,9216,12288,10325033,10328105,3072,5913.812047272921,1.9250690258049872,carbon1,3072
4,12288,15360,10328105,10331177,3072,5442.720781416632,1.7717190043673934,carbon1,3072
5,15360,18432,10331177,10334249,3072,5943.73920828104,1.934810940195651,carbon1,3072
6,18432,21504,10334249,10337321,3072,5720.084013072308,1.8620065146719753,carbon1,3072
7,21504,24576,10337321,10340393,3072,4765.842544155486,1.5513810365089473,carbon1,3072
8,24576,27648,10340393,10343465,3072,5505.289247102686,1.7920863434579057,carbon1,3072
9,27648,30720,10343465,10346537,3072,5835.228909116238,1.8994885771862755,carbon1,3072
10,30720,33792,10346537,10349609,3072,5953.853962123394,1.9381035032953757,carbon1,3072
11,33792,36864,10349609,10352681,3072,5911.378166303039,1.924276746843437,carbon1,3072
12,36864,39936,10352681,10355753,3072,5863.510379090905,1.9086947848603206,carbon1,3072
13,39936,43008,10355753,10358825,3072,5689.725188870914,1.8521240849189173,carbon1,3072
14,43008,46080,10358825,10361897,3072,5965.918172141537,1.9420306549939899,carbon1,3072
15,46080,49152,10361897,10364969,3072,5920.428018932696,1.9272226624129871,carbon1,3072
16,49152,52224,10364969,10368041,848,1618.3406789358705,1.9084206119526774,carbon1,3072
