window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,8042828,8045900,3072,5407.515770776281,1.7602590399662372,megabyte1,3072
1,3072,6144,8045900,8048972,3072,5577.058457616697,1.8154487166721018,megabyte1,3072
2,6144,9216,8048972,8052044,3072,5540.90314276304,1.8036794084515104,megabyte1,3072
3,9216,12288,8052044,8055116,3072,5601.566365717375,1.8234265513402914,megabyte1,3072
4,12288,15360,8055116,8058188,3072,5318.142412786431,1.731166149995583,megabyte1,3072
5,15360,18432,8058188,8061260,3072,5554.211250839784,1.8080114748827423,megabyte1,3072
6,18432,21504,8061260,8064332,3072,5538.960071082625,1.8030468981388754,megabyte1,3072
7,21504,24576,8064332,8067404,3072,5550.344611999604,1.8067528033852878,megabyte1,3072
8,24576,27648,8067404,8070476,3072,5582.244817675358,1.8171369849203638,megabyte1,3072
9,27648,30720,8070476,8073548,3072,5544.343588677393,1.804799345272589,megabyte1,3072
10,30720,33792,8073548,8076620,3072,5659.176625855834,1.8421798912291125,megabyte1,3072
11,33792,36864,8076620,8079692,3072,5675.965770824449,1.8476451076902503,megabyte1,3072
12,36864,39936,8079692,8082764,3072,5463.56468656924,1.778504129742591,megabyte1,3072
13,39936,43008,8082764,8085836,3072,5662.351954142269,1.84321352673902,megabyte1,3072
14,43008,46080,8085836,8088908,3072,5501.86868840892,1.7909728803414453,megabyte1,3072
15,46080,49152,8088908,8091980,3072,5587.052025584942,1.8187018312450984,megabyte1,3072
