window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,1000000,0,1000000,1000000,1887721.4341816902,1.8877214341816901,megabyte1,1000000
1,1000000,2000000,1000000,2000000,1000000,1882377.8760237098,1.8823778760237098,megabyte1,1000000
2,2000000,3000000,2000000,3000000,1000000,1892959.917056799,1.892959917056799,megabyte1,1000000
3,3000000,4000000,3000000,4000000,1000000,1890659.5037617683,1.8906595037617684,megabyte1,1000000
4,4000000,5000000,4000000,5000000,1000000,1888191.27333498,1.88819127333498,megabyte1,1000000
5,5000000,6000000,5000000,6000000,1000000,1884547.5147500038,1.8845475147500037,megabyte1,1000000
6,6000000,7000000,6000000,7000000,1000000,1882754.0912587643,1.8827540912587644,megabyte1,1000000
7,7000000,8000000,7000000,8000000,1000000,1880016.9641549587,1.8800169641549587,megabyte1,1000000
8,8000000,9000000,8000000,9000000,1000000,1876652.36961478,1.8766523696147799,megabyte1,1000000
9,9000000,10000000,9000000,10000000,1000000,1885859.0075602531,1.885859007560253,megabyte1,1000000
10,10000000,11000000,10000000,11000000,1000000,1888558.2854743004,1.8885582854743004,megabyte1,1000000
11,11000000,12000000,11000000,12000000,1000000,1881562.520548582,1.881562520548582,megabyte1,1000000
12,12000000,13000000,12000000,13000000,1000000,1887111.1230361462,1.8871111230361461,megabyte1,1000000
13,13000000,14000000,13000000,14000000,1000000,1885206.0871629715,1.8852060871629714,megabyte1,1000000
14,14000000,15000000,14000000,15000000,1000000,1880378.4964077473,1.8803784964077472,megabyte1,1000000
15,15000000,16000000,15000000,16000000,1000000,1888432.2696937323,1.8884322696937323,megabyte1,1000000
16,16000000,17000000,16000000,17000000,1000000,1886552.403222084,1.886552403222084,megabyte1,1000000
17,17000000,18000000,17000000,18000000,1000000,1888686.3648252487,1.8886863648252488,megabyte1,1000000
18,18000000,19000000,18000000,19000000,1000000,1884381.174156189,1.8843811741561889,megabyte1,1000000
19,19000000,20000000,19000000,20000000,1000000,1887359.2264778614,1.8873592264778614,megabyte1,1000000
20,20000000,21000000,20000000,21000000,1000000,1883873.4647865295,1.8838734647865296,megabyte1,1000000
21,21000000,22000000,21000000,22000000,1000000,1886025.2483463287,1.8860252483463287,megabyte1,1000000
22,22000000,23000000,22000000,23000000,1000000,1887042.9062423706,1.8870429062423706,megabyte1,1000000
23,23000000,24000000,23000000,24000000,1000000,1886796.7553855777,1.8867967553855778,megabyte1,1000000
24,24000000,25000000,24000000,25000000,1000000,1886312.8338067532,1.8863128338067532,megabyte1,1000000
25,25000000,26000000,25000000,26000000,1000000,1883762.6854019165,1.8837626854019165,megabyte1,1000000
26,26000000,26403087,26000000,26403087,403087,760413.199406147,1.8864741343832647,megabyte1,1000000
0,0,1000000,0,1000000,1000000,1843760.8371658325,1.8437608371658325,geco22,1000000
1,1000000,2000000,1000000,2000000,1000000,1758487.389038086,1.7584873890380859,geco22,1000000
2,2000000,3000000,2000000,3000000,1000000,1793139.5940170288,1.7931395940170287,geco22,1000000
3,3000000,4000000,3000000,4000000,1000000,1744086.460659027,1.7440864606590272,geco22,1000000
4,4000000,5000000,4000000,5000000,1000000,1774601.2354011536,1.7746012354011536,geco22,1000000
5,5000000,6000000,5000000,6000000,1000000,1597668.7582435608,1.5976687582435607,geco22,1000000
6,6000000,7000000,6000000,7000000,1000000,1622583.5066833496,1.6225835066833496,geco22,1000000
7,7000000,8000000,7000000,8000000,1000000,1539604.449066162,1.539604449066162,geco22,1000000
8,8000000,9000000,8000000,9000000,1000000,1618035.4326515198,1.6180354326515198,geco22,1000000
9,9000000,10000000,9000000,10000000,1000000,1651064.6870594025,1.6510646870594026,geco22,1000000
10,10000000,11000000,10000000,11000000,1000000,1629299.8205299377,1.6292998205299378,geco22,1000000
11,11000000,12000000,11000000,12000000,1000000,1521084.6579475403,1.5210846579475403,geco22,1000000
12,12000000,13000000,12000000,13000000,1000000,1465674.8206367493,1.4656748206367494,geco22,1000000
13,13000000,14000000,13000000,14000000,1000000,1494057.9500160217,1.4940579500160218,geco22,1000000
14,14000000,15000000,14000000,15000000,1000000,1361969.3201026917,1.3619693201026917,geco22,1000000
15,15000000,16000000,15000000,16000000,1000000,1652849.4750671387,1.6528494750671388,geco22,1000000
16,16000000,17000000,16000000,17000000,1000000,1499447.6781539917,1.4994476781539916,geco22,1000000
17,17000000,18000000,17000000,18000000,1000000,1522798.2197170258,1.5227982197170258,geco22,1000000
18,18000000,19000000,18000000,19000000,1000000,1458104.9371452332,1.4581049371452333,geco22,1000000
19,19000000,20000000,19000000,20000000,1000000,1394329.4969978333,1.3943294969978333,geco22,1000000
20,20000000,21000000,20000000,21000000,1000000,1449888.2406787872,1.4498882406787872,geco22,1000000
21,21000000,22000000,21000000,22000000,1000000,1404590.5884284973,1.4045905884284973,geco22,1000000
22,22000000,23000000,22000000,23000000,1000000,1705068.8111438751,1.7050688111438752,geco22,1000000
23,23000000,24000000,23000000,24000000,1000000,1611889.0474681854,1.6118890474681855,geco22,1000000
24,24000000,25000000,24000000,25000000,1000000,1293299.5801811218,1.2932995801811218,geco22,1000000
25,25000000,26000000,25000000,26000000,1000000,1330104.2843379974,1.3301042843379975,geco22,1000000
26,26000000,26403087,26000000,26403087,403087,628945.1918334961,1.5603212007172051,geco22,1000000
