model,model_window_position,base_count,mean_bpb
megabyte1,0,17,2.0246777250226717
megabyte1,1,17,1.9464194811690643
megabyte1,2,17,2.0605302609955713
megabyte1,3,17,1.9107656675298288
megabyte1,4,17,1.9049804475612868
megabyte1,5,17,1.9349294925058995
megabyte1,6,17,2.0650527260467624
megabyte1,7,17,1.8814468924498353
megabyte1,8,17,1.8059395058624406
megabyte1,9,17,1.9651162303783172
megabyte1,10,17,2.1231507949255723
megabyte1,11,17,1.8390632887622707
megabyte1,12,17,1.842100200333248
megabyte1,13,17,1.8004383559072923
megabyte1,14,17,1.7843423752099714
megabyte1,15,17,1.9102064770936602
megabyte1,16,17,2.1136007391559373
megabyte1,17,17,1.903634946136462
megabyte1,18,17,1.9678905842592282
megabyte1,19,17,1.878260417938134
megabyte1,20,17,1.9565940786759366
megabyte1,21,17,1.8710357885879305
megabyte1,22,17,1.903992459251915
megabyte1,23,17,1.9803906287006767
megabyte1,24,17,1.9075235584363255
megabyte1,25,17,1.8527286977393458
megabyte1,26,17,1.8451222622162244
megabyte1,27,17,1.9362434529711299
megabyte1,28,17,1.8572528379258462
megabyte1,29,17,1.6248443247226252
megabyte1,30,17,1.9978939204155328
megabyte1,31,17,2.008607314758134
megabyte1,32,17,1.8600451224348808
megabyte1,33,17,1.8335358116352718
megabyte1,34,17,1.8987202147224154
megabyte1,35,17,1.912904660470495
megabyte1,36,17,1.9983101546103446
megabyte1,37,17,1.8991409596756266
megabyte1,38,17,1.8426724623790065
megabyte1,39,17,1.8487551029582574
megabyte1,40,17,1.9770671825043589
megabyte1,41,17,1.7683804544899777
megabyte1,42,17,1.8551180209777067
megabyte1,43,17,1.6178404474772323
megabyte1,44,17,1.7828415592276667
megabyte1,45,17,1.8523067719947366
megabyte1,46,17,1.7887773649344834
megabyte1,47,17,1.9547345091147343
megabyte1,48,17,1.7498591564397907
megabyte1,49,17,1.8214320446493812
megabyte1,50,17,1.9460481911022982
megabyte1,51,17,1.8535504872231539
megabyte1,52,17,1.9631325499889651
megabyte1,53,17,1.7378874449317898
megabyte1,54,17,1.8188549140343029
megabyte1,55,17,1.88971036622988
megabyte1,56,17,2.0614422648805375
megabyte1,57,17,1.8663591784053306
megabyte1,58,17,1.926335562462515
megabyte1,59,17,1.8400529381632056
megabyte1,60,17,1.869475741220019
megabyte1,61,17,1.6885676219117922
megabyte1,62,17,1.944663076578142
megabyte1,63,17,1.6327207472003753
megabyte1,64,17,1.9237379034393012
megabyte1,65,17,2.115260955439999
megabyte1,66,17,1.8447692599564016
megabyte1,67,17,1.8410977288124646
megabyte1,68,17,1.8614880041778716
megabyte1,69,17,1.799319104659207
megabyte1,70,17,1.8279652406199887
megabyte1,71,17,1.813535749496811
megabyte1,72,17,1.6733748246206273
megabyte1,73,17,1.788162658751415
megabyte1,74,17,1.645966834743552
megabyte1,75,17,1.781571423283295
megabyte1,76,17,1.8295031271105269
megabyte1,77,17,1.7591929424187054
megabyte1,78,17,1.9443849380115745
megabyte1,79,17,1.7388167196453748
megabyte1,80,17,1.797702058966337
megabyte1,81,17,2.0981543896544954
megabyte1,82,17,1.6202794894243677
megabyte1,83,17,1.9721763763647047
megabyte1,84,17,1.7977091504731817
megabyte1,85,17,1.7518791817770658
megabyte1,86,17,1.7125496289144342
megabyte1,87,17,1.965063144552773
megabyte1,88,17,1.895234713099948
megabyte1,89,17,1.7568922653308923
megabyte1,90,17,1.7396291046016668
megabyte1,91,17,1.9372446891060344
megabyte1,92,17,1.9287649475494408
megabyte1,93,17,1.7331651728368933
megabyte1,94,17,1.7445348605137743
megabyte1,95,17,1.7810371789923496
megabyte1,96,17,2.0239107095377187
megabyte1,97,17,1.797164966783579
megabyte1,98,17,2.0566500336688205
megabyte1,99,17,1.5817807014616587
megabyte1,100,17,2.1185144163635647
megabyte1,101,17,1.9225594848943919
megabyte1,102,17,2.021376822512046
megabyte1,103,17,1.7623913350931946
megabyte1,104,17,1.6079653720532772
megabyte1,105,17,1.8079053327167842
