window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,144627355,144630427,3072,5821.223448094951,1.8949295078434085,megabyte1,3072
1,3072,6144,144630427,144633499,3072,5830.542020189612,1.8979628971971394,megabyte1,3072
2,6144,9216,144633499,144636571,3072,4908.997463177712,1.5979809450448281,megabyte1,3072
3,9216,12288,144636571,144639643,3072,4538.458600023177,1.4773628255283777,megabyte1,3072
4,12288,15360,144639643,144642715,3072,5668.581574301079,1.8452413978844657,megabyte1,3072
5,15360,18432,144642715,144645787,3072,5682.937290531413,1.849914482594861,megabyte1,3072
6,18432,21504,144645787,144648859,3072,5568.501013594145,1.8126630903626773,megabyte1,3072
7,21504,24576,144648859,144651931,3072,5345.972528693427,1.7402254325173916,megabyte1,3072
8,24576,27648,144651931,144655003,3072,4327.839530471033,1.4088019304918726,megabyte1,3072
9,27648,30720,144655003,144658075,3072,5649.94223142299,1.8391739034580044,megabyte1,3072
10,30720,33792,144658075,144661147,3072,4808.736282440578,1.5653438419402923,megabyte1,3072
11,33792,36864,144661147,144664219,3072,5427.341493449137,1.7667127257321409,megabyte1,3072
12,36864,39936,144664219,144667291,3072,5390.851392405201,1.7548344376319014,megabyte1,3072
13,39936,43008,144667291,144670363,3072,4744.047156891391,1.5442861838839164,megabyte1,3072
14,43008,46080,144670363,144673435,3072,5360.960986626584,1.7451044878341744,megabyte1,3072
15,46080,49152,144673435,144676507,3072,4458.370597707521,1.4512925122745834,megabyte1,3072
16,49152,52224,144676507,144679579,846,943.1293423446791,1.1148100973341362,megabyte1,3072
0,0,3072,144627355,144630427,3072,6065.07,1.9743066406249998,geco22,3072
1,3072,6144,144630427,144633499,3072,6009.4516,1.9562016927083334,geco22,3072
2,6144,9216,144633499,144636571,3072,5943.7466,1.9348133463541668,geco22,3072
3,9216,12288,144636571,144639643,3072,5410.9332,1.7613714843750001,geco22,3072
4,12288,15360,144639643,144642715,3072,5936.781,1.9325458984375,geco22,3072
5,15360,18432,144642715,144645787,3072,5913.994,1.9251282552083333,geco22,3072
6,18432,21504,144645787,144648859,3072,5877.396,1.9132148437499998,geco22,3072
7,21504,24576,144648859,144651931,3072,5832.312,1.8985390625,geco22,3072
8,24576,27648,144651931,144655003,3072,5363.8423999999995,1.7460424479166665,geco22,3072
9,27648,30720,144655003,144658075,3072,5922.889,1.9280237630208334,geco22,3072
10,30720,33792,144658075,144661147,3072,5589.2807,1.8194273111979167,geco22,3072
11,33792,36864,144661147,144664219,3072,5823.353999999999,1.8956230468749997,geco22,3072
12,36864,39936,144664219,144667291,3072,5715.319100000001,1.8604554361979169,geco22,3072
13,39936,43008,144667291,144670363,3072,5742.8063,1.8694030924479168,geco22,3072
14,43008,46080,144670363,144673435,3072,5725.174499999999,1.8636635742187497,geco22,3072
15,46080,49152,144673435,144676507,3072,5742.4779,1.86929619140625,geco22,3072
16,49152,52224,144676507,144679579,848,1621.108,1.9116839622641508,geco22,3072
