source,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,compression_bases_per_second,compression_process_seconds,window_bases,window_count,geco2_level,hash_bucket_count_effective,trace_dir,depth_major_trace_dir,trace_row_count,trace_dtype,trace_emission_order,trace_shard_count,trace_checksum_sha256
AeCa,1591049,1.9108651237227945,1.9108701240502335,1315223.4183754416,1.2097176629999922,8192,195,5,33554471,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/AeCa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/AeCa,1591049,float32,position_major_v1,2,fba264fce21e45e8eec727a58a627a99d09979ec944882ef3d19ac7c80e07e30
AgPh,43970,1.94119662258643,1.9413236297475551,96018.87614487263,0.4579307920002975,8192,6,2,33554471,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/AgPh,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/AgPh,43970,float32,position_major_v1,1,c70bd5cd2acb82e9851d17ef00fce94899295ccd1b402507d2b25ead293e2906
AnCa,142189675,1.5565593795137986,1.5565652850672878,1294473.478121417,109.84363712599998,8192,17358,10,33554471,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/AnCa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/AnCa,142189675,float32,position_major_v1,143,ae492c94317cbacb38d5a17cca28b5ec584cc323949853a03bf9da64a36fba3f
BuEb,18940,1.959946932435798,1.9602956705385428,31938.09295434471,0.5930222580000191,8192,3,1,33554471,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/BuEb,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/BuEb,18940,float32,position_major_v1,1,9cafe7cd384d4d4a6e7eb0db3fcd65482ba894534db1f40e6e007b926d2d02f6
DaRe,62565020,1.4742879644182967,1.4742920564877946,1354736.4322269938,46.18242966799971,8192,7638,10,33554471,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/DaRe,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/DaRe,62565020,float32,position_major_v1,63,e322a4135bdf031beb727d1a5aa12bde0b36c000e30e041a5fa533f220d874f3
DrMe,32181429,1.8613661170608848,1.8613699223859823,1285775.7224884275,25.02880435299994,8192,3929,10,33554471,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/DrMe,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/DrMe,32181429,float32,position_major_v1,33,31c312fe4cbca8a5b0fd9b215178475007016b18e94b4bd23ee9547596660e96
EnIn,26403087,1.568468759662274,1.5684775041645698,1405691.9115737458,18.78298280199988,8192,3224,9,33554471,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/EnIn,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/EnIn,26403087,float32,position_major_v1,27,409030a2768d0c53c5132c451d11304630c2dcd541dda336b0a1dc5b0767f6fb
EsCo,4641652,1.8962380434785238,1.8962421137991388,1667353.0728945318,2.783844691000013,8192,567,6,33554471,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/EsCo,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/EsCo,4641652,float32,position_major_v1,5,9d736124add4cb01c6b3273f2a15f12aca77d30d32c7db2573dbc614d36e8c6f
GaGa,148532294,1.8256031150564564,1.825601050772164,1287353.2699592276,115.37803761100031,8192,18132,11,33554471,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/GaGa,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/GaGa,148532294,float32,position_major_v1,149,1657882401b3d3c67eefcb5bb932d749da0db99a77c6ad9b649a7f0d7213bb45
HaHi,3890005,1.859065527959325,1.859068047470376,1614128.5095978682,2.4099723020003694,8192,475,5,33554471,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full_position_major/traces/HaHi,outputs/nc_prefix_dnacorpus_best_available_w8192_target_traces_full/traces/HaHi,3890005,float32,position_major_v1,4,f3dd5f4c81c1a403db9ab22f3eb46717fb1491d53df1dbd35d3b9fd2ba0eb7b0
