window_index,source_midpoint_mbase,geco22_bpb,megabyte1_bpb,nc_prefix_current_bpb
0,72.706478000,1.762042662,1.880635103,1.698390911
1,72.709550000,1.850502104,1.853709370,1.869947314
2,72.712622000,0.794835454,1.378413864,0.783672190
3,72.715694000,1.402638687,1.664386603,1.303117906
4,72.718766000,1.428568239,1.834970911,1.406054455
5,72.721838000,1.775442094,1.870311797,1.617006461
6,72.724910000,1.557664114,1.889201681,1.565792590
7,72.727982000,1.743705927,1.860195279,1.737391125
8,72.731054000,1.851483226,1.856670499,1.852123976
9,72.734126000,1.583475677,1.816101044,1.579772159
10,72.737198000,1.691885990,1.887870682,1.653445194
11,72.740270000,1.772457061,1.902010838,1.754039442
12,72.743342000,0.665715747,1.714092426,0.477944470
13,72.746414000,1.347070247,1.814967227,1.312822404
14,72.749486000,1.723761402,1.889093399,1.648679902
15,72.752558000,1.684118894,1.870571484,1.595668333
16,72.755630000,1.599703776,1.794737240,1.521434863
17,72.758702000,1.841198683,1.855825275,1.771291514
18,72.761774000,1.865993669,1.857376675,1.832432548
19,72.764846000,0.998225105,1.636106409,1.259446674
20,72.767918000,1.874953051,1.880384127,1.877108306
21,72.770990000,1.865715355,1.876619498,1.804323028
22,72.774062000,1.029474828,1.896271070,0.941512554
23,72.777134000,0.771731975,1.694993813,0.848224536
24,72.780206000,1.401641019,1.854811052,1.471327707
25,72.783278000,1.637962413,1.863504001,1.673143908
26,72.786350000,1.625429854,1.876507620,1.611040257
27,72.789422000,1.710500702,1.838553543,1.697566077
28,72.792494000,1.685966181,1.893415570,1.653485584
29,72.795566000,1.798080725,1.864953160,1.801213580
30,72.798638000,1.684631589,1.854565014,1.754630414
31,72.801710000,1.807167187,1.915043225,1.708941666
32,72.804782000,0.955441466,1.779989955,0.854085090
33,72.807854000,1.637369181,1.876534690,1.634335400
34,72.810926000,1.634849885,1.827774247,1.603613220
35,72.813998000,1.714439817,1.812765251,1.760961662
36,72.817070000,1.692675764,1.894174894,1.662449338
37,72.820142000,1.297758874,1.835390165,1.243062754
38,72.823214000,1.838199755,1.897733529,1.768937603
39,72.826286000,1.884665330,1.905515432,1.876294990
40,72.829358000,1.760758733,1.866591861,1.762187347
41,72.832430000,1.738348102,1.915077527,1.731773461
42,72.835502000,1.694819619,1.862582525,1.680368334
43,72.838574000,1.384947026,1.807616198,1.281902493
44,72.841646000,1.416307652,1.789367964,1.424772121
45,72.844718000,1.859302024,1.873726924,1.849569301
46,72.847790000,1.719582987,1.752929042,1.548108590
47,72.850862000,1.704891250,1.880593538,1.742258737
48,72.853934000,1.846347570,1.897764365,1.827561125
49,72.857006000,1.374555933,1.822057237,1.318517547
50,72.860078000,1.503963031,1.674237210,1.453791355
51,72.863150000,1.471344578,1.797203322,1.446329882
52,72.866222000,1.659437810,1.780476525,1.631883000
53,72.869294000,1.702213749,1.915372829,1.688946299
54,72.872366000,1.602183256,1.885754198,1.573015162
55,72.875438000,1.454573569,1.870502949,1.461094583
56,72.878510000,1.196136839,1.599102739,1.217093701
57,72.881582000,0.554160392,1.602742399,0.507458692
58,72.884654000,1.185088056,1.650424366,1.169949308
59,72.887726000,1.653054417,1.809499572,1.532267441
60,72.890798000,1.659452635,1.891611864,1.689598590
61,72.893870000,1.808873683,1.900613169,1.792715008
62,72.896942000,1.635479931,1.895507773,1.578550552
63,72.900014000,1.605906524,1.804319342,1.466009383
64,72.903086000,1.273208528,1.814486228,1.205414452
65,72.906158000,1.670835637,1.882508675,1.639181662
66,72.909230000,1.720187337,1.888188740,1.686696236
67,72.912302000,1.806644956,1.904537042,1.761595488
68,72.915374000,1.694166963,1.838259558,1.648856619
69,72.918446000,1.851257563,1.886815031,1.861828864
70,72.921518000,1.836282546,1.844365378,1.684448943
71,72.924590000,1.736784135,1.881136854,1.619082252
72,72.927662000,1.257764687,1.830825686,1.163661617
73,72.930734000,1.689634557,1.911349614,1.598385945
74,72.933806000,1.249139874,1.744913027,1.226623883
75,72.936878000,1.828253520,1.868719906,1.854344090
76,72.939950000,1.583500711,1.838886869,1.615581080
77,72.943022000,1.678347550,1.867606364,1.478318041
78,72.946094000,1.914635499,1.899486661,1.912083089
79,72.949166000,1.690556343,1.882755667,1.658000981
80,72.952238000,1.494582745,1.736618038,1.455089470
81,72.955310000,1.900377591,1.740322034,1.900270104
82,72.958382000,1.448170755,1.918533484,1.246761853
83,72.961454000,1.780115550,1.897892316,1.582073092
84,72.964526000,1.622667001,1.813713158,1.491949618
85,72.967598000,1.440343886,1.748171583,1.365348525
86,72.970670000,1.717433788,1.889039993,1.759869655
87,72.973742000,1.888525327,1.873132547,1.909689903
88,72.976814000,1.681589966,1.914189041,1.506262250
89,72.979886000,1.828671962,1.885403246,1.742818644
90,72.982958000,1.900815805,1.887493312,1.891285817
91,72.986030000,1.741296738,1.864813452,1.691748199
92,72.989102000,1.562036928,1.882590195,1.532954150
93,72.992174000,1.730571243,1.881087462,1.738119101
94,72.995246000,1.561861711,1.848085344,1.497716129
95,72.998318000,1.645924271,1.885560244,1.591795432
96,73.001390000,1.728446613,1.865804896,1.724283690
97,73.004462000,1.779662887,1.891112089,1.755017688
98,73.007534000,1.794801493,1.858672798,1.820039488
99,73.010606000,1.440317293,1.857435862,1.416083552
100,73.013678000,1.713632206,1.832593222,1.661317070
101,73.016750000,1.468856459,1.878905664,1.360404958
102,73.019822000,1.664800130,1.859838684,1.594829236
103,73.022894000,1.626883097,1.881111463,1.562600628
104,73.025966000,1.770561998,1.915146430,1.735828723
105,73.029038000,1.575761344,1.775877103,1.439161453
106,73.032110000,1.666666913,1.793785860,1.631552140
107,73.035182000,1.351306420,1.906493704,1.267505574
108,73.038254000,1.228804320,1.827690949,1.142006665
109,73.041326000,1.657074485,1.862773120,1.648571592
110,73.044398000,1.627177874,1.870788117,1.624874709
111,73.047470000,1.796200782,1.898369948,1.775972257
112,73.050542000,1.583614188,1.862302144,1.609897437
113,73.053614000,1.857788275,1.879567146,1.759593338
114,73.056686000,1.297596781,1.882868687,1.229776715
115,73.059758000,0.680255830,1.904732148,1.713887066
116,73.062830000,1.704339452,1.894745787,1.768669258
117,73.065902000,1.341718558,1.861852080,1.164637030
118,73.068974000,1.711687376,1.864485299,1.747798877
119,73.072046000,1.256839359,1.597097264,1.201118561
120,73.075118000,0.723114361,1.418578307,0.723230727
121,73.078190000,0.304325183,1.719151619,0.196417754
122,73.081262000,1.650454675,1.888156263,1.708754127
123,73.084334000,1.625882206,1.894254287,1.540769274
124,73.087406000,1.746057031,1.887384680,1.722166084
125,73.090478000,1.699447749,1.879267176,1.616798058
126,73.093550000,1.630350841,1.889317989,1.555394256
127,73.096622000,1.589908065,1.879608115,1.564899222
128,73.099694000,1.420887449,1.838528936,1.384664153
129,73.102766000,1.765482684,1.854659577,1.700411548
130,73.105838000,1.557871485,1.892642876,1.515974817
131,73.108910000,1.537883369,1.858448712,1.472875826
132,73.111982000,1.761995287,1.852333705,1.766713699
133,73.115054000,1.794371565,1.899808009,1.700458308
134,73.118126000,1.607941399,1.796441694,1.576208149
135,73.121198000,1.643988733,1.889917831,1.584171391
136,73.124270000,1.869184613,1.909634908,1.770949726
137,73.127342000,1.699957741,1.813899823,1.682041233
138,73.130414000,1.655748941,1.878085941,1.368942740
139,73.133486000,1.802455110,1.874396880,1.764485553
140,73.136558000,1.719156388,1.827447395,1.688282830
141,73.139630000,1.782375683,1.861326744,1.727631730
142,73.142702000,1.747267765,1.893587708,1.814448997
143,73.145774000,1.891887983,1.880299568,1.872377634
144,73.148846000,1.883574372,1.902876774,1.892696187
145,73.151918000,1.753777492,1.885927518,1.706886604
146,73.154990000,1.629465959,1.828021705,1.603853698
147,73.158062000,1.726103219,1.842542283,1.622671999
148,73.161134000,1.522406355,1.848367852,1.559787370
149,73.164206000,1.601143107,1.870708629,1.570683859
150,73.167278000,1.702640941,1.814116256,1.638316703
151,73.170350000,1.702369475,1.863806998,1.673461144
152,73.173422000,1.805073664,1.910025756,1.763334756
153,73.176494000,1.906271935,1.892170906,1.916744630
154,73.179566000,1.880823394,1.895833731,1.860731542
155,73.182638000,1.888585657,1.891370018,1.838292544
156,73.185710000,0.989818114,1.906065931,0.919194164
157,73.188782000,1.671349476,1.887823502,1.634789764
158,73.191854000,1.589122852,1.887955745,1.446543256
159,73.194926000,1.765121564,1.895300746,1.719563683
160,73.197998000,1.550972164,1.791710565,1.394784817
161,73.201070000,1.680269303,1.896697481,1.672847259
162,73.204142000,1.886074384,1.880338271,1.903431575
163,73.207214000,1.593940914,1.862250855,1.570290855
164,73.210286000,1.346006108,1.873470172,1.319927985
165,73.213358000,1.800756514,1.866868238,1.842785994
166,73.216430000,1.887373447,1.846422046,1.885257463
167,73.219502000,1.890792668,1.898980856,1.922723611
168,73.222574000,1.598896366,1.877480745,1.582741026
169,73.225646000,1.721468861,1.890229861,1.705615776
170,73.228718000,1.794859163,1.858377039,1.772272574
171,73.231790000,1.662319854,1.767416206,1.507299500
172,73.234862000,1.729584220,1.885959258,1.609357563
173,73.237934000,1.814379108,1.901130835,1.790403803
174,73.241006000,1.738942308,1.858593091,1.744646103
175,73.244078000,1.845854362,1.876690269,1.858430942
176,73.247150000,1.851830204,1.885279179,1.801018092
177,73.250222000,1.874403358,1.880896727,1.879243771
178,73.253294000,1.633150854,1.889950156,1.618036141
179,73.256366000,1.893013420,1.907621384,1.924432993
180,73.259438000,1.905258218,1.897985379,1.897390604
181,73.262510000,1.845134387,1.876169423,1.850382467
182,73.265582000,1.883804401,1.868893425,1.879661361
183,73.268654000,1.887979666,1.876983901,1.906416615
184,73.271726000,1.793483049,1.891134898,1.802654435
185,73.274798000,1.741897536,1.857101719,1.700332103
186,73.277870000,1.832724815,1.891363144,1.796005110
187,73.280942000,1.732422151,1.881011963,1.733583155
188,73.284014000,1.906482776,1.905754566,1.913032770
189,73.287086000,1.578597972,1.901189551,1.563431866
190,73.290158000,1.733167129,1.835027476,1.808311472
191,73.293230000,1.586624178,1.885739664,1.516227903
192,73.296302000,1.591929257,1.842068036,1.528951136
193,73.299374000,1.876871506,1.891559760,1.861821095
