record_index	seqid	official_start_1based	official_end_1based	length	raw_chars
3	NW_004443803.1	9272	9371	100	N
3	NW_004443803.1	15247	15346	100	N
3	NW_004443803.1	25567	25666	100	N
3	NW_004443803.1	35006	35105	100	N
3	NW_004443803.1	51623	51722	100	N
3	NW_004443803.1	67967	68066	100	N
8	NW_004443795.1	2429	2528	100	N
8	NW_004443795.1	3747	3846	100	N
8	NW_004443795.1	7406	7505	100	N
8	NW_004443795.1	10545	10644	100	N
11	NW_004443793.1	5033	5132	100	N
11	NW_004443793.1	19469	19568	100	N
11	NW_004443793.1	21245	21344	100	N
11	NW_004443793.1	26421	26520	100	N
11	NW_004443793.1	27983	28082	100	N
11	NW_004443793.1	29689	29788	100	N
11	NW_004443793.1	38562	38661	100	N
11	NW_004443793.1	40286	40385	100	N
11	NW_004443793.1	41929	42028	100	N
11	NW_004443793.1	43612	43711	100	N
11	NW_004443793.1	49812	49911	100	N
11	NW_004443793.1	56241	56340	100	N
11	NW_004443793.1	64823	64922	100	N
12	NW_004443791.1	2414	2513	100	N
12	NW_004443791.1	6039	6138	100	N
12	NW_004443791.1	15525	15624	100	N
12	NW_004443791.1	21090	21189	100	N
14	NW_004443789.1	8621	8720	100	N
14	NW_004443789.1	9768	9867	100	N
14	NW_004443789.1	16311	16410	100	N
14	NW_004443789.1	18956	19055	100	N
14	NW_004443789.1	20047	20146	100	N
14	NW_004443789.1	59026	59125	100	N
20	NW_004443785.1	7725	7824	100	N
20	NW_004443785.1	9339	9438	100	N
20	NW_004443785.1	11332	11431	100	N
20	NW_004443785.1	18559	18658	100	N
24	NW_004443781.1	1804	1903	100	N
24	NW_004443781.1	3238	3337	100	N
24	NW_004443781.1	26631	26730	100	N
24	NW_004443781.1	29063	29162	100	N
24	NW_004443781.1	40740	40839	100	N
24	NW_004443781.1	43225	43324	100	N
24	NW_004443781.1	48284	48383	100	N
24	NW_004443781.1	66078	66177	100	N
24	NW_004443781.1	74483	74582	100	N
24	NW_004443781.1	76159	76258	100	N
24	NW_004443781.1	77423	77522	100	N
24	NW_004443781.1	81832	81931	100	N
24	NW_004443781.1	82871	82970	100	N
24	NW_004443781.1	85501	85600	100	N
24	NW_004443781.1	87114	87213	100	N
27	NW_004443777.1	3876	3975	100	N
27	NW_004443777.1	7237	7336	100	N
27	NW_004443777.1	8690	8789	100	N
27	NW_004443777.1	10805	10904	100	N
27	NW_004443777.1	13084	13183	100	N
40	NW_004443913.1	3550	3649	100	N
40	NW_004443913.1	6829	6928	100	N
40	NW_004443913.1	15962	16061	100	N
40	NW_004443913.1	18789	18888	100	N
43	NW_004443770.1	15044	15143	100	N
43	NW_004443770.1	18859	18958	100	N
43	NW_004443770.1	20509	20608	100	N
43	NW_004443770.1	36899	36998	100	N
43	NW_004443770.1	74690	74789	100	N
43	NW_004443770.1	77928	78027	100	N
43	NW_004443770.1	79236	79335	100	N
43	NW_004443770.1	81634	81733	100	N
43	NW_004443770.1	87293	87392	100	N
43	NW_004443770.1	100271	100370	100	N
43	NW_004443770.1	103282	103381	100	N
43	NW_004443770.1	176413	176512	100	N
43	NW_004443770.1	180230	180329	100	N
43	NW_004443770.1	196179	196278	100	N
43	NW_004443770.1	316387	316486	100	N
43	NW_004443770.1	322999	323098	100	N
43	NW_004443770.1	356232	356331	100	N
43	NW_004443770.1	468614	468713	100	N
43	NW_004443770.1	470432	470531	100	N
43	NW_004443770.1	478775	478874	100	N
43	NW_004443770.1	483152	483251	100	N
43	NW_004443770.1	485787	485886	100	N
44	NW_004443767.1	1895	1994	100	N
44	NW_004443767.1	4186	4285	100	N
44	NW_004443767.1	5930	6029	100	N
44	NW_004443767.1	7636	7735	100	N
44	NW_004443767.1	18187	18286	100	N
44	NW_004443767.1	19740	19839	100	N
44	NW_004443767.1	21439	21538	100	N
44	NW_004443767.1	30871	30970	100	N
44	NW_004443767.1	38942	39041	100	N
44	NW_004443767.1	136475	136574	100	N
44	NW_004443767.1	137767	137866	100	N
44	NW_004443767.1	155311	155410	100	N
44	NW_004443767.1	160940	161039	100	N
44	NW_004443767.1	178369	178468	100	N
44	NW_004443767.1	180368	180467	100	N
44	NW_004443767.1	185442	185541	100	N
44	NW_004443767.1	230136	230235	100	N
44	NW_004443767.1	236887	236986	100	N
