source,sample_bases,nc_prefix_window_bases,nc_prefix_geco2_level,geco2_serial_level,level_match,nc_prefix_arithmetic_bpb,nc_prefix_theoretical_bpb,geco2_serial_arithmetic_bpb,delta_nc_minus_geco2_bpb,delta_nc_minus_geco2_millibpb,nc_vs_geco2_percent,nc_prefix_compression_seconds,geco2_serial_seconds,nc_prefix_bases_per_second,geco2_serial_bases_per_second,nc_prefix_mbases_per_second,geco2_serial_mbases_per_second,speedup_nc_vs_geco2
HoSa,189752667,8192,12,12,True,1.6403471999684727,1.6403478393029765,1.6377379085796986,0.002609291388774082,2.609291388774082,100.1593228913555,161.82206093100012,214.27914881007746,1172600.7313731427,885539.5779464474,1.1726007313731426,0.8855395779464474,1.3241652440790797
GaGa,148532294,8192,11,11,True,1.825601050772164,1.8256031150564564,1.8246629113531365,0.0009381394190275394,0.9381394190275394,100.05141439622575,115.37803761100031,142.08830858790316,1287353.2699592276,1045351.9749523252,1.2873532699592276,1.0453519749523252,1.231502212465748
AnCa,142189675,8192,10,5,False,1.5565652850672878,1.5565593795137986,1.6586955135807153,-0.10213022851342757,-102.13022851342757,93.84273800241048,109.84363712599998,53.57196963112801,1294473.478121417,2654180.460025137,1.294473478121417,2.654180460025137,0.487711177750573
DaRe,62565020,8192,10,10,True,1.4742920564877946,1.4742879644182967,1.469040559724907,0.005251496762887609,5.251496762887609,100.35747799665049,46.18242966799971,60.37503223796375,1354736.4322269938,1036273.0698578275,1.354736432226994,1.0362730698578275,1.307316065265363
OrSa,43262523,8192,10,10,True,1.602088347921826,1.6020771257899085,1.5988975955008449,0.0031907524209811022,3.1907524209811022,100.19955952338408,33.25736689199948,43.79734348598868,1300840.296241474,987788.7459964376,1.300840296241474,0.9877887459964376,1.3169215599123312
DrMe,32181429,8192,10,10,True,1.8613699223859823,1.8613661170608848,1.8597292245785606,0.0016406978074217093,1.6406978074217093,100.08822240279596,25.02880435299994,32.58931661909446,1285775.7224884275,987484.008214659,1.2857757224884276,0.9874840082146591,1.302072450583854
EnIn,26403087,8192,9,9,True,1.5684775041645698,1.568468759662274,1.5667528573458096,0.0017246468187601671,1.7246468187601671,100.11007778353007,18.78298280199988,26.401262406026945,1405691.9115737458,1000069.110103335,1.4056919115737458,1.000069110103335,1.4055947707738905
ScPo,10652155,8192,8,8,True,1.8926266093574493,1.892622247687573,1.8917959793112287,0.0008306300462206373,0.8306300462206373,100.04390695695014,8.59132776899969,11.74606036185287,1239872.9610149954,906870.4460769251,1.2398729610149954,0.9068704460769251,1.367199655009844
WaMe,9144432,8192,5,5,True,1.9424567868184706,1.9424551740830287,1.9401139403737706,0.002342846444699953,2.342846444699953,100.12075818826645,5.109609830000409,4.1063819660339504,1789653.6730279597,2226882.953324463,1.7896536730279597,2.226882953324463,0.8036586163436323
PlFa,8986712,8192,7,7,True,1.715301436164862,1.7152956122917882,1.7142874946921633,0.0010139414726986207,1.0139414726986207,100.05914652447959,8.211428501999762,10.374887047102675,1094415.1797475226,866198.5387599625,1.0944151797475226,0.8661985387599626,1.2634692057022767
EsCo,4641652,8192,6,6,True,1.8962421137991388,1.8962380434785238,1.893381063466197,0.002861050332941817,2.861050332941817,100.15110800399071,2.783844691000013,2.237232725135982,1667353.0728945318,2074729.1722714605,1.6673530728945318,2.0747291722714607,0.8036485413028998
HaHi,3890005,8192,5,5,True,1.859068047470376,1.859065527959325,1.8567194643708684,0.002348583099507584,2.348583099507584,100.12649100440724,2.4099723020003694,1.930863156914711,1614128.5095978682,2014645.6190172296,1.6141285095978681,2.0146456190172297,0.8011972400313565
HePy,1667825,8192,4,4,True,1.8026927285536551,1.802685137581242,1.801057065339589,0.001635663214066163,1.635663214066163,100.09081684559271,1.4009012890001031,1.0932761458680034,1190537.1299860922,1525529.4888702023,1.1905371299860923,1.5255294888702022,0.7804091226501276
AeCa,1591049,8192,5,5,True,1.9108701240502335,1.9108651237227945,1.9112673462602345,-0.00039722221000104696,-0.39722221000104696,99.9792168159636,1.2097176629999922,1.1209722091443837,1315223.4183754416,1419347.4084557518,1.3152234183754417,1.4193474084557518,0.9266395320412801
YeMi,73689,8192,3,3,True,1.8167161991613403,1.8166345907247634,1.8236643189621247,-0.006948119800784358,-6.948119800784358,99.61900226217408,0.6504573150004944,0.12470839801244438,113287.98723701645,590890.4386106117,0.11328798723701645,0.5908904386106117,0.19172418410322528
AgPh,43970,8192,2,2,True,1.9413236297475551,1.94119662258643,1.94823743461451,-0.006913804866954809,-6.913804866954809,99.64512514008219,0.4579307920002975,0.05085424613207579,96018.87614487263,864627.8992279934,0.09601887614487263,0.8646278992279934,0.11105225291782245
BuEb,18940,8192,1,1,True,1.9602956705385428,1.959946932435798,1.9793030623020063,-0.019007391763463444,-19.007391763463445,99.03969270166453,0.5930222580000191,0.0778370089828968,31938.09295434471,243328.9799735458,0.03193809295434471,0.2433289799735458,0.1312547850149906
