window_index,source_midpoint_mbase,geco22_bpb,megabyte1_bpb,nc_prefix_current_bpb
0,9.818250000,0.825062444,1.238021684,1.147276158
1,9.821322000,1.529459755,1.910871843,1.520757514
2,9.824394000,1.111064208,1.821826647,1.192407226
3,9.827466000,1.159712513,1.561262814,1.211528564
4,9.830538000,1.669389764,1.875720143,1.656477839
5,9.833610000,1.013480405,1.741089225,1.044188534
6,9.836682000,1.512234579,1.547166894,1.606915360
7,9.839754000,1.574227313,1.854129692,1.564193547
8,9.842826000,0.483641384,1.903211832,0.468777937
9,9.845898000,0.181361067,1.864091376,0.397863135
10,9.848970000,0.152301734,1.881560296,0.257411957
11,9.852042000,0.173542507,1.885432243,0.299152970
12,9.855114000,0.171718920,1.899654577,0.302751799
13,9.858186000,0.439406767,1.878288155,0.592718196
14,9.861258000,1.765598327,1.834996879,1.737358352
15,9.864330000,1.388234183,1.807704285,1.402887233
16,9.867402000,0.254958576,1.825651854,0.580008967
17,9.870474000,0.151277920,1.852857620,0.798938731
18,9.873546000,1.239003363,1.782925109,1.425228765
19,9.876618000,1.900337180,1.859716788,1.891798834
20,9.879690000,1.898643772,1.856337309,1.888755361
21,9.882762000,0.606931070,1.203208081,0.887988254
22,9.885834000,0.855177241,1.356681680,1.086379645
23,9.888906000,1.123703646,1.856975327,1.171902813
24,9.891978000,1.622362887,1.785734231,1.727810711
25,9.895050000,1.745063156,1.887143950,1.768056035
26,9.898122000,1.387100577,1.447674205,1.591365034
27,9.901194000,1.742297937,1.543429573,1.834325641
28,9.904266000,1.589317660,1.894446055,1.622143745
29,9.907338000,1.248091339,1.904667775,1.246849287
30,9.910410000,1.436643538,1.810873608,1.556177375
31,9.913482000,1.597053995,1.525258015,1.562199771
32,9.916554000,1.719887435,1.694194374,1.689395413
33,9.919626000,1.639390896,1.870585283,1.698214394
34,9.922698000,1.617953890,1.800679396,1.675823798
35,9.925770000,1.079780765,1.898067415,1.200520769
36,9.928842000,1.418287421,1.867765486,1.551793516
37,9.931914000,1.133587139,1.896045327,1.281240727
38,9.934986000,1.407677521,1.795154840,1.259756505
39,9.938058000,1.369682630,1.746680230,1.324110138
40,9.941130000,1.438369130,1.904710293,1.593366916
41,9.944202000,1.495206028,1.856514414,1.614500890
42,9.947274000,0.852339273,1.892514537,0.977004548
43,9.950346000,1.593733196,1.800990800,1.754156570
44,9.953418000,1.767788827,1.810375969,1.717832709
45,9.956490000,1.502025334,1.774667804,1.539876098
46,9.959562000,1.368631584,1.729370634,1.418999220
47,9.962634000,1.297257577,1.846355403,1.336288124
48,9.965706000,1.404403259,1.885719617,1.447030947
49,9.968778000,1.672053566,1.852051298,1.693866134
50,9.971850000,1.821116189,1.632113596,1.813417812
51,9.974922000,1.427134179,1.779152095,1.510410863
52,9.977994000,1.592552687,1.777674968,1.634375577
53,9.981066000,1.019821202,1.862443497,0.956883294
54,9.984138000,1.227583456,1.602459237,1.372419073
55,9.987210000,1.260115266,1.831308623,1.292891609
56,9.990282000,1.723992785,1.768303186,1.679751118
57,9.993354000,1.355211760,1.915519277,1.353566953
58,9.996426000,1.673129032,1.849312206,1.615432506
59,9.999498000,1.618561496,1.780392649,1.654126535
60,10.002570000,1.567702810,1.759609744,1.504474774
61,10.005642000,1.312158816,1.813741244,1.359488819
62,10.008714000,0.193924397,1.904837186,0.351478994
63,10.011786000,0.483930374,1.805897882,0.593496555
64,10.014858000,1.344255035,1.529574367,1.346550147
65,10.017930000,1.584433705,1.566670363,1.598707442
66,10.021002000,1.378524939,1.548749315,1.454023692
67,10.024074000,1.595360065,1.824433848,1.583785196
68,10.027146000,1.802341650,1.885558645,1.748849591
69,10.030218000,1.758363078,1.928977569,1.757145072
70,10.033290000,1.555653334,1.828360339,1.422499746
71,10.036362000,1.131423178,1.789327502,1.218995611
72,10.039434000,1.847230554,1.833805362,1.848039508
73,10.042506000,1.057192159,1.818327243,1.169749359
74,10.045578000,1.450786208,1.812028408,1.763163169
75,10.048650000,1.131580256,1.843630204,1.247467759
76,10.051722000,1.423650789,1.909001917,1.759004772
77,10.054794000,0.888379455,1.742886842,0.963672161
78,10.057866000,0.562333066,1.084516540,0.599495182
79,10.060938000,1.440487829,1.736010484,1.468645903
80,10.064010000,1.625813628,1.820092748,1.492971810
81,10.067082000,1.016388393,1.829697758,1.214207157
82,10.070154000,1.505568564,1.926374088,0.901210802
83,10.073226000,1.366516297,1.834938047,0.912685039
84,10.076298000,0.785093101,1.831427115,1.196854355
85,10.079370000,0.332959269,1.872823427,1.056786942
86,10.082442000,0.518613819,1.769790207,1.358200386
