window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,360757,363829,3071,3528.389863810313,1.1489384121818016,evo21,3072
1,3072,6144,363829,366901,3071,3588.7430803108073,1.1685910388508,evo21,3072
2,6144,9216,366901,369973,3071,4729.723654991481,1.5401249283593232,evo21,3072
3,9216,12288,369973,373045,3071,4384.398871506797,1.4276779132226627,evo21,3072
4,12288,15360,373045,376117,3071,3658.276669066465,1.1912330410506236,evo21,3072
5,15360,18432,376117,379189,3071,4568.792140285812,1.4877213091129313,evo21,3072
6,18432,21504,379189,382261,3071,4518.774701210612,1.4714342888995806,evo21,3072
7,21504,24576,382261,385333,3071,4838.1716256450745,1.5754384974422255,evo21,3072
8,24576,27648,385333,388405,3071,4484.7229462611285,1.4603461238232265,evo21,3072
9,27648,30720,388405,391477,3071,3891.1803848168347,1.2670727400901447,evo21,3072
10,30720,33792,391477,394549,3071,4523.984124930066,1.4731306170400738,evo21,3072
11,33792,36864,394549,397621,3071,4440.720824508229,1.4460178523309115,evo21,3072
12,36864,39936,397621,400693,3071,4413.477939587014,1.4371468380289854,evo21,3072
13,39936,43008,400693,403765,3071,3503.310274006264,1.1407718248148042,evo21,3072
14,43008,46080,403765,406837,3071,4350.353554206027,1.4165918444174626,evo21,3072
15,46080,49152,406837,409909,3071,4108.032368663058,1.3376855645272088,evo21,3072
16,49152,52224,409909,412981,847,1092.7083029695495,1.2900924474256783,evo21,3072
