window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,3010090,3013162,3071,5699.079024136066,1.8557730459576902,evo21,3072
1,3072,6144,3013162,3016234,3071,5634.730536855757,1.834819451923073,evo21,3072
2,6144,9216,3016234,3019306,3071,5738.953390985727,1.868757209699032,evo21,3072
3,9216,12288,3019306,3022378,3071,5586.966538086534,1.819266212336872,evo21,3072
4,12288,15360,3022378,3025450,3071,5429.978742793202,1.76814677394764,evo21,3072
5,15360,18432,3025450,3028522,3071,5818.91007232666,1.8947932505134029,evo21,3072
6,18432,21504,3028522,3031594,3071,5658.568219348788,1.8425816409471796,evo21,3072
7,21504,24576,3031594,3034666,3071,5666.871109269559,1.8452852846856267,evo21,3072
8,24576,27648,3034666,3037738,3071,5641.053173497319,1.836878272060345,evo21,3072
9,27648,30720,3037738,3040810,3071,4727.12533120811,1.5392788444181407,evo21,3072
10,30720,33792,3040810,3043882,3071,5393.5898225568235,1.7562975651438695,evo21,3072
11,33792,36864,3043882,3046954,3071,5418.8155135810375,1.7645117269882897,evo21,3072
12,36864,39936,3046954,3050026,3071,5573.0757028236985,1.8147429836612499,evo21,3072
13,39936,43008,3050026,3053098,3071,5780.645267605782,1.8823332033884017,evo21,3072
14,43008,46080,3053098,3056170,3071,5632.60272718966,1.8341265800031457,evo21,3072
15,46080,49152,3056170,3059242,3071,4686.395184457302,1.5260160157789977,evo21,3072
16,49152,52224,3059242,3062314,847,1623.4469452500343,1.916702414698978,evo21,3072
