window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,6247617,6250689,3072,5934.32421875,1.9317461649576824,megabyte1,3072
1,3072,6144,6250689,6253761,3072,5763.174072265625,1.8760332266489665,megabyte1,3072
2,6144,9216,6253761,6256833,3072,5852.3896484375,1.9050747553507488,megabyte1,3072
3,9216,12288,6256833,6259905,3072,5833.610107421875,1.8989616235097249,megabyte1,3072
4,12288,15360,6259905,6262977,3072,5598.9771728515625,1.8225837151209514,megabyte1,3072
5,15360,18432,6262977,6266049,3072,5870.208984375,1.9108753204345703,megabyte1,3072
6,18432,21504,6266049,6269121,3072,5778.712890625,1.8810914357503254,megabyte1,3072
7,21504,24576,6269121,6272193,3072,4750.591232299805,1.5464164167642593,megabyte1,3072
8,24576,27648,6272193,6275265,3072,5835.73486328125,1.8996532758076985,megabyte1,3072
9,27648,30720,6275265,6278337,3072,5812.1494140625,1.89197572072347,megabyte1,3072
10,30720,33792,6278337,6281409,3072,5762.928894042969,1.8759534160296123,megabyte1,3072
11,33792,36864,6281409,6284481,3072,5858.25341796875,1.9069835344950359,megabyte1,3072
12,36864,39936,6284481,6287553,3072,5719.6697998046875,1.8618716796239216,megabyte1,3072
13,39936,43008,6287553,6290625,3072,5760.7822265625,1.8752546310424805,megabyte1,3072
14,43008,46080,6290625,6293697,3072,5806.51953125,1.8901430765787761,megabyte1,3072
15,46080,49152,6293697,6296769,3072,5753.93798828125,1.873026688893636,megabyte1,3072
16,49152,52224,6296769,6299841,848,1647.833984375,1.9432004532724056,megabyte1,3072
0,0,3072,6247617,6250689,3072,4426.6295166015625,1.440960129102071,geco22,3072
1,3072,6144,6250689,6253761,3072,2943.651809692383,0.9582199901342392,geco22,3072
2,6144,9216,6253761,6256833,3072,3002.7052841186523,0.9774431263407072,geco22,3072
3,9216,12288,6256833,6259905,3072,4535.012939453125,1.4762411912282307,geco22,3072
4,12288,15360,6259905,6262977,3072,3459.0364837646484,1.1259884387254715,geco22,3072
5,15360,18432,6262977,6266049,3072,4322.566143035889,1.407085333019495,geco22,3072
6,18432,21504,6266049,6269121,3072,4118.7376708984375,1.3407349189122517,geco22,3072
7,21504,24576,6269121,6272193,3072,4605.49153137207,1.4991834412018459,geco22,3072
8,24576,27648,6272193,6275265,3072,3950.8739013671875,1.2860917647679646,geco22,3072
9,27648,30720,6275265,6278337,3072,4763.280609130859,1.550547073284785,geco22,3072
10,30720,33792,6278337,6281409,3072,5529.691055297852,1.800029640396436,geco22,3072
11,33792,36864,6281409,6284481,3072,4610.60807800293,1.500848983724912,geco22,3072
12,36864,39936,6284481,6287553,3072,3458.6011123657227,1.1258467162648838,geco22,3072
13,39936,43008,6287553,6290625,3072,3930.562339782715,1.2794799283146858,geco22,3072
14,43008,46080,6290625,6293697,3072,5812.9404296875,1.8922332127888997,geco22,3072
15,46080,49152,6293697,6296769,3072,4708.450469970703,1.5326987206935883,geco22,3072
16,49152,52224,6296769,6299841,848,1630.70703125,1.9230035745872642,geco22,3072
