window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,12946417,12949489,3072,5790.966761308213,1.885080325946684,megabyte1,3072
1,3072,6144,12949489,12952561,3072,5913.45698387233,1.9249534452709407,megabyte1,3072
2,6144,9216,12952561,12955633,3072,5859.120871387059,1.9072659086546417,megabyte1,3072
3,9216,12288,12955633,12958705,3072,5820.678304279367,1.8947520521742731,megabyte1,3072
4,12288,15360,12958705,12961777,3072,5830.312483546367,1.8978881782377497,megabyte1,3072
5,15360,18432,12961777,12964849,3072,5577.85808777731,1.815709012948343,megabyte1,3072
6,18432,21504,12964849,12967921,3072,5230.221651913365,1.702546110648882,megabyte1,3072
7,21504,24576,12967921,12970993,3072,5882.4354159272425,1.9148552786221493,megabyte1,3072
8,24576,27648,12970993,12974065,3072,5978.983303913676,1.9462836275760662,megabyte1,3072
9,27648,30720,12974065,12977137,3072,5867.120966010414,1.9098701061231818,megabyte1,3072
10,30720,33792,12977137,12980209,3072,5935.579237151844,1.9321546995936991,megabyte1,3072
11,33792,36864,12980209,12983281,3072,5901.793194705359,1.9211566389014842,megabyte1,3072
12,36864,39936,12983281,12986353,3072,5588.979928358909,1.8193294037626657,megabyte1,3072
13,39936,43008,12986353,12989425,3072,5815.220546887984,1.892975438440099,megabyte1,3072
14,43008,46080,12989425,12992497,3072,5822.1876770716635,1.8952433844634322,megabyte1,3072
15,46080,49152,12992497,12995569,3072,5909.46301965509,1.9236533267106413,megabyte1,3072
