species,region_class,base_count,carbon3b_mean_bpb,nc_prefix_mean_bpb,carbon_minus_nc_bpb,carbon_over_nc_ratio,lower_bpb
AeCa,cds,1384830,1.582548296043502,1.9048461130827892,-0.32229781703928717,0.8308011262297285,carbon3b
AeCa,intergenic,191785,1.9141242951579143,1.9649512071191924,-0.05082691196127809,0.974133244745657,carbon3b
AeCa,repeat_mobile_existing,4880,1.3887038324590646,1.7130335381971415,-0.32432970573807696,0.8106693777406055,carbon3b
AeCa,rna,9554,1.2515921255943736,1.7986424681097815,-0.5470503425154079,0.6958537607030314,carbon3b
AgPh,cds,39278,1.8184623556621955,1.9420022188258634,-0.12353986316366794,0.9363853130722166,carbon3b
AgPh,intergenic,4692,1.835973603301737,1.9344527539884808,-0.09847915068674373,0.9490919845503085,carbon3b
BuEb,cds,14516,1.9277007204227432,1.9655774100001506,-0.03787668957740742,0.9807299934438072,carbon3b
BuEb,exon_non_cds,3743,1.9345499751058075,1.9428416582606305,-0.008291683154822982,0.9957321878910882,carbon3b
BuEb,intergenic,681,1.890570422311957,1.9339455109231254,-0.043375088611168344,0.9775717111127582,carbon3b
DaRe,cds,2371006,1.0439376859549239,1.7150213379056065,-0.6710836519506826,0.6087024475332687,carbon3b
DaRe,exon_non_cds,1964189,1.5714324622365898,1.662967253223114,-0.09153479098652406,0.9449569492068385,carbon3b
DaRe,intergenic,22651647,1.3378725935735978,1.4238112434357686,-0.08593864986217081,0.939641823831371,carbon3b
DaRe,intron,33530241,1.3650656713490912,1.488492787968746,-0.12342711661965478,0.9170791302334168,carbon3b
DaRe,rna,2047937,1.4082505476162228,1.3403520257833328,0.06789852183289002,1.0506572307325075,nc_prefix
DrMe,cds,5628389,1.1380145941682676,1.9320830945257623,-0.7940685003574948,0.5890091359903948,carbon3b
DrMe,exon_non_cds,1920823,1.8372184975982593,1.8834398602002729,-0.046221362602013594,0.9754590716811639,carbon3b
DrMe,intergenic,11411662,1.8089317570632684,1.8177057450574772,-0.00877398799420881,0.9951730427116346,carbon3b
DrMe,intron,12781456,1.8170553886937957,1.867926983534699,-0.05087159484090331,0.9727657476500294,carbon3b
DrMe,rna,439099,1.7851887564091462,1.8020573087262877,-0.01686855231714146,0.9906392808733345,carbon3b
EsCo,cds,3961156,1.085713286262605,1.9216436754722346,-0.8359303892096295,0.5649919910338197,carbon3b
EsCo,intergenic,495049,1.8352884364431348,1.9161209277340492,-0.08083249129091441,0.9578145146681819,carbon3b
EsCo,intron,84083,1.596917759895421,1.8841125172440212,-0.2871947573486002,0.8475702726243264,carbon3b
EsCo,repeat_mobile_existing,51574,1.3370567032735123,0.7510492321619178,0.5860074711115946,1.7802517411871317,nc_prefix
EsCo,rna,49790,0.5408289980570863,0.8840436993415727,-0.3432147012844864,0.6117672672288604,carbon3b
