window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,560253,563325,3071,5989.204923450947,1.9502458233314708,evo21,3072
1,3072,6144,563325,566397,3071,5468.173636940308,1.7805840563140045,evo21,3072
2,6144,9216,566397,569469,3071,5163.221383526456,1.6812834202300408,evo21,3072
3,9216,12288,569469,572541,3071,4946.248503056355,1.6106312286083864,evo21,3072
4,12288,15360,572541,575613,3071,4401.482209890848,1.433240706574682,evo21,3072
5,15360,18432,575613,578685,3071,3265.8365733954124,1.0634440160844716,evo21,3072
6,18432,21504,578685,581757,3071,4540.744035591255,1.4785880936474292,evo21,3072
7,21504,24576,581757,584829,3071,5749.920636575669,1.8723284391324224,evo21,3072
8,24576,27648,584829,587901,3071,4924.618755020318,1.6035880022860038,evo21,3072
9,27648,30720,587901,590973,3071,5001.768388955155,1.628709993147234,evo21,3072
10,30720,33792,590973,594045,3071,4769.84984890779,1.5531910937505016,evo21,3072
11,33792,36864,594045,597117,3071,5672.032059952617,1.8469658287048574,evo21,3072
12,36864,39936,597117,600189,3071,4900.302572626504,1.5956700008552602,evo21,3072
13,39936,43008,600189,603261,3071,5426.944435314275,1.7671587220170222,evo21,3072
14,43008,46080,603261,606333,3071,4684.775929349591,1.5254887428686392,evo21,3072
15,46080,49152,606333,609405,3071,5318.182614256861,1.731742954821511,evo21,3072
16,49152,52224,609405,612477,847,1500.9759744228795,1.7721085884567644,evo21,3072
