window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,12689,15761,3072,5496.79263179563,1.78932051816264,carbon1,3072
1,3072,6144,15761,18833,3072,5449.330507289618,1.7738706078416726,carbon1,3072
2,6144,9216,18833,21905,3072,5405.470006581396,1.7595931011007149,carbon1,3072
3,9216,12288,21905,24977,3072,5626.833661649376,1.8316515825681563,carbon1,3072
4,12288,15360,24977,28049,3072,5582.446928307414,1.8172027761417364,carbon1,3072
5,15360,18432,28049,31121,3072,5497.157823011279,1.789439395511484,carbon1,3072
6,18432,21504,31121,34193,3072,5510.321890108287,1.7937245736029581,carbon1,3072
7,21504,24576,34193,37265,3072,5447.715073220432,1.773344750397276,carbon1,3072
8,24576,27648,37265,40337,3072,5347.771504173055,1.7408110365146665,carbon1,3072
9,27648,30720,40337,43409,3072,5488.370029211044,1.7865787855504702,carbon1,3072
10,30720,33792,43409,46481,3072,5522.414568141103,1.797660992233432,carbon1,3072
11,33792,36864,46481,49553,3072,5568.63862708956,1.812707886422383,carbon1,3072
12,36864,39936,49553,52625,3072,5612.382284507155,1.8269473582380062,carbon1,3072
13,39936,43008,52625,55697,3072,5504.915361970663,1.7919646360581585,carbon1,3072
14,43008,46080,55697,58769,3072,5447.3842453323305,1.7732370590274513,carbon1,3072
15,46080,49152,58769,61841,3072,5331.532894825563,1.7355250308676962,carbon1,3072
16,49152,52224,61841,64913,848,1560.7391846477985,1.8404943215186305,carbon1,3072
