window_index,region_start,region_end_exclusive,source_start,source_end_exclusive,base_count,sum_bits,mean_bpb,model,plot_window_bases
0,0,3072,532343,535415,3072,5246.088411461096,1.707711071439159,carbon1,3072
1,3072,6144,535415,538487,3072,5648.392181659583,1.8386693299673122,carbon1,3072
2,6144,9216,538487,541559,3072,5784.441510064527,1.88295622072413,carbon1,3072
3,9216,12288,541559,544631,3072,5594.6218350743875,1.8211659619382772,carbon1,3072
4,12288,15360,544631,547703,3072,4939.278151043924,1.6078379397929439,carbon1,3072
5,15360,18432,547703,550775,3072,5671.723641723394,1.8462642062901675,carbon1,3072
6,18432,21504,550775,553847,3072,5594.053923744708,1.8209810949689806,carbon1,3072
7,21504,24576,553847,556919,3072,5581.854597246274,1.817009960041105,carbon1,3072
8,24576,27648,556919,559991,3072,5290.628283806058,1.7222097278014512,carbon1,3072
9,27648,30720,559991,563063,3072,5454.383604079485,1.775515496119624,carbon1,3072
10,30720,33792,563063,566135,3072,5605.310433821753,1.8246453235096851,carbon1,3072
11,33792,36864,566135,569207,3072,5323.723376731388,1.7329828700297487,carbon1,3072
12,36864,39936,569207,572279,3072,5748.765875979443,1.8713430585870583,carbon1,3072
13,39936,43008,572279,575351,3072,5858.027778898366,1.9069100842768119,carbon1,3072
14,43008,46080,575351,578423,3072,4717.396973353694,1.535610993930239,carbon1,3072
15,46080,49152,578423,581495,3072,5615.380026385188,1.8279231856722618,carbon1,3072
16,49152,52224,581495,584567,848,1655.5335000157356,1.952280070773273,carbon1,3072
